SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00BB, flat, 61", male, 12, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.002093082, 0.1215197, -0.992587, -0.03971148, -0.1344679, -0.9901219, 173.0202, 179.8792, 0.9867778, 187.734, 182.2968, 196.4531, 14.71381, -2.417587, 195.4663, -0.29765, -0.2643448, 0.9173474, -0.2705856, -0.7010132, 0.6598211, 343.925, 342.0234, 228.3915, 313.2662, 337.702, 201.1062, -30.65881, 4.321411, -27.28532, 170.9048, -162.1442, 227.4047, 125.5322, -155.4052, 4.653107, -45.37262, -6.738998, -222.7516, 4.664434
1, 1, 0.05136025, 0.06348102, -0.9966606, -0.009451986, -0.1275856, -0.9917825, 176.3555, 177.05, 38.9751, 187.3304, 180.546, 184.2369, 10.97488, -3.496002, 145.2618, -0.5087847, 0.361066, -0.7815173, -0.3953041, 0.1340373, -0.9087181, 155.2028, 213.065, 305.3619, 171.6093, 203.5097, 288.7305, 16.40654, 9.555313, -16.63147, -21.15279, -36.01497, 266.3868, -15.72113, -22.96365, 104.4935, 5.431656, -13.05132, -161.8933, 3.542791
2, 3, 0.09110402, 0.1912843, -0.9772976, -0.01792321, -0.1378707, -0.9902881, 168.9256, 174.6743, 25.46731, 187.9259, 181.0369, 187.4069, 19.00032, -6.362625, 161.9396, 0.985306, 0.1522907, -0.07733025, 0.9563412, -0.1208731, -0.2660848, 116.9206, 94.48757, 81.21378, 204.4306, 105.5483, 97.20348, 87.51006, -11.0607, 15.9897, -52.00504, 80.18668, 55.74647, 16.5047, 75.48861, -90.20342, 68.50974, 4.698074, -145.9499, 3.508873
3, 4, -0.02839154, 0.1019959, -0.9943796, -0.006229414, -0.1295273, -0.9915563, 174.1435, 181.6355, 344.4449, 187.4424, 180.36, 182.7534, 13.2989, 1.275513, -161.6915, 0.7547496, 0.2897187, -0.5885713, 0.7680219, 0.1581949, -0.6205776, 153.7917, 127.9479, 69.00017, 165.699, 128.9389, 78.36116, 11.90729, -0.9909973, 9.360992, -20.35179, 53.68753, -275.4448, -21.74341, 51.42102, -104.3923, -1.391617, 2.26651, 171.0525, 3.708838
4, 0, 0.03275843, 0.2276367, -0.973195, -0.001054339, -0.1352983, -0.9908044, 166.8348, 178.0721, 8.189024, 187.7759, 180.061, 180.4465, 20.94106, -1.988861, 172.2575, -0.1876089, 0.004696427, -0.9822327, -0.1674123, -0.1691298, -0.9712715, 179.726, 190.8134, 271.434, 189.878, 189.7796, 224.7076, 10.15196, 1.033768, -46.72638, 12.89122, -12.74129, 263.245, 2.102127, -9.718658, 44.26112, -10.78909, -3.022629, -218.9838, 3.275841
5, 2, -0.01767911, 0.1804475, -0.9834257, 0.003415514, -0.1305796, -0.9914319, 169.6025, 181.0299, 354.4044, 187.5031, 179.8026, 178.5017, 17.90059, 1.227295, -175.9027, -0.9709454, 0.0702429, 0.2287597, -0.9494838, -0.02380977, 0.3129115, 17.06962, 283.2574, 274.1378, 355.6487, 288.2401, 268.5635, 338.5791, -4.982758, -5.57431, -152.5329, -102.2275, -80.26654, 168.1456, -108.4375, 90.06186, 320.6785, 6.210052, 170.3284, 3.264893
6, 8, 0.01912003, 0.2370557, -0.9713079, -0.01115997, -0.1286607, -0.9916258, 166.2846, 178.8723, 4.611283, 187.3927, 180.6448, 184.9574, 21.10805, -1.772507, 180.3461, 0.288038, 0.3359759, -0.8967468, 0.2073241, 0.01650255, -0.9781331, 159.461, 162.1928, 40.60706, 179.0334, 168.0328, 85.44897, 19.57243, -5.839951, 44.84192, -6.823624, 16.67947, 35.99578, -8.359238, 12.61203, -99.50842, -1.535614, 4.067444, -135.5042, 3.254402
7, 6, 0.09228601, 0.07274639, -0.9930718, 0.01541205, -0.1250042, -0.9920365, 175.8103, 174.6908, 51.75231, 187.1819, 179.1099, 172.9713, 11.37151, -4.419174, 121.219, 0.8375773, -0.05266663, 0.5437743, 0.8783519, -0.2650037, 0.3978329, 354.4679, 57.00745, 93.59801, 326.3317, 65.63275, 106.7889, -28.13623, -8.625305, 13.19086, 178.6576, 117.6833, 41.8457, 139.1498, 113.4772, -66.18248, -39.50774, 4.206131, -108.0282, 3.986927
8, 7, 0.09808382, 0.22017, -0.9705178, 0.02877681, -0.1296439, -0.9911429, 167.2183, 174.2291, 24.01256, 187.4521, 178.3369, 167.4851, 20.2338, -4.107864, 143.4725, 0.6222104, 0.2322842, -0.747595, 0.4192914, 0.004184108, -0.9078421, 162.7395, 140.23, 69.52834, 179.7359, 155.2099, 89.42827, 16.9964, -14.97993, 19.89993, -4.47879, 33.9991, 45.51578, -7.716187, 23.12703, -78.05679, -3.237396, 10.87207, -123.5726, 3.464419
9, 8, 0.07041566, 0.1047388, -0.9920039, 0.03854128, -0.1261512, -0.991262, 173.9729, 175.9398, 33.91286, 187.2527, 177.7734, 163.0112, 13.27979, -1.833633, 129.0984, 0.358904, 0.2961847, -0.8851343, 0.2102336, 0.01682553, -0.9775063, 161.4987, 157.9284, 50.46892, 179.0139, 167.8622, 85.42422, 17.51523, -9.933777, 34.9553, -12.47421, 18.01134, 16.55606, -8.23877, 9.911194, -77.58699, 4.235443, 8.100143, -94.14305, 3.008356
