SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00SC, flat, 68", male, 25, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.01895818, 0.1351906, -0.9906383, 0.00498156, -0.1243377, -0.9922274, 172.229, 181.0963, 352.0173, 187.1426, 179.7123, 177.7057, 14.91364, 1.384003, -174.3116, 0.2510171, -0.2577747, 0.9330288, -0.098538, -0.5746132, 0.8124715, 344.5557, 15.05801, 135.7609, 324.7305, 353.0848, 189.7308, -19.82526, -338.0268, 53.96982, 172.3268, 166.0383, -216.2564, 137.5879, -173.3725, 12.02507, -34.73889, 339.4108, 228.2814, 6.26443
1, 1, -0.006245354, 0.09258986, -0.9956849, 0.007615966, -0.133999, -0.9909522, 174.6873, 180.3594, 356.1411, 187.701, 179.5597, 176.747, 13.01367, 0.7997131, -179.3941, -0.4352758, 0.07669029, -0.897025, -0.405291, 0.1740401, -0.8974682, 175.1134, 205.8847, 279.9922, 169.0252, 204.3036, 293.2397, -6.088211, 1.581055, 13.24741, 0.4261627, -25.52531, -76.1489, -18.67572, -24.74397, 116.4926, -19.10188, -0.7813416, 192.6415, 2.711535
2, 3, -0.009085888, 0.1035477, -0.994583, 0.02020457, -0.1309348, -0.9911851, 174.0563, 180.5234, 354.9854, 187.5251, 178.8322, 171.2279, 13.46889, 1.691177, -183.7575, 0.9992195, 0.02247649, -0.03248689, 0.9801803, -0.1022178, -0.1696996, 145.3221, 91.86216, 88.7114, 211.0625, 99.8223, 95.95355, 65.74042, -7.960144, 7.242149, -28.73421, 88.66125, -266.274, 23.53732, 79.00993, -75.27432, 52.27153, 9.651321, 190.9997, 3.19808
3, 4, 0.9214818, 0.0246167, -0.387641, -0.04521324, -0.1206063, -0.9916703, 176.3664, 112.8151, 88.46976, 186.9342, 182.6105, 200.5502, 10.56784, -69.79538, 112.0804, 0.7102531, 0.4513339, -0.5402209, 0.7882623, 0.1707974, -0.5911605, 140.1225, 127.2567, 57.56588, 163.885, 126.8682, 77.77438, 23.76247, 0.3885269, 20.2085, -36.24385, -14.44164, -30.90388, -23.04922, 55.74226, -122.7758, 13.19463, -70.18391, -91.87192, 3.39904
4, 0, -0.0007325031, 0.123514, -0.9923426, 0.0138083, -0.128767, -0.9915788, 172.9051, 180.0423, 359.6602, 187.399, 179.2022, 173.8793, 14.49399, 0.8401031, -185.7809, -0.0461585, -0.3367326, -0.9404682, -0.1819736, -0.1584439, -0.9704542, 199.6998, 182.8098, 187.8053, 189.2727, 190.6204, 228.954, -10.42705, -7.810593, 41.14867, 26.79472, -2.767548, -171.8549, 1.873688, -11.41824, 55.07469, -24.92104, 8.650696, 226.9296, 2.732253
5, 2, 0.007584458, -0.03454942, -0.9993743, 0.02011598, -0.1215339, -0.9923835, 181.98, 179.5652, 167.6186, 186.9821, 178.8387, 170.6018, 5.002075, 0.7264404, 2.9832, -0.8661457, 0.2893511, 0.4075141, -0.8969362, -0.01002301, 0.4420464, 35.37626, 295.1966, 288.4728, 358.7011, 296.2359, 269.3598, 323.3248, -1.039337, -19.11301, -146.6037, -115.6314, 120.8542, 171.719, -117.3972, 98.75801, 318.3228, 1.765778, -22.09621, 2.510208
6, 8, -0.4629285, 0.05678962, -0.8845745, 0.03082266, -0.1269831, -0.9914259, 176.3267, 207.6246, 276.9938, 187.2988, 178.2193, 166.3564, 10.97211, 29.40532, -110.6374, 0.2348555, 0.3758703, -0.8964176, 0.193314, 0.02466346, -0.9808269, 157.2516, 165.3189, 31.99843, 178.5596, 168.8503, 82.72935, 21.308, -3.531464, 50.73092, -19.07509, 42.30576, -244.9954, -8.739197, 9.368973, -83.62708, 10.33589, 32.93678, 161.3683, 3.165864
7, 6, 0.05166395, 0.1520912, -0.9870154, 0.04083121, -0.134315, -0.9900971, 171.2401, 177.0037, 18.76213, 187.7255, 177.6385, 163.0909, 16.48543, -0.6348114, 144.3288, 0.8930784, 0.0781184, 0.4430672, 0.8272383, -0.1950213, 0.526919, 9.999209, 63.61343, 85.00101, 339.6897, 57.50443, 103.2653, 329.6905, 6.108997, 18.26425, -161.2409, 113.3903, 66.23888, 151.9642, 120.1341, -59.82568, 313.205, -6.743813, -126.0646, 3.444498
8, 7, 0.005218172, 0.05638488, -0.9983956, -0.02446121, -0.1267311, -0.9916355, 176.7676, 179.7005, 5.287411, 187.2829, 181.4131, 190.9247, 10.51529, -1.712524, 185.6373, 0.4344288, 0.2533928, -0.8643287, 0.4256432, 0.01469752, -0.9047717, 163.6606, 153.315, 59.74592, 179.0693, 154.8057, 88.02235, 15.40874, -1.490723, 28.27644, -13.10704, 26.38556, 54.45851, -8.213593, 26.60736, -102.9023, 4.893448, -0.2218018, -157.3608, 2.777964
9, 8, 0.08107052, 0.1925215, -0.9779381, -0.04468317, -0.1286497, -0.990683, 168.8629, 175.261, 22.83589, 187.399, 182.5825, 199.1534, 18.5361, -7.321442, 176.3175, 0.1833905, 0.4127381, -0.892197, 0.1885847, 0.0253808, -0.9817289, 155.1743, 168.3847, 23.95685, 178.5191, 169.1263, 82.33487, 23.34473, -0.7415771, 58.37802, -13.68857, 6.876373, 1.120956, -8.879944, 13.45624, -116.8185, 4.808624, -6.579865, -117.9395, 2.998988
