SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00SJ, flat, 64", female, 14, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.0004885711, -0.1324445, -0.9911905, 0.002214233, -0.113612, -0.9935227, 187.6109, 180.0282, 180.2114, 186.5236, 179.8723, 178.8835, -1.08728, 0.1559296, -1.327896, -0.3312408, -0.3934096, 0.8576179, -0.3102953, -0.4300785, 0.8477908, 335.358, 338.8818, 220.0965, 333.1016, 339.8972, 215.8099, -2.256348, -1.015381, -4.286636, 147.7471, -158.8535, 39.88516, 146.578, -160.0248, 36.92642, -1.169067, 1.17131, -2.95874, 4.242125
1, 1, 0.05931935, -0.09489492, -0.9937184, 0.008097954, -0.1176896, -0.9930174, 185.4549, 176.5838, 147.9903, 186.759, 179.5328, 176.0638, 1.304092, -2.948944, 28.07355, -0.29735, 0.2400333, -0.9241035, -0.4251816, 0.1884892, -0.8852641, 165.4394, 197.8367, 308.9119, 167.9802, 205.6544, 293.9084, 2.540802, -7.817734, -15.00351, -20.01555, -21.25285, 160.9217, -18.77884, -26.12164, 117.8446, 1.23671, 4.86879, -43.07706, 2.85044
2, 3, 0.02196273, -0.07930064, -0.996609, 0.01146538, -0.1142207, -0.9933892, 184.5495, 178.7375, 164.5197, 186.5591, 179.3387, 174.2679, 2.009659, -0.601181, 9.748245, 0.9747263, -0.01165286, 0.2230986, 0.988701, -0.08050252, -0.1264499, 357.01, 77.10802, 90.68494, 212.4823, 97.28828, 94.6549, -144.5278, -20.18026, 3.969955, 172.4606, 101.6295, -73.83471, 25.92317, 82.05045, -79.613, -146.5374, 19.57908, -5.77829, 2.908213
3, 4, 0.005377526, -0.1058764, -0.994365, 0.0009315881, -0.1116397, -0.9937484, 186.0777, 179.6902, 177.0924, 186.4098, 179.9463, 179.5219, 0.3320923, -0.256134, 2.429504, 0.8166807, 0.3089181, -0.4874447, 0.8179051, 0.1953842, -0.5411621, 147.6355, 120.8313, 69.28035, 160.1481, 123.4904, 76.56476, 12.51257, -2.659058, 7.284409, -38.44221, 58.85883, -107.8121, -26.26173, 56.45591, -102.9572, 12.18048, 2.402924, 4.854904, 2.953634
4, 0, 0.03741772, -0.0197814, -0.999104, 0.001697049, -0.1151723, -0.9933441, 181.1343, 177.8552, 117.8638, 186.6136, 179.9021, 179.1558, 5.479309, -2.046906, 61.29204, -0.2825442, -0.39538, -0.8739817, -0.175649, -0.1576316, -0.9717508, 204.3415, 197.9152, 215.5501, 189.2139, 190.2459, 228.0944, -15.12758, 7.669296, 12.54428, 23.20723, -20.05997, 97.68636, 2.600342, -10.34377, 48.9386, -20.60689, -9.716202, -48.74776, 2.599434
5, 2, 0.07764497, -0.09215334, -0.992713, 0.009450042, -0.1126881, -0.9935855, 185.3036, 175.5277, 139.8838, 186.4706, 179.4551, 175.2064, 1.167023, -3.927353, 35.32263, -0.9693134, 0.2428551, 0.03811786, -0.8391867, 0.0174464, 0.5435635, 81.07979, 272.252, 284.0656, 1.838353, 302.9322, 271.191, -79.24143, -30.68024, -12.87457, -104.2238, -96.72423, 144.1818, -184.6322, -123.4771, 95.98459, -80.40846, 26.75288, -48.1972, 2.876966
6, 8, 0.04918203, -0.06260006, -0.9968262, 0.009596919, -0.1166985, -0.993121, 183.5934, 177.1754, 141.8449, 186.7019, 179.4464, 175.2988, 3.108475, -2.27095, 33.45387, 0.2119267, 0.2183686, -0.9525766, 0.2176316, 0.03465111, -0.9754157, 167.0886, 167.4573, 44.1423, 177.9655, 167.4224, 80.95335, 10.87685, 0.03489685, 36.81105, -16.50482, 9.71814, -97.70259, -8.73645, 12.02399, -94.34541, 7.768372, -2.305847, 3.357178, 2.719919
7, 6, -0.05812288, -0.0646315, -0.9962151, 0.01229048, -0.1141356, -0.9933892, 183.712, 183.3391, 221.9649, 186.5543, 179.2912, 173.8539, 2.8423, 4.047913, -48.11105, 0.8252535, -0.147363, 0.5451979, 0.7698219, -0.1852416, 0.6107861, 344.8748, 56.54954, 100.1244, 343.1283, 51.57109, 103.5298, -1.74649, 4.978451, 3.405388, 161.1628, 126.7895, -121.8405, 156.574, 127.7201, -70.32407, -4.588791, -0.9305344, 51.51644, 3.128216
8, 7, 0.004032737, -0.04385921, -0.9990298, 0.00109705, -0.1155581, -0.9933001, 182.5138, 179.7687, 174.7466, 186.6358, 179.9367, 179.4561, 4.12204, -0.1679993, 4.709503, 0.4845825, 0.1778047, -0.8564844, 0.4487592, 0.0236497, -0.8933397, 168.2721, 150.4996, 69.85072, 178.4835, 153.3279, 86.98329, 10.21146, -2.828201, 17.13257, -14.2417, 29.26907, -104.8959, -8.152283, 26.60887, -92.47279, 6.089417, 2.660202, 12.42307, 2.931021
9, 8, -0.006176336, -0.1461222, -0.9892475, 7.071596E-06, -0.1102293, -0.9939061, 188.4024, 180.3577, 182.4203, 186.3285, 179.9996, 179.9963, -2.073883, 0.3581085, -2.424011, 0.223189, 0.4241022, -0.8776812, 0.2129722, 0.03187972, -0.9765381, 154.2098, 165.7324, 27.75614, 178.1302, 167.6971, 81.48663, 23.92039, -1.96463, 53.7305, -34.19261, 14.62527, -154.6642, -8.198334, 12.30254, -98.5097, 25.99428, 2.322739, 56.15451, 5.58567
