SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01AJ, flat, 65", female, 17, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.04368641, 0.0324566, -0.998518, -0.01564409, -0.071905, -0.9972888, 178.1383, 182.5052, 306.6103, 184.1239, 180.8987, 192.2743, 5.985641, 1.606461, -114.336, -0.2490063, -0.06804232, 0.9661087, -0.2217119, -0.4859158, 0.8454169, 355.9713, 345.5471, 254.7167, 330.1112, 345.305, 204.5261, -25.86011, 0.2420349, -50.19063, 177.8331, -163.0419, -51.8936, 145.9873, -164.4063, 12.25175, -31.84575, 1.364426, 64.14536, 10.66145
1, 1, 0.03975279, 0.06800687, -0.9968926, -0.00764413, -0.07725243, -0.9969823, 176.0974, 177.7164, 30.30803, 184.4308, 180.4393, 185.651, 8.333374, -2.722855, 155.343, -0.5525165, 0.1562899, -0.818718, -0.4099492, 0.2213001, -0.8848547, 169.1925, 214.0137, 285.7946, 165.9585, 204.8581, 298.3612, -3.234009, 9.155594, 12.56665, -6.904892, -36.29723, 255.4865, -18.47227, -24.41878, 112.7102, -11.56738, -11.87845, -142.7763, 5.775431
2, 3, 0.07732732, -0.01573223, -0.9968818, -0.006042335, -0.07957765, -0.9968103, 180.9041, 175.5645, 101.4999, 184.5644, 180.3473, 184.3421, 3.660248, -4.782806, 82.84227, 0.999242, 0.01594249, 0.0355126, 0.9839077, -0.03899706, -0.17437, 24.17649, 87.96459, 89.08595, 192.6065, 100.0497, 92.26972, 168.43, -12.08514, 3.183777, -156.7276, 87.59991, -12.41392, 8.042114, 80.29758, -92.07241, 164.7697, 7.30233, -79.65849, 5.940584
3, 4, 0.002172641, 0.0001835338, -0.9999977, -0.01679021, -0.07383945, -0.9971288, 179.9895, 179.8755, 85.17141, 184.2351, 180.9647, 192.8105, 4.245651, -1.089172, 107.6391, 0.9050271, 0.05209928, -0.4221513, 0.7783986, 0.2419512, -0.5792713, 172.9645, 115.0068, 86.70531, 157.3306, 126.656, 72.73309, -15.63391, -11.64923, -13.97223, -7.024994, 64.86874, 1.533905, -26.90456, 54.30868, -120.0775, -19.87956, 10.56006, -121.6114, 5.886538
4, 0, 0.02685871, -0.01889318, -0.9994608, 0.008500354, -0.07498532, -0.9971485, 181.0829, 178.4606, 125.1236, 184.3005, 179.5116, 173.5325, 3.217575, -1.050934, 48.40891, -0.2302185, -0.2302486, -0.9455079, -0.1813238, -0.1450388, -0.9726691, 193.6862, 193.6845, 224.9962, 188.4811, 190.5598, 231.3441, -5.205063, 3.124664, 6.347839, 12.60324, -15.22382, 99.8726, 4.180603, -11.04822, 57.81154, -8.422638, -4.175598, -42.06107, 3.284298
5, 2, 0.05391258, -0.03312179, -0.9979964, -0.003901363, -0.07624892, -0.9970812, 181.9008, 176.9078, 121.5649, 184.373, 180.2242, 182.929, 2.472168, -3.316345, 61.36411, -0.9495047, 0.06157418, 0.3076517, -0.9179848, 0.1028258, 0.3830544, 11.31779, 287.953, 273.7104, 15.02605, 292.6497, 276.3912, 3.708262, -4.696686, 2.680847, -170.5831, -111.0452, 152.1454, -169.347, -112.4255, 93.46216, 1.236099, 1.380341, -58.68326, 4.165755
6, 8, 0.02160652, 0.02692418, -0.9994041, 0.002408674, -0.07834789, -0.9969232, 178.4568, 178.7615, 38.74688, 184.4936, 179.8616, 178.2391, 6.036819, -1.100082, 139.4922, 0.4183037, 0.07709983, -0.9050293, 0.2037995, 0.05370311, -0.9775386, 175.1307, 155.1937, 79.55671, 176.8555, 168.2235, 75.2376, 1.724792, -13.02986, -4.319107, -3.326096, 23.56783, 40.80983, -7.638123, 11.63805, -103.0015, -4.312027, 11.92978, -143.8113, 3.764852
7, 6, 0.0397746, -0.01780155, -0.9990502, -0.001950487, -0.07485653, -0.9971924, 181.0208, 177.7201, 114.1114, 184.293, 180.1121, 181.4926, 3.272171, -2.391937, 67.38116, 0.9327786, 0.007594872, 0.36037, 0.7989365, -0.133526, 0.5864053, 1.207342, 68.87645, 89.53349, 347.1723, 53.72199, 99.48814, 345.965, 15.15446, 9.954643, -179.8135, 108.8437, -24.57793, 162.8793, 126.3901, -82.00445, 342.6928, -17.5464, -57.42652, 5.005804
8, 7, 0.03472168, 0.01159934, -0.9993299, -0.02913028, -0.07466939, -0.9967827, 179.335, 178.0101, 71.52727, 184.2841, 181.674, 201.3119, 4.949066, -3.663895, 129.7847, 0.5953586, -0.07701663, -0.7997604, 0.4212573, 0.04932139, -0.9055991, 185.5006, 143.3352, 97.37095, 176.8826, 155.0536, 83.32214, -8.618011, -11.71835, -14.04881, 6.165619, 34.67484, 25.84368, -7.401459, 26.62038, -117.9898, -13.56708, 8.054459, -143.8335, 3.975837
9, 8, -0.006048399, -0.04018021, -0.9991742, -0.01254335, -0.07307123, -0.9972478, 182.3028, 180.3468, 188.5606, 184.1907, 180.7206, 189.7404, 1.887909, -0.3737793, 1.179855, 0.3454619, 0.1195196, -0.9307907, 0.1939816, 0.05335494, -0.9795532, 172.6829, 159.6376, 70.9159, 176.8823, 168.7986, 74.621, 4.199371, -9.16095, 3.705101, -9.619934, 20.70918, -117.6447, -7.308472, 11.92201, -115.1194, 2.311462, 8.78717, 2.525246, 3.56494
