SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01RMB, flat, 52", female, 8, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.0119367, -0.01368008, -0.9998352, -0.01211128, -0.04164205, -0.9990592, 180.7839, 179.316, 138.8933, 182.3868, 180.6945, 196.2167, 1.60289, -1.378525, 57.32335, -0.5481302, -0.4082342, 0.7299987, -0.2380687, -0.2687587, 0.9333231, 330.7849, 323.0984, 233.3221, 343.9358, 345.6903, 221.5348, 13.15082, -22.59192, -11.78735, 150.0011, -143.7824, 94.42882, 161.549, -164.9958, 25.31812, 11.54793, 21.21339, -69.1107, 3.709031
1, 1, 0.07977783, -0.09730832, -0.9920519, -0.01376707, -0.04088228, -0.9990691, 185.6021, 175.4023, 140.6535, 182.3432, 180.7895, 198.6109, -3.25885, -5.387131, 57.95737, -0.6627112, -0.06894828, -0.7456943, -0.4242679, 0.2609305, -0.8671286, 185.2827, 221.628, 264.0603, 163.2528, 206.0715, 301.5921, -22.02989, 15.5565, 37.53174, -0.3194427, -46.22569, 123.4068, -19.09048, -25.28206, 102.9812, -18.77104, -20.94363, -20.42563, 4.064054
2, 3, 0.008509474, -0.3114586, -0.9502216, 0.0002535061, -0.02434811, -0.9997035, 198.1478, 179.4869, 178.435, 181.3952, 179.9855, 179.4035, -16.75264, -0.4985504, 0.9684753, 0.9856828, -0.08918596, -0.1430913, 0.9948989, 0.008523419, -0.1005167, 211.9345, 98.25992, 95.17012, 175.1531, 95.76913, 89.50916, -36.78133, 2.490784, -5.660965, 13.78664, 81.22701, -83.26488, -6.24205, 84.21634, -89.89432, -20.02869, -2.989334, -6.62944, 3.686704
3, 4, 0.04388588, -0.06148784, -0.9971426, -0.002514886, -0.04615432, -0.9989311, 183.5286, 177.4799, 144.4833, 182.6454, 180.1442, 183.1189, -0.8832245, -2.664291, 38.63557, 0.8244047, 0.2139082, -0.5240231, 0.8099037, 0.257215, -0.5271589, 157.7945, 122.4416, 75.45424, 153.991, 123.0597, 72.38083, -3.803528, -0.6181488, -3.07341, -25.73409, 55.03836, -69.02907, -28.65439, 57.0845, -110.7381, -2.920303, -2.046143, -41.70898, 3.56442
4, 0, -0.04341273, -0.1076357, -0.9932421, 0.008898751, -0.0449908, -0.9989478, 186.1849, 182.5027, 201.9657, 182.5788, 179.4896, 168.8119, -3.60614, 3.013092, -33.15384, -0.2580472, -0.2786255, -0.9250836, -0.190215, -0.1342789, -0.9725161, 196.7617, 195.5862, 222.8041, 187.8613, 191.0668, 234.7805, -8.900406, 4.519348, 11.97638, 10.57686, -13.08345, 20.83842, 5.282593, -11.57719, 65.96864, -5.294266, -1.506256, 45.13022, 3.763735
5, 2, 0.007722543, -0.1133538, -0.9935247, -0.00529008, -0.04018876, -0.9991781, 186.5089, 179.5547, 176.1026, 182.3033, 180.3033, 187.4988, -4.205582, -0.7486877, 11.39619, -0.9385551, -0.1972655, 0.2831974, -0.8398787, 0.1549975, 0.5201727, 325.1403, 286.7905, 258.1303, 16.59264, 301.7717, 280.4561, -308.5476, -14.98117, 22.32581, 138.6314, -107.2359, 82.02776, -165.7107, -121.4684, 92.95737, -304.342, 14.23248, 10.92961, 3.620277
6, 8, 0.128721, -0.09671407, -0.9869537, -0.01244423, -0.0446465, -0.9989253, 185.5967, 172.5693, 126.9192, 182.5591, 180.7137, 195.5746, -3.037598, -8.144455, 68.6554, 0.1587308, 0.3281168, -0.9312056, 0.2185264, 0.06655558, -0.9735587, 160.5897, 170.3265, 25.81598, 176.0892, 167.349, 73.06108, 15.49942, 2.977493, 47.2451, -25.00696, 2.242783, -101.1033, -6.46994, 13.36473, -122.5136, 18.53702, -11.12195, -21.4103, 3.365251
7, 6, 0.07222258, 0.07088125, -0.9948668, 0.02375102, -0.04739877, -0.9985936, 175.9247, 175.8479, 45.53703, 182.7175, 178.6375, 153.385, 6.792801, -2.789627, 107.848, 0.6983795, -0.02052022, 0.7154335, 0.7576415, -0.07948779, 0.6478126, 358.3571, 44.30891, 91.68301, 353.0047, 49.46828, 95.98927, -5.352417, -5.159378, 4.306252, 182.4324, 131.539, 46.14599, 170.2871, 129.1692, -57.39577, -12.14522, 2.369751, -103.5418, 3.076301
8, 7, 0.08279205, -0.04290872, -0.9956427, 0.01233594, -0.04643274, -0.9988452, 182.4677, 175.2465, 117.3964, 182.6616, 179.2924, 165.1217, 0.1938477, -4.045883, 47.72531, 0.3686507, 0.3440318, -0.8635619, 0.4546685, 0.05918631, -0.8886921, 158.2783, 156.8826, 46.97844, 176.1898, 152.905, 82.58325, 17.91147, 3.977554, 35.60481, -24.18941, 18.36397, -70.41797, -6.471786, 26.38741, -82.53847, 17.71762, -8.023438, -12.1205, 3.387249
9, 8, 0.07754347, 0.1510454, -0.9854809, -0.007418849, -0.04853355, -0.998794, 171.2861, 175.5009, 27.17499, 182.7819, 180.4256, 188.691, 11.49586, -4.924667, 161.516, 0.1721188, 0.4567406, -0.8727906, 0.2149806, 0.0648184, -0.974465, 152.3765, 168.8441, 20.64849, 176.1945, 167.559, 73.22151, 23.81801, 1.28508, 52.57302, -18.90959, 6.656784, -6.526503, -6.587448, 12.86653, -115.4695, 12.32214, -6.209747, -108.943, 3.031832
10, 4, -0.006903172, 0.05567454, -0.9984252, -0.00452719, -0.04725313, -0.9988726, 176.8083, 180.3961, 352.9319, 182.7084, 180.2597, 185.4726, 5.900085, 0.1364746, -167.4592, 0.8313119, 0.4027317, -0.3830504, 0.8011983, 0.2477686, -0.5446945, 133.5652, 114.7392, 64.15199, 155.5403, 124.2098, 72.81591, 21.97511, -9.470604, 8.663925, -43.24312, 65.65694, -288.7799, -27.16809, 56.04986, -112.6567, 16.07503, 9.607079, 176.1232, 4.008545
11, 7, -0.01841261, 0.1449183, -0.9892722, -0.01292282, -0.04913079, -0.9987088, 171.666, 181.0663, 352.7591, 182.8164, 180.7413, 194.7366, 11.15033, 0.3249359, -158.0224, 0.5715328, 0.271943, -0.7742077, 0.4463189, 0.05870814, -0.8929461, 160.646, 143.5647, 64.55426, 176.2384, 153.4429, 82.50642, 15.59241, -9.87822, 17.95216, -11.02002, 37.50163, -288.2048, -6.577942, 27.29848, -112.2302, 4.442078, 10.20316, 175.9746, 3.121449
12, 1, -0.04813948, -0.04517549, -0.9978185, -0.0004677077, -0.04451743, -0.9990085, 182.5923, 182.7621, 226.8193, 182.5515, 180.0268, 180.6019, -0.04075623, 2.73526, -46.21735, -0.5685763, 0.4691597, -0.6757294, -0.425417, 0.2437682, -0.8715489, 145.2277, 220.0781, 309.5277, 164.3739, 206.0177, 299.8131, 19.14624, 14.06038, -9.714539, -37.36455, -37.31604, 82.70839, -18.17755, -25.99092, 119.2112, 19.187, -11.32512, 36.50281, 3.264851
13, 3, -0.03265181, -0.12544, -0.991564, -0.006626114, -0.04585931, -0.9989259, 187.21, 181.886, 194.5902, 182.6285, 180.3801, 188.2216, -4.581497, 1.505997, -6.368576, 0.8518974, 0.416274, -0.3177844, 0.9979096, -0.017039, -0.06233923, 127.3582, 110.4571, 63.95787, 195.2871, 93.57461, 90.97822, 67.92892, 16.88248, 27.02035, -59.85183, 71.42896, -130.6324, 12.65858, 86.80544, -97.24343, 72.51041, -15.37649, 33.38892, 4.152701
