SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
05PK, flat, 64", female, 24, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.02703291, -0.1197994, -0.99243, 0.007972545, -0.09398114, -0.995542, 186.883, 181.5603, 192.7159, 185.3929, 179.5412, 175.1511, -1.490189, 2.019119, -17.56477, -0.3042762, -0.1386262, 0.942443, -0.04454654, -0.5053695, 0.8617524, 351.6322, 342.1069, 245.5063, 329.6108, 357.0408, 185.0374, -22.02145, -14.93396, -60.46892, 164.7492, -160.5466, 52.79041, 144.2179, -177.4997, 9.886261, -20.53127, 16.95308, -42.90414, 4.574456
1, 1, -0.1459787, -0.1160864, -0.9824532, 0.02490046, -0.09443941, -0.9952192, 186.7388, 188.4515, 231.5073, 185.4207, 178.5668, 165.2292, -1.318069, 9.88475, -66.27806, -0.7749752, 0.03905504, -0.6307839, -0.3455481, 0.1970369, -0.9174818, 176.457, 230.8564, 272.885, 167.8794, 200.6377, 299.6924, -8.577682, 30.21873, 26.80743, -10.28177, -42.40494, 41.37773, -17.54138, -22.07095, 134.4632, -7.259613, -20.33398, 93.08549, 3.684982
2, 3, -0.1040705, -0.01359686, -0.9944769, 0.03104665, -0.1022754, -0.9942715, 180.7833, 185.9742, 262.5565, 185.873, 178.2115, 163.1138, 5.089722, 7.762665, -99.44261, 0.9782519, -0.009155907, -0.2072186, 0.9798345, -0.06928345, -0.1874142, 182.53, 101.9599, 90.53624, 200.2884, 100.8283, 94.04462, 17.75844, 1.131653, 3.508377, 1.746628, 84.01426, -172.0202, 14.41534, 77.38325, -69.06923, 12.66872, 6.631012, 102.951, 4.132321
3, 4, 0.005834666, -0.1045314, -0.9945046, 0.02123557, -0.09299872, -0.9954398, 186.0003, 179.6638, 176.8052, 185.3373, 178.7779, 167.1375, -0.6629333, 0.8859406, -9.66774, 0.8198025, 0.02999326, -0.5718606, 0.783487, 0.2072199, -0.5858397, 176.9977, 124.8981, 87.90472, 160.5206, 126.7867, 75.18539, -16.4771, -1.888657, -12.71932, -9.002594, 54.76579, -88.90049, -24.81676, 51.9912, -91.95207, -15.81416, 2.774597, -3.051582, 3.997198
4, 0, 0.07724059, -0.07824351, -0.9939378, 0.01771792, -0.09435418, -0.995381, 184.5011, 175.5564, 135.3696, 185.415, 178.9802, 169.3648, 0.9139099, -3.423859, 33.99522, -0.4236107, -0.08274059, -0.9020577, -0.161607, -0.1566789, -0.9743382, 185.2407, 205.155, 258.948, 189.1353, 189.4175, 225.8871, 3.894531, 15.73746, -33.06094, 0.7396545, -29.5986, 123.5784, 3.720276, -10.43729, 56.52226, 2.980621, -19.16132, -67.05617, 3.620924
5, 2, -0.05849023, -0.07079241, -0.9957747, 0.01780951, -0.09732053, -0.9950937, 184.0665, 183.3616, 219.5643, 185.5858, 178.9747, 169.6297, 1.519302, 4.386917, -49.93456, -0.8142678, -0.07501436, 0.575622, -0.8765993, 0.08202285, 0.4741791, 352.5751, 305.2572, 264.7365, 9.813832, 298.4103, 275.3456, -342.7613, 6.846924, 10.6091, 168.5087, -121.8956, 45.17223, -175.7719, -119.4356, 105.7159, -344.2806, -2.460007, 60.54366, 4.044383
6, 8, -0.1227514, -0.02718184, -0.9920653, 0.02212618, -0.09603655, -0.9951319, 181.5695, 187.0535, 257.514, 185.5123, 178.7263, 167.0258, 3.942886, 8.327271, -90.48817, 0.3593422, -0.0614843, -0.9311782, 0.1897432, 0.04402479, -0.9808462, 183.7777, 158.8984, 99.70942, 177.43, 169.0515, 76.93719, -6.347641, -10.15308, -22.77222, 2.208221, 28.15517, -157.8046, -8.082306, 9.67482, -90.08864, -10.29053, 18.48035, 67.71596, 3.509089
7, 6, -0.1021299, -0.08083852, -0.9914812, 0.02332667, -0.09445524, -0.9952558, 184.6612, 185.8811, 231.6375, 185.4214, 178.6573, 166.1278, 0.7602539, 7.223785, -65.50964, 0.5428287, -0.03248662, 0.8392149, 0.8687993, -0.1776593, 0.4621957, 357.7831, 32.89597, 93.4249, 338.9742, 61.98731, 101.557, -18.80896, -29.09134, 8.132095, 173.1219, 152.9852, -138.2126, 153.5527, 116.67, -64.57082, -19.56921, 36.31512, 73.64174, 4.864251
8, 7, 0.06698164, -0.09431576, -0.9932866, 0.01195032, -0.0939093, -0.9955091, 185.4242, 176.1421, 144.6182, 185.3889, 179.3122, 172.7479, -0.03523254, -3.170105, 28.12967, 0.6009947, -0.01627547, -0.7990875, 0.4352785, 0.0323013, -0.8997162, 181.1668, 143.0531, 91.55124, 177.9439, 154.1825, 85.75596, -3.222931, -11.12941, -5.79528, -4.257355, 33.08902, -53.06697, -7.445053, 25.12971, -86.99192, -3.187698, 7.959305, -33.92495, 3.508507
9, 8, -0.05184547, -0.05955563, -0.996878, 0.02708176, -0.09390186, -0.9952131, 183.4189, 182.9771, 221.0408, 185.3901, 178.4413, 163.9122, 1.971191, 4.535889, -57.12863, 0.4269586, -0.04817041, -0.9029874, 0.1965248, 0.04468746, -0.97948, 183.0536, 154.6939, 96.43702, 177.3878, 168.6547, 77.18943, -5.665802, -13.96085, -19.24759, -0.3653412, 28.28328, -124.6038, -8.002335, 9.786545, -86.72276, -7.636993, 18.49673, 37.88104, 2.997452
