SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01LB, flat, 65", female, 27, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.07611441, 0.2159468, -0.973434, 0.01817464, -0.1090726, -0.9938676, 167.4921, 175.5291, 19.41594, 186.2629, 178.9524, 170.5398, 18.77083, -3.423309, 151.1238, -0.8448915, 0.07758415, 0.5292816, -0.9117842, 0.04964545, 0.4076579, 8.339248, 302.0651, 275.2466, 6.943412, 294.0894, 273.1166, -1.395836, 7.975677, -2.130005, -159.1528, -126.536, 255.8307, -179.3195, -115.137, 102.5768, -20.16667, -11.39899, -153.2538, 4.330672
1, 0, 0.1209681, 0.1321246, -0.9838242, 0.01710424, -0.1068853, -0.9941242, 172.3511, 172.9903, 42.47599, 186.1367, 179.0143, 170.9084, 13.78558, -6.024033, 128.4324, -0.1073258, -0.2064907, -0.9725446, -0.177595, -0.1539255, -0.9719912, 191.987, 186.2974, 207.4637, 188.9987, 190.3544, 229.0838, -2.988342, -4.057007, 21.62016, 19.63591, -13.30716, 164.9877, 2.861984, -11.34013, 58.17545, -16.77393, -1.967026, -106.8122, 2.720616
2, 3, 0.0242482, 0.1057376, -0.9940984, 0.008692145, -0.1040064, -0.9945386, 173.9285, 178.6027, 12.91599, 185.9702, 179.4993, 175.2227, 12.04161, -0.8965454, 162.3067, 0.994428, 0.103221, -0.02140914, 0.983975, -0.07753503, -0.1605665, 101.7176, 91.23334, 84.07395, 205.7752, 99.26792, 94.50547, 104.0575, -8.034584, 10.43152, -72.21093, 87.36937, 71.15796, 19.80501, 80.23133, -80.71725, 92.01594, 7.138039, -151.8752, 3.153686
3, 4, 0.01387072, 0.09374325, -0.9954999, 0.02845567, -0.1001844, -0.9945619, 174.6205, 179.2017, 8.416702, 185.7521, 178.3611, 164.1437, 11.13164, 0.8405762, 155.727, 0.7739555, 0.2379531, -0.5868319, 0.8040991, 0.1915563, -0.5627884, 157.9281, 127.1703, 72.90992, 161.203, 124.9881, 76.60048, 3.274902, 2.182152, 3.690559, -16.69244, 52.03143, 64.49322, -24.54918, 53.373, -87.54324, -7.856735, -1.341576, -152.0365, 3.674742
4, 1, 0.09510323, 0.03038542, -0.9950038, 0.03858094, -0.09956004, -0.9942833, 178.2509, 174.5402, 72.28135, 185.7181, 177.7779, 158.8179, 7.467255, -3.237686, 86.53658, -0.1786419, 0.3023901, -0.9362945, -0.3759787, 0.1899192, -0.9069569, 162.1014, 190.802, 329.4268, 168.173, 202.5164, 296.7998, 6.071625, -11.71442, -32.62698, -16.14948, -16.26181, 257.1455, -17.5451, -24.73854, 137.9819, -1.39563, 8.47673, -119.1636, 2.751804
5, 5, 0.06038781, 0.002748776, -0.9981713, 0.03752657, -0.09777819, -0.9945005, 179.8422, 176.5379, 87.39377, 185.6152, 177.839, 159.0036, 5.77301, -1.301102, 71.60979, -0.2287828, -0.2034362, 0.9519833, -0.253717, -0.469097, 0.8459171, 347.9375, 346.4868, 228.3562, 330.9898, 343.3044, 208.4073, -16.94772, 3.182434, -19.94885, 168.0953, -169.9489, 140.9624, 145.3746, -165.4654, 49.40375, -22.72073, -4.483536, -91.55864, 4.209334
6, 7, 0.08855007, 0.143816, -0.9856347, 0.02664059, -0.1092687, -0.9936551, 171.6984, 174.8663, 31.62135, 186.2754, 178.4642, 166.2982, 14.57695, -3.597916, 134.6768, 0.6022095, 0.1477405, -0.7845486, 0.442683, 0.02796161, -0.8962421, 169.3354, 142.4906, 76.21583, 178.213, 153.7137, 86.38577, 8.877655, -11.22311, 10.16994, -2.363068, 32.37569, 44.59448, -8.062363, 24.75049, -79.91238, -5.699295, 7.625198, -124.5069, 3.486294
7, 8, 0.07148696, 0.1406129, -0.9874805, 0.01147092, -0.1066192, -0.9942337, 171.8958, 175.8594, 26.94859, 186.1209, 179.339, 173.8593, 14.22504, -3.479584, 146.9107, 0.3848325, 0.3119005, -0.8686901, 0.2091563, 0.03609197, -0.9772159, 160.2495, 156.1065, 50.9758, 177.8848, 167.9191, 80.20947, 17.63533, -11.81259, 29.23367, -11.64633, 19.75288, 24.02721, -8.236038, 11.41988, -93.64983, 3.410294, 8.333008, -117.677, 3.59746
8, 6, 0.079563, 0.06486239, -0.9947175, 0.01876766, -0.1030944, -0.9944945, 176.2692, 175.4269, 50.81194, 185.9184, 178.9189, 169.6827, 9.649216, -3.491959, 118.8707, 0.5817987, -0.05782636, 0.8112745, 0.7972351, -0.1733939, 0.5782307, 355.9229, 35.64588, 95.67612, 343.3076, 54.04681, 102.2704, -12.61533, -18.40092, 6.594276, 179.6537, 139.781, 44.86418, 157.3892, 124.8721, -67.41226, -22.26454, 14.90897, -112.2764, 4.709572
9, 1, -0.021179, 0.149427, -0.988546, -0.000631271, -0.1061892, -0.9943458, 171.4043, 181.2273, 351.9329, 186.0957, 180.0364, 180.3406, 14.69133, 1.190964, -171.5923, -0.1409235, 0.2991188, -0.9437524, -0.3993956, 0.1904124, -0.8967866, 162.4142, 188.4928, 334.7735, 168.0126, 204.0064, 295.4895, 5.598373, -15.51363, -39.284, -8.990158, -7.265457, -17.15939, -18.08311, -23.97005, 115.1489, -9.092957, 16.70459, 132.3083, 3.576417
