SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
02DD, flat, 63", female, 17, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.01595048, 0.1504873, -0.9884833, 0.03218989, -0.05840488, -0.9977739, 171.3437, 179.0755, 6.050317, 183.35, 178.1522, 151.1386, 12.00627, 0.9233704, 145.0883, -0.5470971, 0.1235434, 0.8279021, -0.8489235, 0.1436629, 0.5086156, 8.487315, 326.5423, 282.7249, 15.77279, 300.9271, 279.6051, 7.285474, 25.61523, -3.119751, -162.8564, -147.4668, 276.6746, -167.5772, -122.7749, 128.4665, -4.72081, -24.69186, -148.2081, 3.800929
1, 0, -0.017256, 0.1549811, -0.987767, 0.04106075, -0.06158819, -0.9972567, 171.083, 181.0008, 353.6467, 183.534, 177.6423, 146.3087, 12.451, 3.358582, -207.338, -0.2598992, -0.03275139, -0.9650803, -0.1729934, -0.1390964, -0.9750515, 181.9437, 195.0723, 262.8177, 188.1188, 190.0607, 231.1988, 6.175095, 5.011627, -31.61893, 10.86072, -14.0715, -90.82901, 4.584808, -12.41846, 84.89009, -6.275909, -1.653046, 175.7191, 2.720843
2, 3, 0.0265661, 0.07121294, -0.9971073, 0.04073417, -0.05645895, -0.9975736, 175.9149, 178.4738, 20.45811, 183.2393, 177.6617, 144.1902, 7.324356, 0.8121033, 123.7321, 0.9837287, 0.1521239, -0.09558334, 0.9906844, -0.01768698, -0.1350251, 122.1422, 95.54969, 81.2094, 187.4627, 97.76129, 91.02281, 65.3205, -2.211601, 9.813408, -53.77271, 82.92414, 60.7513, 4.223434, 79.90044, -53.16739, 57.99614, 3.023705, -113.9187, 3.153581
3, 4, -0.04256544, 0.1396191, -0.9892901, 0.03410595, -0.0603057, -0.9975971, 171.9669, 182.4637, 343.0452, 183.4594, 178.0419, 150.5096, 11.49251, 4.421768, -192.5356, 0.844529, 0.2792228, -0.4569527, 0.8167526, 0.2334105, -0.5276693, 148.5728, 118.4167, 71.7048, 156.1382, 122.8648, 74.05119, 7.565338, -4.44812, 2.346397, -23.39406, 64.04703, -271.3404, -27.32123, 55.17714, -76.45844, -3.92717, 8.869888, 194.882, 2.820473
4, 1, 0.07705835, 0.1400503, -0.9871414, 0.03020164, -0.06010789, -0.9977348, 171.9251, 175.5364, 28.82044, 183.4476, 178.2662, 153.3224, 11.52249, -2.729752, 124.502, -0.5105188, 0.2925038, -0.8085867, -0.3994543, 0.2439836, -0.8836902, 160.1126, 212.2672, 299.8107, 164.5654, 204.3244, 301.4163, 4.452805, 7.94278, 1.60553, -11.81252, -36.73074, 270.9903, -18.8822, -26.05821, 148.0938, -7.069687, -10.67253, -122.8965, 3.175185
5, 5, 0.05246289, 0.1119621, -0.9923267, 0.04387254, -0.05852532, -0.9973214, 173.5627, 176.9737, 25.10673, 183.3584, 177.4812, 143.1436, 9.795746, -0.5074921, 118.0368, -0.3609266, 0.09580695, 0.92766, -0.08567995, -0.3362183, 0.9378785, 5.896493, 338.7404, 284.8661, 340.2778, 354.7802, 194.2966, 334.3813, -16.03986, -90.56952, -167.6662, -161.7667, 259.7594, 156.9194, -177.2991, 51.15308, 324.5856, 15.53236, -208.6064, 3.602747
6, 7, 0.02170984, 0.03505254, -0.9991499, 0.07734484, -0.05777155, -0.9953292, 177.9908, 178.7553, 31.77206, 183.3219, 175.5566, 126.7573, 5.331116, 3.198669, 94.98527, 0.389867, 0.2869405, -0.8750252, 0.4674225, 0.05150601, -0.8825324, 161.8445, 155.9847, 53.64709, 176.6599, 152.0926, 83.71186, 14.81541, 3.892044, 30.06477, -16.14624, 22.7706, 21.87502, -6.661942, 23.46397, -43.04547, 9.484299, -0.6933746, -64.92049, 3.132246
7, 8, 0.02381116, 0.100733, -0.9946287, 0.0500677, -0.05593799, -0.9971781, 174.217, 178.6286, 13.29941, 183.2107, 177.1256, 138.1696, 8.993729, 1.502991, 124.8702, -0.02991041, 0.3184435, -0.94747, 0.232641, 0.05854613, -0.9707989, 161.4226, 181.8082, 354.6341, 176.5488, 166.5238, 75.87434, 15.12627, 15.28432, -278.7598, -12.79442, -3.179535, 341.3347, -6.66188, 10.60179, -62.29529, 6.132538, -13.78133, -403.63, 2.797866
8, 6, 0.02551424, 0.08740822, -0.9958459, 0.04911596, -0.05582434, -0.9972318, 174.9838, 178.5324, 16.27239, 183.204, 177.1803, 138.6577, 8.2202, 1.352036, 122.3853, 0.4594766, -0.008493846, 0.8881493, 0.7991863, -0.06836108, 0.5971834, 359.4521, 27.35441, 91.05904, 353.4696, 53.23147, 94.88908, -5.982422, -25.87706, 3.83004, 184.4682, 151.1779, 74.78665, 170.2656, 123.9489, -43.7686, -14.20262, 27.2291, -118.5553, 4.009964
9, 1, -0.02550908, 0.04785061, -0.9985287, 0.04376138, -0.05571817, -0.9974871, 177.2564, 181.4634, 331.938, 183.1971, 177.488, 141.8537, 5.94072, 3.975449, -190.0843, -0.4098747, 0.3407673, -0.8460972, -0.3797277, 0.2375321, -0.8940836, 158.0628, 205.8469, 309.7399, 165.1219, 203.0115, 302.0273, 7.059067, 2.835434, -7.712616, -19.19363, -24.38353, -22.19806, -18.07529, -25.52354, 160.1736, 1.118347, 1.140015, 182.3717, 3.088536
