SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
03LK, flat, 63", female, 14, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.04195542, 0.1380934, -0.9895304, -0.01889549, -0.08235276, -0.9964241, 172.0554, 177.5721, 16.89979, 184.7247, 181.0864, 192.9226, 12.66922, -3.514252, 176.0228, -0.9606286, 0.1822317, 0.2097243, -0.6730375, 0.098658, 0.7329987, 40.98772, 282.3156, 280.7414, 7.66566, 317.4419, 278.3394, -33.32206, -35.12637, -2.402008, -131.0677, -104.7434, 263.8416, -177.059, -136.3555, 85.41678, -45.99127, 31.61212, -178.4248, 5.240591
1, 0, 0.02062709, 0.1461614, -0.9890457, -0.00328878, -0.08500248, -0.9963753, 171.5937, 178.8052, 8.032842, 184.8762, 180.1891, 182.2157, 13.28253, -1.383881, 174.1829, -0.3323367, -0.04349585, -0.9421576, -0.2051283, -0.1569449, -0.9660697, 182.6432, 199.4298, 262.5436, 189.2275, 191.9877, 232.5802, 6.584244, 7.442047, -29.96341, 11.04959, -20.62454, 254.5107, 4.351303, -11.79861, 50.36447, -6.698288, -8.825928, -204.1463, 3.32464
2, 3, 0.03188232, 0.1195146, -0.9923205, -0.01007164, -0.08176804, -0.9966005, 173.1324, 178.1598, 14.93668, 184.6904, 180.579, 187.0219, 11.55803, -2.419235, 172.0853, 0.6868466, 0.1899303, -0.7015471, 0.9719781, -0.01834385, 0.2343544, 164.8514, 135.6066, 74.54254, 355.5244, 76.44411, 91.08119, 190.6729, 59.16252, 16.53865, -8.280991, 42.55315, 59.60587, 170.8339, 104.1349, -95.94073, 179.1149, -61.58176, -155.5466, 3.164859
3, 4, -0.0291194, 0.1052973, -0.9940146, -0.01184011, -0.07914945, -0.9967924, 173.9531, 181.678, 344.5415, 184.54, 180.6805, 188.5079, 10.58687, 0.9974365, -156.0336, 0.8063454, 0.233427, -0.5434329, 0.8878221, 0.2782465, -0.3665389, 156.7545, 123.9778, 73.85493, 142.7972, 112.4334, 72.59882, -13.95729, 11.54445, -1.256104, -17.19865, 57.70016, -270.6866, -41.74281, 68.24717, -115.9091, -24.54416, -10.54701, 154.7775, 4.066191
4, 1, -0.01176324, 0.09164131, -0.9957227, -0.007051142, -0.07908724, -0.9968427, 174.7416, 180.6768, 352.6854, 184.5362, 180.4053, 185.0948, 9.794617, 0.2715759, -167.5906, -0.5648459, 0.1524048, -0.8110008, -0.5357956, 0.303023, -0.7880991, 169.357, 214.8564, 285.0998, 158.9683, 214.2101, 299.4906, -10.38867, 0.6463013, 14.39084, -5.384598, -34.1796, -67.58563, -25.56789, -33.80487, 114.3958, -20.18329, -0.3747253, 181.9814, 3.674964
5, 5, -0.1111088, 0.07271472, -0.9911445, 0.008111814, -0.08197764, -0.9966012, 175.804, 186.3962, 303.2026, 184.7024, 179.5337, 174.3489, 8.898361, 6.862579, -128.8537, -0.8266807, -0.1295894, 0.5475452, -0.07112724, -0.2154531, 0.9739203, 346.6846, 303.5182, 261.0909, 347.5258, 355.823, 198.2695, 0.841156, -52.30481, -62.82135, 170.8806, -117.1219, -42.11169, 162.8234, -176.2893, 23.92064, -8.057205, 59.16739, 66.03233, 3.584387
6, 7, -0.07752632, 0.1190265, -0.98986, -0.002337023, -0.08223362, -0.9966103, 173.1433, 184.4783, 326.9223, 184.717, 180.1344, 181.6279, 11.57364, 4.343933, -145.2945, 0.4568009, 0.1623637, -0.8746264, 0.506938, 0.06434123, -0.8595779, 169.4835, 152.4228, 70.43293, 175.7193, 149.4699, 82.76662, 6.235809, 2.95285, 12.33369, -3.659882, 32.05551, -256.4894, -8.997711, 30.66443, -98.86124, -5.33783, 1.391083, 157.6282, 4.360718
7, 8, -0.006174413, 0.09991972, -0.9949763, -0.008396942, -0.07640222, -0.9970418, 174.2653, 180.3555, 356.464, 184.3819, 180.4825, 186.2719, 10.11661, -0.1269684, -170.1921, 0.3176737, 0.2042958, -0.9259303, 0.2289227, 0.07012963, -0.9709151, 167.5577, 161.0636, 57.25495, 175.8687, 166.7331, 72.96774, 8.310974, -5.669464, 15.7128, -6.707642, 19.29192, -299.209, -8.513275, 13.74942, -113.3041, -1.805634, 5.542496, 185.9049, 3.512041
8, 6, -0.0252749, 0.04945136, -0.9984568, -0.02189004, -0.07226968, -0.9971449, 177.1646, 181.4501, 332.9281, 184.1454, 181.2576, 196.8512, 6.980759, 0.1924744, -136.0769, 0.905681, 0.1008957, 0.4117793, 0.5597784, -0.06816477, 0.825834, 13.76758, 65.55048, 83.64328, 355.2815, 34.13076, 96.94278, 341.5139, 31.41973, 13.2995, -163.397, 115.8996, -249.2849, 171.1361, 147.1268, -99.90845, 334.5331, -31.22726, 149.3764, 3.999976
9, 1, 0.0006520686, 0.1683634, -0.9857249, 0.003427627, -0.08232775, -0.9965994, 170.3073, 179.9621, 0.2219045, 184.7224, 179.8029, 177.6159, 14.41507, 0.1591492, 177.394, -0.426428, 0.09591555, -0.8994218, -0.5384431, 0.3091459, -0.7839054, 173.9129, 205.3663, 282.6765, 158.4774, 214.4841, 299.8622, -15.4355, -9.117844, 17.18573, 3.605576, -25.40416, 282.4546, -26.245, -34.68115, 122.2462, -29.85057, 9.276993, -160.2083, 3.691451
