SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
06ch, flat, 74", male, 24, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.008531715, -0.1606056, -0.986982, 0.002116546, -0.183282, -0.9830581, 189.2424, 179.5047, 176.9592, 190.561, 179.8766, 179.3384, 1.318619, -0.3719025, 2.379196, -0.7792546, -0.2546974, 0.5726182, -0.9017667, -0.08354438, 0.424072, 336.0208, 306.3095, 251.9001, 348.8552, 295.1861, 264.7069, 12.83438, 11.12341, 12.80676, 146.7784, -126.8048, 74.94096, 158.2942, -115.3095, 85.36853, 11.51576, -11.49532, 10.42757, 4.597079
1, 0, 0.04009515, -0.2365981, -0.97078, 0.0298536, -0.1800033, -0.9832129, 193.6971, 177.6349, 170.3817, 190.3746, 178.2608, 170.5832, -3.322449, -0.6259308, 0.2014465, -0.2659563, -0.2506991, -0.9308155, -0.1751082, -0.1916976, -0.9657065, 195.0739, 195.9459, 226.6915, 191.2276, 190.2776, 222.4105, -3.846375, 5.668335, -4.281036, 1.376846, -18.31099, 56.30975, 0.8529205, -12.01672, 51.82727, -0.5239258, -6.294266, -4.482483, 3.79868
2, 3, 0.03113678, -0.2295217, -0.9728056, 0.01362866, -0.1813084, -0.9833319, 193.2755, 178.1668, 172.2744, 190.447, 179.206, 175.7012, -2.828506, -1.0392, 3.426804, 0.9187441, -0.04549594, -0.3922241, 0.9777621, -0.1608806, -0.1345318, 186.6164, 113.1183, 92.83495, 230.0969, 97.83422, 99.3437, 43.48048, 15.28406, 6.508751, -6.659027, 65.04848, -79.43949, 39.64996, 81.37174, -76.35754, 46.30899, -16.32326, 3.081947, 4.108408
3, 4, 0.1387986, -0.2551817, -0.9568791, 0.004554574, -0.178799, -0.9838752, 194.9322, 171.7466, 151.4573, 190.2999, 179.7348, 178.5408, -4.632278, -7.988129, 27.08348, 0.7353689, 0.04257607, -0.6763281, 0.8220432, 0.12836, -0.554769, 176.3979, 132.6051, 86.68641, 166.9724, 124.0141, 81.12508, -9.425476, 8.591072, -5.561333, -18.5343, 39.14148, -64.77093, -23.3275, 55.72068, -97.41574, -4.793198, -16.5792, -32.64481, 3.741236
4, 1, 0.07847712, -0.2059069, -0.9754201, 0.01322374, -0.1818598, -0.9832355, 191.9199, 175.4002, 159.1367, 190.479, 179.2295, 175.8411, -1.440857, -3.829269, 16.70442, -0.5858825, 0.02639699, -0.809966, -0.4245879, 0.1076346, -0.898966, 178.1334, 215.8798, 272.5797, 173.1724, 205.2817, 284.225, -4.960999, 10.5981, 11.64532, -13.78651, -40.4796, 113.443, -17.30666, -26.05223, 108.3839, -3.520142, -14.42737, -5.059097, 3.942365
5, 5, 0.06447251, -0.2304498, -0.9709461, 0.01299598, -0.1833184, -0.9829677, 193.3518, 176.201, 164.3701, 190.564, 179.2425, 175.9449, -2.787842, -3.041473, 11.57486, -0.3129688, -0.5010418, 0.8068504, -0.1445319, -0.6242044, 0.7677757, 328.1603, 338.7993, 211.9904, 320.8888, 349.339, 193.0368, -7.271576, -10.53973, -18.95354, 134.8085, -162.5982, 47.62032, 130.3248, -170.0965, 17.09192, -4.483734, 7.49826, -30.5284, 3.953816
6, 7, 0.06333113, -0.2241274, -0.9724999, 0.02541024, -0.1842504, -0.9825508, 192.9781, 176.274, 164.2214, 190.6209, 178.5186, 172.1478, -2.357178, -2.244537, 7.926361, 0.4985619, 0.06558771, -0.8643693, 0.4553859, -0.01745233, -0.8901231, 175.6608, 150.024, 82.50555, 181.1232, 152.9058, 92.19475, 5.462463, -2.881805, 9.689194, -17.31731, 26.25009, -81.71588, -9.497665, 25.61282, -79.95305, 7.819641, 0.6372681, 1.762833, 5.885327
7, 8, 0.06934454, -0.2625361, -0.9624274, 0.03256148, -0.176219, -0.9838123, 195.2582, 175.8789, 165.2042, 190.155, 178.1044, 169.5311, -5.103165, -2.225494, 4.326889, 0.2494248, 0.06734443, -0.9660498, 0.2120355, -0.001262012, -0.9772612, 176.0123, 165.5229, 74.89049, 180.074, 167.7583, 90.34101, 4.061691, -2.235382, 15.45052, -19.24591, 10.35591, -90.31369, -10.08105, 10.34602, -79.19006, 9.164856, 0.009887695, 11.12363, 3.153858
8, 6, 0.03896021, -0.2782657, -0.9597138, 0.01285523, -0.1776791, -0.9840046, 196.1693, 177.6753, 172.0298, 190.2355, 179.2515, 175.8618, -5.933868, -1.576202, 3.832047, 0.8179592, -0.3085272, 0.4855448, 0.7990032, -0.2926714, 0.5252973, 327.5671, 59.30642, 110.666, 330.8755, 56.67745, 110.1176, 3.30835, 2.628967, -0.5484848, 131.3978, 118.3689, -61.36372, 140.64, 122.5741, -65.74426, 9.242218, -4.20517, -4.380531, 2.964793
9, 1, 0.02859482, -0.2415272, -0.9699727, 0.003796136, -0.1784711, -0.9839378, 193.9825, 178.3114, 173.2481, 190.2808, 179.779, 178.7815, -3.701736, -1.46756, 5.533401, -0.6425798, 0.03194836, -0.7655525, -0.4268112, 0.1101135, -0.897612, 177.6103, 220.009, 272.8463, 173.0063, 205.4309, 284.4664, -4.60405, 14.57808, 11.62003, -16.37222, -41.6976, 99.59825, -17.27454, -25.65196, 105.6849, -0.9023132, -16.04564, 6.086624, 3.352721
10, 5, 0.02363979, -0.2466634, -0.968813, 0.01812166, -0.1812257, -0.9832745, 194.2842, 178.6022, 174.5256, 190.4429, 178.9442, 174.2897, -3.841324, -0.3419495, -0.2359161, -0.3208739, -0.5723104, 0.7546528, -0.1426991, -0.6169122, 0.7739873, 322.8242, 336.9651, 209.2778, 321.4431, 349.5538, 193.0241, -1.381073, -12.58868, -16.25366, 128.54, -158.3629, 34.75218, 131.0002, -170.6096, 18.73444, 2.460251, 12.24673, -16.01775, 3.875438
11, 8, 0.04327868, -0.2450414, -0.9685462, 0.03185225, -0.180276, -0.9831002, 194.1979, 177.4415, 169.9839, 190.3912, 178.1443, 169.9801, -3.806686, -0.7028046, -0.003799438, 0.2427147, 0.1556975, -0.9575219, 0.2174481, -0.002168328, -0.9760695, 170.7643, 165.7761, 57.32049, 180.1273, 167.4408, 90.57132, 9.363007, -1.664642, 33.25083, -23.43359, 11.66534, -112.6634, -10.2639, 10.70351, -79.40874, 13.16969, 0.9618378, 33.25462, 3.51922
12, 6, 0.07244796, -0.2301369, -0.970458, 0.01147007, -0.1803597, -0.9835339, 193.3408, 175.7306, 162.5258, 190.3914, 179.3318, 176.3611, -2.949417, -3.601242, 13.83534, 0.6789353, -0.3046308, 0.6680171, 0.7897242, -0.2913848, 0.5398431, 335.486, 45.46442, 114.1652, 331.6417, 55.6441, 110.2526, -3.844299, -10.17968, -3.912682, 142.1451, 130.2662, -48.36056, 141.2503, 123.6877, -66.10858, -0.8948822, 6.578438, -17.74802, 3.731844
13, 3, 0.05195324, -0.2427174, -0.9687049, -0.005213025, -0.1794551, -0.9837523, 194.0664, 176.9301, 167.9182, 190.3382, 180.3036, 181.6639, -3.728195, -3.373535, 13.74568, 0.9678483, -0.0009525158, -0.2515332, 0.9828649, -0.1506701, -0.106185, 180.217, 104.5683, 90.05639, 234.8257, 96.16611, 98.71542, 54.60869, 8.402161, 8.659027, -13.8494, 72.3618, -77.86185, 44.48749, 84.1375, -82.94851, 58.33688, -11.7757, -5.086655, 3.667573
14, 4, 0.1686747, -0.2163839, -0.9616274, 0.007123221, -0.1806857, -0.9835151, 192.6814, 170.0512, 142.063, 190.41, 179.585, 177.7424, -2.271408, -9.533813, 35.67937, 0.7456494, 0.07542918, -0.6620557, 0.8265274, 0.1285363, -0.5480245, 173.5002, 131.6016, 84.22366, 166.8002, 123.5462, 81.16053, -6.700073, 8.055435, -3.063133, -19.18115, 38.44963, -57.83936, -23.60982, 56.03888, -96.58186, -4.428665, -17.58925, -38.7425, 3.338188
15, 7, 0.04390797, -0.2222155, -0.9740084, 0.012941, -0.1800412, -0.9835739, 192.8518, 177.4189, 168.8228, 190.373, 179.2462, 175.8888, -2.478775, -1.827316, 7.065964, 0.4244085, 0.09899046, -0.9000435, 0.4659046, -0.01066593, -0.8847707, 173.7236, 154.7542, 76.87087, 180.6907, 152.2295, 91.31144, 6.967056, 2.524643, 14.44057, -19.1282, 22.66473, -91.95193, -9.682373, 27.01669, -84.57732, 9.445831, -4.351959, 7.374603, 4.018577
16, 2, 0.1273157, -0.2324074, -0.9642497, 0.04611842, -0.1817171, -0.9822688, 193.5512, 172.4784, 151.2855, 190.4811, 177.3119, 165.7594, -3.070129, -4.833481, 14.47392, -0.9430022, -0.1484712, 0.2978309, -0.8858472, -0.08451898, 0.4562141, 333.5034, 287.5278, 261.0525, 349.5043, 297.2486, 264.5499, 16.00092, -9.720764, 3.497406, 139.9522, -115.0494, 109.767, 159.0232, -119.9367, 98.79045, 19.07104, 4.887283, -10.97652, 3.984958
17, 0, 0.07658426, -0.2228729, -0.9718347, 0.03793003, -0.1800764, -0.9829211, 192.9164, 175.4942, 161.0361, 190.3818, 177.7901, 168.1055, -2.534653, -2.295929, 7.069397, -0.2519939, -0.2331092, -0.9392334, -0.1724223, -0.1918303, -0.9661633, 193.9386, 195.0186, 227.2294, 191.2299, 190.1185, 221.9501, -2.708694, 4.900101, -5.279297, 1.022232, -19.52443, 66.19325, 0.8481903, -12.3284, 53.84456, -0.1740417, -7.19603, -12.34869, 3.787135
18, 8, 0.0486156, -0.2116381, -0.9761384, 0.02199468, -0.1828585, -0.9828932, 192.233, 177.1488, 167.063, 190.5389, 178.7181, 173.1413, -1.694168, -1.569275, 6.078308, 0.2371824, 0.06331292, -0.9693999, 0.2129508, -0.0002595356, -0.9770629, 176.2632, 166.2516, 75.05408, 180.0152, 167.7047, 90.06983, 3.751968, -1.453094, 15.01575, -15.9698, 10.89723, -92.00887, -10.52367, 11.01341, -83.07143, 5.446136, -0.1161804, 8.937439, 3.63168
19, 5, 0.02408169, -0.2734944, -0.9615722, 0.009914657, -0.1764795, -0.9842544, 195.877, 178.5654, 174.968, 190.1653, 179.4229, 176.7845, -5.711761, -0.8574829, 1.816513, -0.2524233, -0.6402722, 0.7254888, -0.1431773, -0.6062142, 0.7823073, 318.5703, 340.8154, 201.5165, 322.2277, 349.6285, 193.2888, 3.657349, -8.813141, -8.227768, 122.6933, -162.25, 26.54855, 132.0624, -170.2057, 16.50427, 9.36911, 7.955658, -10.04428, 3.89824
20, 6, 0.07884158, -0.1554445, -0.9846934, 0.0306542, -0.1864571, -0.9819848, 188.9707, 175.4223, 153.1058, 190.7512, 178.212, 170.6639, 1.780487, -2.789749, 17.55806, 0.6940414, -0.333866, 0.6378402, 0.7924079, -0.3033091, 0.5292385, 332.371, 47.41627, 115.6897, 330.1828, 56.26158, 110.9453, -2.188232, -8.84531, -4.744415, 143.4003, 128.006, -37.41613, 139.4316, 121.9504, -59.71861, -3.968719, 6.055557, -22.30247, 3.953341
21, 0, 0.08405865, -0.2540496, -0.9635316, 0.001807638, -0.1777228, -0.9840789, 194.7707, 175.0141, 161.6919, 190.2372, 179.8948, 179.4173, -4.533554, -4.88063, 17.72534, -0.2394815, -0.2453853, -0.93938, -0.1743815, -0.1915602, -0.9658653, 194.6397, 194.3021, 224.3024, 191.2179, 190.2342, 222.3123, -3.421783, 4.067917, -1.990128, -0.1310272, -19.28796, 62.61049, 0.9807434, -10.33942, 42.89502, 1.111771, -8.948547, -19.71547, 2.998594
22, 4, 0.05626532, -0.2415618, -0.9687532, 0.01509831, -0.1805093, -0.9834574, 194.0014, 176.676, 166.8883, 190.4006, 179.1205, 175.2188, -3.600739, -2.444473, 8.330475, 0.7665976, 0.01701891, -0.6419025, 0.8272398, 0.131193, -0.5463175, 178.4813, 129.9408, 88.72821, 166.4967, 123.4412, 80.98844, -11.9846, 6.499588, -7.739769, -15.5201, 46.73521, -78.16006, -23.90396, 55.67928, -94.23031, -8.383865, -8.944061, -16.07024, 3.442872
23, 2, 0.01662859, -0.2185529, -0.9756835, 0.0149793, -0.1799734, -0.9835575, 192.6258, 179.0236, 175.649, 190.3694, 179.1275, 175.2422, -2.256424, -0.1038666, -0.4068298, -0.7940264, -0.2579229, 0.5504526, -0.8857439, -0.07075335, 0.4587501, 334.8939, 304.7313, 252.0047, 351.2323, 297.3808, 265.4329, 16.33847, 7.350494, 13.42819, 142.2681, -125.7077, 76.35567, 160.8629, -118.2534, 90.19069, 18.59489, -7.454361, 13.83502, 3.209162
24, 3, 0.03333689, -0.2265824, -0.9734214, 0.03639663, -0.17973, -0.9830424, 193.1034, 178.0386, 171.6302, 190.361, 177.8796, 168.552, -2.742401, 0.1589355, -3.078171, 0.9559936, -0.021748, -0.2925805, 0.9797114, -0.1618384, -0.1182112, 184.2511, 107.0167, 91.30321, 233.8546, 96.88, 99.37997, 49.60353, 10.13665, 8.076767, -8.852295, 71.0219, -80.32697, 43.49364, 80.99962, -69.17203, 52.34593, -9.977715, 11.15494, 4.119433
25, 7, 0.035683, -0.2629289, -0.9641553, 0.0101169, -0.1773894, -0.9840887, 195.2539, 177.8805, 172.2714, 190.2183, 179.411, 176.7358, -5.035599, -1.530518, 4.464417, 0.5292236, -0.04422699, -0.8473291, 0.4688019, -0.008891176, -0.8832586, 182.9879, 148.012, 94.77708, 180.5767, 152.0422, 91.08653, -2.411148, -4.030243, -3.690552, -12.26599, 29.86848, -77.49434, -9.641541, 27.36876, -85.64931, 2.624451, 2.499725, -8.154968, 3.442519
26, 1, 0.06570204, -0.2126111, -0.9749256, 0.02250157, -0.1790331, -0.9835857, 192.3024, 176.1446, 162.8276, 190.3161, 178.6895, 172.8364, -1.986328, -2.544907, 10.00883, -0.6383348, 0.008237197, -0.7697148, -0.4232858, 0.1135798, -0.8988486, 179.3869, 219.6694, 270.7393, 172.7982, 205.2167, 285.0203, -6.588654, 14.45267, 14.28098, -12.91556, -43.5248, 107.9117, -17.51788, -26.52722, 112.1839, -4.602325, -16.99757, 4.272141, 3.252418
