SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
03LB, flat, 74", male, 25, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.002127149, -0.06818732, -0.9976704, -0.00219312, -0.2428904, -0.9700512, 183.9099, 180.1222, 181.7868, 194.0572, 180.1295, 180.5173, 10.14735, -0.007369995, -1.269485, 0.9713464, -0.0781924, 0.2244375, 0.9167617, -0.2725711, -0.291981, 340.792, 76.98967, 94.60233, 223.0309, 107.6662, 106.5582, -117.7611, -30.67657, 11.95592, 156.8821, 103.1325, -87.18448, 28.97365, 72.46329, -73.95908, -127.9085, 30.6692, 13.2254, 5.108741
1, 5, -0.04841014, -0.07263899, -0.9961829, -0.01717564, -0.2422333, -0.970066, 184.1705, 182.7821, 213.6814, 194.0205, 181.0143, 184.0558, 9.850021, 1.767792, -29.62563, 0.09698229, -0.3898231, 0.9157687, -0.2806986, -0.7837619, 0.5540085, 336.9416, 6.045239, 166.0293, 305.2549, 333.1301, 199.7046, -31.68671, -327.0849, 33.67532, 152.7711, 176.7369, -47.65213, 111.2344, -152.1158, 15.64882, -41.53673, 328.8527, 63.30095, 3.887498
2, 4, -0.002362086, -0.04242478, -0.9990971, -0.03394813, -0.2390166, -0.9704219, 182.4315, 180.1355, 183.1868, 193.8366, 182.0035, 188.0838, 11.40514, -1.868073, 4.897034, 0.9074214, 0.1230239, -0.4018109, 0.7683274, 0.06577298, -0.6366686, 162.9768, 113.884, 82.27918, 174.1018, 129.6466, 85.1071, 11.12502, -15.76256, 2.827919, -19.45471, 66.25145, -100.9076, -19.73483, 52.35696, -102.9767, -0.2801208, 13.89449, -2.069115, 4.252694
3, 0, 0.00124547, 0.03889127, -0.9992427, -0.003862494, -0.2408156, -0.9705632, 177.7711, 179.9286, 1.834237, 193.9348, 180.228, 180.9189, 16.16365, -0.2994232, 179.0847, -0.4988244, -0.3549187, -0.7907003, -0.1333099, -0.2094659, -0.9686859, 204.1737, 212.2464, 234.5677, 192.2016, 187.8358, 212.4738, -11.97209, 24.41058, -22.09395, 26.40257, -32.31776, 232.7335, -1.73317, -7.607758, 31.5549, -28.13574, -24.71001, -201.1786, 3.87526
4, 2, 0.03198329, 0.1472418, -0.9885835, -0.004594786, -0.2464403, -0.9691471, 171.5285, 178.147, 12.25519, 194.2671, 180.2716, 181.0681, 22.7386, -2.124664, 168.813, -0.9020205, -0.03106828, 0.430574, -0.8968473, -0.2586096, 0.3588676, 355.873, 295.5172, 268.0273, 324.2225, 291.8085, 253.9149, -31.65048, 3.70871, -14.11249, 184.3444, -117.3702, 255.7722, 129.9554, -111.5369, 72.84671, -54.38908, -5.833374, -182.9254, 4.009113
5, 6, 0.01009594, -0.02508656, -0.9996343, -0.01663695, -0.2426401, -0.9699737, 181.4376, 179.4214, 158.078, 194.0444, 180.9826, 183.9224, 12.60681, -1.561279, 25.84445, 0.971371, 0.04104482, -0.2339952, 0.7089144, -0.5004939, 0.4969369, 170.051, 103.544, 87.58044, 314.7957, 54.9702, 125.2221, 144.7446, 48.57383, 37.64167, -11.38655, 75.87733, -70.49754, 120.7513, 126.0124, -58.70032, 132.1378, -50.13511, 11.79722, 5.464501
6, 1, -0.1044813, -0.1036809, -0.9891077, -0.02021916, -0.2371418, -0.9712646, 185.984, 186.0299, 225.2203, 193.7208, 181.1926, 184.8734, 7.736725, 4.837326, -40.34694, -0.648157, 0.1436104, -0.7478428, -0.3772995, 0.03739031, -0.9253362, 169.1297, 220.9155, 282.493, 177.6861, 202.1828, 275.6595, 8.556442, 18.73271, -6.833527, -16.85439, -34.88565, 57.27274, -16.03467, -20.99026, 90.78615, 0.8197174, -13.89539, 33.51341, 5.752857
7, 8, -0.06401604, -0.02432225, -0.9976527, -0.04548777, -0.2440369, -0.9686986, 181.3966, 183.6714, 249.1962, 194.1399, 182.6885, 190.5586, 12.7433, 0.9829407, -58.63763, 0.5239676, 0.2532492, -0.8132178, 0.1685636, -0.0357718, -0.9850415, 162.7026, 147.2057, 64.20414, 182.0798, 170.2894, 101.9813, 19.37723, -23.08366, 37.77716, -18.694, 36.46568, -184.9921, -12.06007, 12.39908, -88.57729, 6.633926, 24.0666, 96.4148, 3.953193
8, 7, -0.06806956, -0.0766599, -0.9947312, -0.0384628, -0.2344069, -0.9713774, 184.4068, 183.9146, 221.6032, 193.5669, 182.2675, 189.3184, 9.160049, 1.647141, -32.28485, 0.6741021, 0.2381948, -0.699178, 0.3714829, -0.06006277, -0.926495, 161.1871, 136.0461, 70.53907, 183.7092, 158.1514, 99.18432, 22.52205, -22.10533, 28.64525, -23.21971, 47.86855, -151.0641, -9.857712, 24.11607, -90.13406, 13.362, 23.75247, 60.93009, 5.316952
9, 3, -0.07114713, -0.1214192, -0.9900485, -0.05152228, -0.2335169, -0.9709868, 186.9918, 184.1103, 210.3687, 193.5225, 183.0374, 192.4422, 6.530685, 1.072968, -17.92653, 0.955216, -0.02346429, 0.294978, 0.8979003, -0.2967227, -0.3251624, 355.4519, 72.83891, 91.40715, 222.3816, 109.9072, 108.2868, -133.0703, -37.06826, 16.87965, 168.4601, 111.2714, -118.9616, 28.8591, 73.1302, -84.15538, -139.601, 38.14123, 34.80618, 11.87071
