SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
04AS, flat, 64", female, 17, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.1369278, -0.05797495, -0.9888832, 0.01811782, -0.08657517, -0.9960806, 183.3552, 187.8835, 247.0523, 184.9674, 178.9579, 168.1801, 1.612213, 8.925507, -78.87216, 0.947625, -0.02300737, -0.3185556, 0.9922243, -0.04951623, -0.1141893, 184.131, 108.5807, 91.39082, 203.4431, 96.56496, 92.85693, 19.31218, 12.01574, 1.466118, 0.7757568, 79.30276, -155.6615, 18.47572, 82.39299, -75.32321, 17.69997, -3.090233, 80.33829, 3.464286
1, 5, 0.02842827, -0.04525967, -0.9985709, 0.008137189, -0.08609761, -0.9962535, 182.5951, 178.3693, 147.8665, 184.9393, 179.532, 174.601, 2.344193, -1.162735, 26.73448, -0.2684673, -0.3452796, 0.8992816, -0.2312853, -0.4252355, 0.8750325, 338.9957, 343.3778, 217.8663, 334.0818, 345.1944, 208.5417, -4.913818, -1.81662, -9.3246, 156.4005, -165.0085, 69.99988, 149.1425, -165.6624, 33.9408, -7.258011, 0.6538849, -36.05908, 2.799915
2, 4, -0.02222664, 0.007086447, -0.9997281, 0.001408548, -0.09185603, -0.9957713, 179.5939, 181.2736, 287.6837, 185.2704, 179.919, 179.1215, 5.676529, 1.354675, -108.5622, 0.7420866, 0.1427576, -0.6549259, 0.8047793, 0.217106, -0.5524449, 167.7033, 131.4299, 79.11086, 158.5456, 124.4678, 74.90266, -9.157669, 6.962051, -4.208191, -11.89058, 49.84373, -208.5728, -26.72478, 55.45111, -104.2188, -14.8342, -5.607376, 104.354, 2.655718
3, 0, 0.01973394, -0.03188445, -0.9992968, 0.00538636, -0.08735894, -0.9961624, 181.8275, 178.8687, 148.2458, 185.0117, 179.6902, 176.4717, 3.18425, -0.8215179, 28.22595, -0.2128898, -0.2384738, -0.9475275, -0.180943, -0.1491584, -0.972117, 194.1268, 192.6629, 221.7558, 188.7232, 190.544, 230.4999, -5.403564, 2.118927, 8.744049, 12.2993, -13.7942, 73.51006, 3.711487, -10.85376, 54.02815, -8.587814, -2.940445, -19.4819, 2.530668
4, 2, 0.01502531, -0.08791639, -0.9960146, 0.01466725, -0.08562814, -0.9962192, 185.0443, 179.1357, 170.3016, 184.9127, 179.1565, 170.2801, -0.1316528, -0.02076721, -0.02145386, -0.7940884, 0.1403522, 0.5913756, -0.8757969, 0.0738664, 0.4769943, 13.35109, 306.6759, 280.0233, 8.80279, 298.5745, 274.821, -4.548301, 8.10141, -5.202301, -171.6932, -127.5402, 109.7217, -176.1099, -119.418, 104.5409, -4.416641, -8.122177, -5.180847, 2.520466
5, 6, 0.1020636, 0.03740878, -0.9940742, 0.002896223, -0.09177408, -0.9957756, 177.8449, 174.1379, 69.8709, 185.2657, 179.8333, 178.1925, 7.420822, -5.695465, 108.3216, 0.9523106, -0.0957744, 0.2897103, 0.7812773, -0.1454981, 0.6069894, 341.7068, 73.07928, 95.74296, 346.5203, 52.15568, 100.5494, 4.813477, 20.92361, 4.80645, 163.8619, 101.0586, 25.87206, 161.2546, 127.6777, -77.64305, -2.607346, -26.61907, -103.5151, 2.486744
6, 1, -0.1965357, -0.02205741, -0.9802486, 0.0133141, -0.08951186, -0.9958968, 181.289, 191.3372, 263.5964, 185.136, 179.2341, 171.5398, 3.846939, 12.1032, -92.05666, -0.5345423, 0.1876952, -0.8240358, -0.4133232, 0.2093758, -0.8861861, 167.1684, 212.971, 289.3478, 166.7067, 205.0047, 296.8653, -0.4616241, 7.966339, 7.517426, -14.1207, -21.63374, 25.7514, -18.42926, -25.7706, 125.3255, -4.308563, 4.136856, 99.57408, 2.531792
7, 8, 0.02761566, -0.04168846, -0.9987492, 0.007951103, -0.08899434, -0.9960004, 182.3902, 178.4162, 146.4783, 185.1059, 179.5426, 174.8945, 2.715729, -1.12645, 28.41618, 0.182148, 0.07154444, -0.980665, 0.2152458, 0.04885745, -0.975337, 175.8274, 169.4778, 68.556, 177.1323, 167.5549, 77.21144, 1.304901, 1.922882, 8.655441, -6.562805, 8.938339, -77.92233, -7.973633, 11.98767, -97.68307, -1.410828, -3.049332, -19.76074, 2.542754
8, 7, -0.01992116, -0.0170025, -0.9996572, 0.01362214, -0.08839852, -0.995992, 180.9744, 181.1416, 229.5196, 185.072, 179.2164, 171.2397, 4.097549, 1.925217, -58.27991, 0.3761496, 0.06006139, -0.9246103, 0.4551313, 0.03973685, -0.8895372, 176.2834, 157.8625, 80.92793, 177.4422, 152.9035, 85.01025, 1.158859, 4.959076, 4.082321, -4.69104, 23.27908, -148.5916, -7.62973, 26.31294, -86.22942, -2.93869, -3.033859, 62.36222, 2.64405
9, 3, -0.02378878, -0.01339323, -0.9996274, -0.00100063, -0.08819932, -0.9961023, 180.7676, 181.3633, 240.6202, 185.06, 180.0576, 180.65, 4.292419, 1.305695, -59.97021, 0.9934648, -0.06790301, -0.09174354, 0.9891328, -0.04758688, -0.1391107, 216.5066, 95.27613, 93.91006, 198.8848, 98.00552, 92.75436, -17.62186, -2.729385, -1.155708, 35.739, 86.08712, -146.7101, 13.82472, 82.05204, -87.89564, -21.91428, 4.03508, 58.81451, 2.754817
