SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
05JH, flat, 66", male, 17, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.06469566, -0.02787483, -0.9975157, -0.01035016, -0.06679337, -0.9977131, 181.6007, 183.7108, 246.6907, 183.83, 180.5944, 188.8084, 2.229355, 3.116455, -57.88229, 0.999755, -0.0152474, -0.01604668, 0.9776536, -0.03078598, -0.2079558, 223.5369, 90.91956, 90.87376, 188.421, 102.0084, 91.80363, -35.11597, -11.08881, 0.9298706, 41.93625, 92.79126, -155.8169, 4.590927, 78.586, -97.00475, -37.34532, 14.20526, 58.81216, 4.819048
1, 5, -0.04508185, -0.07722958, -0.9959937, 0.007458704, -0.06472156, -0.9978755, 184.4339, 182.5916, 210.2737, 183.711, 179.5717, 173.4261, -0.7228851, 3.019867, -36.84767, -0.4695972, -0.1972174, 0.8605718, -0.2692444, -0.5796592, 0.7690921, 347.0924, 331.3796, 247.219, 322.9949, 340.7058, 204.9143, -24.09747, -9.326263, -42.30472, 162.6586, -148.788, 36.94525, 139.284, -161.1341, 31.4882, -23.37459, 12.34613, -5.457047, 3.852248
2, 4, -0.01364642, -0.04759088, -0.9987737, -0.006697916, -0.06455254, -0.9978918, 182.728, 180.7828, 195.9999, 183.7012, 180.3846, 185.9238, 0.9732056, 0.3982239, -10.07617, 0.8257456, 0.1679148, -0.5384691, 0.7541264, 0.2225021, -0.6178884, 162.6806, 123.1084, 78.50566, 160.196, 129.3293, 73.56151, -2.484543, -6.220871, -4.944153, -20.04749, 57.67441, -117.4943, -23.50523, 51.05531, -112.3623, -3.457748, 6.619095, 5.132019, 3.187703
3, 0, -0.04523021, -0.04418508, -0.997999, -0.01794225, -0.0631165, -0.9978449, 182.535, 182.5949, 225.6697, 183.6193, 181.0301, 195.869, 1.084259, 1.564804, -29.80072, -0.3099886, -0.07786195, -0.9475469, -0.1705087, -0.1398189, -0.9753857, 184.6976, 198.1154, 255.9003, 188.1576, 189.9158, 230.6479, 3.460052, 8.199677, -25.25243, 2.162537, -15.52051, 30.23064, 4.53833, -8.885635, 34.77893, 2.375793, -6.634872, 4.548294, 3.210097
4, 2, 0.04283324, -0.06976709, -0.9966434, 0.005622513, -0.06343123, -0.9979703, 184.0043, 177.5391, 148.4523, 183.6368, 179.6772, 174.9346, -0.3674469, -2.138107, 26.48225, -0.9138653, 0.2189933, 0.3418949, -0.9522021, 0.09601273, 0.2899874, 32.64071, 290.5118, 283.4759, 18.31933, 286.9378, 275.7578, -14.32138, 3.574005, -7.718109, -151.3636, -112.9727, 135.0236, -165.3175, -107.2606, 100.8232, -13.95392, -5.712112, -34.20036, 3.597441
5, 6, -0.1347758, -0.02441419, -0.9905754, 0.01259577, -0.06590302, -0.9977465, 181.4118, 187.748, 259.7324, 183.779, 179.2767, 169.1798, 2.367157, 8.471252, -90.55261, 0.8757835, -0.04360193, 0.4807309, 0.8542669, -0.1543287, 0.4963978, 354.8175, 61.23695, 92.85019, 342.7297, 59.83997, 100.2404, -12.08783, 1.39698, 7.390198, 173.4057, 126.511, -166.8822, 158.9507, 119.4368, -68.93939, -14.45499, 7.074265, 97.94281, 3.276116
6, 1, -0.002165768, -0.0668737, -0.9977593, -0.02251434, -0.06263161, -0.9977828, 183.8344, 180.1244, 181.8549, 183.5918, 181.2926, 199.7721, -0.2426605, -1.168243, 17.91719, -0.6256091, 0.2169739, -0.749357, -0.3798538, 0.2010752, -0.9029285, 163.8518, 219.8572, 289.1276, 167.4455, 202.8161, 297.8945, 3.593719, 17.04114, 8.766907, -19.98264, -39.73282, 107.2726, -16.14626, -21.52344, 98.12236, 3.83638, -18.20938, -9.150284, 2.808471
7, 8, -0.1114546, -0.07144888, -0.9911978, 0.004266717, -0.06539678, -0.9978502, 184.1229, 186.4156, 237.3378, 183.7497, 179.755, 176.2671, -0.3732758, 6.660629, -61.07065, 0.1967648, 0.1724169, -0.9651715, 0.1958017, 0.05008208, -0.9793638, 169.8716, 168.4773, 48.77325, 177.0726, 168.6941, 75.65252, 7.201004, -0.2167816, 26.87926, -14.25134, 17.93835, -188.5645, -6.677063, 11.06094, -100.6146, 7.57428, 6.877411, 87.94991, 2.822284
8, 7, -0.1018389, -0.08364369, -0.9912784, -0.01655372, -0.06425997, -0.9977959, 184.8232, 185.8657, 230.6026, 183.6849, 180.9505, 194.4456, -1.138306, 4.915222, -36.15697, 0.4380595, 0.1012681, -0.8932238, 0.4095881, 0.04348328, -0.9112337, 173.5318, 153.8755, 76.98335, 177.268, 155.7967, 83.93998, 3.736191, -1.921188, 6.956627, -11.29138, 31.99019, -153.6192, -6.416885, 25.15378, -110.5057, 4.874496, 6.836411, 43.11359, 2.855851
9, 3, -0.09843275, -0.0322165, -0.9946222, -0.02532148, -0.06572176, -0.9975167, 181.8552, 185.6519, 251.877, 183.7695, 181.4541, 201.0708, 1.914307, 4.197754, -50.80618, 0.9998913, -0.01457593, -0.002271693, 0.9633168, -0.03442264, -0.2661501, 261.1416, 90.13017, 90.83517, 187.3695, 105.4447, 92.04651, -73.77214, -15.31451, 1.211334, 79.28641, 95.5217, -161.0418, 3.59996, 76.00943, -109.0243, -75.68645, 19.51227, 52.01752, 3.189012
10, 0, -0.09044239, -0.05391922, -0.9944412, -0.03039252, -0.06422719, -0.9974724, 183.1036, 185.1966, 239.1978, 183.6842, 181.7452, 205.3237, 0.5806122, 3.451416, -33.87411, -0.368119, -0.06574726, -0.9274514, -0.1868451, -0.1410004, -0.9722179, 184.0549, 201.6488, 259.8736, 188.252, 190.8787, 232.9604, 4.197113, 10.77014, -26.91315, 0.951355, -16.45221, 20.67578, 4.567856, -9.133484, 27.63675, 3.616501, -7.318726, 6.960968, 2.867896
11, 4, -0.01826747, -0.07223822, -0.9972202, -0.01252253, -0.06481647, -0.9978186, 184.1432, 181.0495, 194.1913, 183.7166, 180.719, 190.9348, -0.4266357, 0.3304291, -3.256531, 0.7947804, 0.186842, -0.5774204, 0.7613621, 0.2220307, -0.6091225, 162.0694, 125.999, 76.77077, 159.9727, 128.6613, 73.7421, -2.096695, -2.662315, -3.028671, -22.07379, 55.05045, -117.4206, -23.74385, 52.05771, -117.1927, -1.670059, 2.992744, 0.2278595, 3.074531
12, 8, -0.1157353, -0.07962359, -0.9900836, -0.0520786, -0.06399118, -0.9965907, 184.5979, 186.6673, 235.4728, 183.6739, 182.9914, 219.1401, -0.9239655, 3.675934, -16.33272, 0.1182146, 0.1679644, -0.9786795, 0.1861392, 0.05051511, -0.9812239, 170.2616, 173.1126, 35.13818, 177.0529, 169.2586, 74.81657, 6.791336, 3.854065, 39.67839, -14.3363, 13.55467, -200.3346, -6.621002, 13.7328, -144.3235, 7.715302, -0.1781311, 56.01111, 2.976682
13, 6, -0.1111082, -0.1018941, -0.988571, -0.02842905, -0.06245026, -0.9976431, 185.8848, 186.4127, 227.477, 183.5819, 181.6323, 204.4763, -2.302902, 4.780426, -23.00064, 0.6668274, -0.03295183, 0.7444834, 0.8479429, -0.169589, 0.5022274, 357.4657, 41.85053, 92.82902, 341.3415, 59.36221, 101.31, -16.12415, -17.51167, 8.480949, 171.5809, 144.5622, -134.6479, 157.7596, 122.2701, -103.1664, -13.82124, 22.29209, 31.4816, 2.954877
14, 1, -0.1511728, -0.08999109, -0.9844026, -0.0411748, -0.06063892, -0.9973102, 185.2233, 188.7306, 239.2352, 183.4794, 182.3642, 214.1771, -1.743835, 6.36644, -25.05811, -0.6560767, 0.299459, -0.6927395, -0.3982244, 0.1918861, -0.8969933, 156.622, 223.443, 294.5338, 167.9252, 203.9391, 295.7273, 11.30318, 19.50395, 1.193481, -28.60126, -34.7124, 55.29857, -15.55424, -21.57489, 81.55016, 13.04701, -13.13751, 26.25159, 2.855441
15, 7, -0.1117448, -0.05487602, -0.9922208, -0.01147839, -0.06591003, -0.9977596, 183.1656, 186.4256, 243.8451, 183.7794, 180.6591, 189.8791, 0.6137695, 5.766525, -53.966, 0.4036588, 0.1818313, -0.896659, 0.4114579, 0.04154593, -0.9104815, 168.5366, 155.7636, 65.75044, 177.3874, 155.6812, 84.23425, 8.850784, 0.08244324, 18.4838, -14.62901, 30.66199, -178.0947, -6.391998, 24.97791, -105.6449, 8.237015, 5.684082, 72.44981, 2.86632
16, 5, -0.08440237, 0.001659668, -0.9964305, -0.03815294, -0.06780528, -0.9969688, 179.9046, 184.8417, 271.1265, 183.8908, 182.1916, 209.3658, 3.986191, 2.650085, -61.76074, -0.3492099, -0.1972957, 0.9160387, -0.375294, -0.5738336, 0.7279213, 347.8454, 339.1323, 240.5345, 321.7506, 332.7257, 213.1852, -26.09473, 6.406555, -27.34938, 167.9408, -154.2906, -30.59195, 137.8599, -150.5341, 3.819412, -30.08092, -3.75647, 34.41136, 3.500143
17, 2, -0.09187723, -0.01224793, -0.995695, -0.04102921, -0.06733999, -0.9968861, 180.7047, 185.272, 262.4068, 183.8645, 182.3568, 211.3533, 3.159729, 2.915207, -51.0535, -0.8500429, 0.3326144, 0.4084052, -0.9610512, 0.08225907, 0.263845, 39.16014, 295.6621, 291.37, 17.31593, 285.3516, 274.8922, -21.84421, 10.31046, -16.47778, -141.5446, -110.3901, 28.96317, -166.5485, -102.9948, 63.53888, -25.00394, -7.395248, 34.57571, 3.019727
