SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
07FXC, flat, 170cms, male, 23, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.08109774, -0.1736173, -0.9814686, -0.02930321, -0.1538785, -0.9876552, 190.0316, 184.7236, 205.0376, 188.8556, 181.6994, 190.7818, -1.175995, 3.024124, -14.25578, 0.9831538, -0.07718064, -0.1656854, 0.9414656, -0.1666754, -0.293022, 204.9774, 99.56586, 94.48869, 209.6319, 107.2882, 100.0395, 4.654526, -7.722389, 5.550827, 14.94577, 85.1577, -110.5489, 20.77629, 74.41119, -90.74226, 5.830521, 10.74651, 19.80661, 13.40458
1, 5, -0.1135287, -0.1860099, -0.9759671, -0.03477783, -0.1496083, -0.9881335, 190.7906, 186.6351, 211.3972, 188.6095, 182.0157, 193.0865, -2.181152, 4.619354, -18.31073, -0.08413233, -0.2312382, -0.9692527, -0.3026751, -0.6133142, 0.7295433, 193.4184, 184.9609, 199.9931, 319.9468, 337.4673, 206.2667, 126.5284, -152.5064, 6.273575, 2.627808, 1.674164, -11.40414, 131.3374, -155.4516, 13.18016, 128.7096, 157.1257, 24.5843, 17.91332
2, 4, -0.1046039, -0.1920809, -0.9757885, -0.02491332, -0.145074, -0.9891071, 191.1361, 186.1187, 208.5719, 188.3442, 181.4428, 189.7442, -2.791931, 4.675873, -18.8277, 0.8395517, -0.02925233, -0.542492, 0.7072326, 0.1416327, -0.6926486, 183.0865, 122.8693, 91.99554, 168.4435, 134.4031, 78.67556, -14.64304, -11.53384, -13.31998, -8.049591, 63.24944, -116.5764, -19.9007, 47.03973, -111.0687, -11.8511, 16.20971, 5.507721, 6.286227
3, 0, -0.06203414, -0.2021095, -0.9773964, -0.04031055, -0.141324, -0.9891424, 191.6832, 183.6316, 197.063, 188.1311, 182.3337, 195.92, -3.552017, 1.297943, -1.143005, -0.357405, -0.3549169, -0.8638843, -0.1919714, -0.1689125, -0.9667552, 202.3347, 202.4758, 225.2001, 189.9107, 191.2313, 228.656, -12.424, 11.24451, 3.455856, 10.65158, -18.84416, 28.13713, 1.779602, -8.897598, 32.73599, -8.871979, -9.946564, 4.598862, 3.489248
4, 2, -0.0360856, -0.1752119, -0.9838694, -0.03986625, -0.1404648, -0.9892827, 190.0976, 182.1005, 191.6376, 188.0812, 182.3077, 195.8448, -2.016434, -0.2071533, 4.207245, -0.8162593, -0.002707135, 0.5776793, -0.9887958, -0.07675999, 0.1280262, 359.7315, 305.2876, 269.81, 329.0546, 277.3774, 265.561, -30.67691, 27.91019, -4.248962, 169.6339, -123.1871, 78.17242, 140.9734, -95.06978, 69.71622, -28.66048, -28.11734, -8.456207, 4.1876
5, 6, -0.03890147, -0.1969443, -0.9796427, -0.02618855, -0.1411066, -0.9896479, 191.367, 182.274, 191.1735, 188.1147, 181.5158, 190.5141, -3.25235, 0.7581787, -0.6593933, 0.6291132, -0.1798714, 0.7562162, 0.9081966, -0.3803025, 0.1747824, 346.6204, 39.75783, 105.9559, 294.6829, 79.10661, 112.7212, -51.9375, -39.34878, 6.765335, 155.2534, 142.5162, -85.21761, 106.5682, 102.4092, -77.79288, -48.68515, 40.10696, 7.424728, 5.330295
6, 1, -0.0629057, -0.2353347, -0.9698766, -0.01078532, -0.1327768, -0.9910873, 193.6389, 183.711, 194.9655, 187.6305, 180.6235, 184.6439, -6.008362, 3.087494, -10.32158, -0.6727672, 0.1707523, -0.7198808, -0.3499194, 0.09945656, -0.9314852, 166.6563, 223.0624, 284.2413, 173.9055, 200.5891, 285.8666, 7.249207, 22.47334, 1.625275, -26.98257, -39.35144, 89.27585, -13.72501, -19.96559, 101.2227, 13.25757, -19.38585, 11.94685, 4.310612
7, 8, -0.08633903, -0.2790064, -0.9564003, -0.0124337, -0.1332788, -0.9910006, 196.2633, 185.1584, 197.1948, 187.6597, 180.7188, 185.3297, -8.603622, 4.439575, -11.86504, 0.3436752, 0.08395939, -0.9353279, 0.1663736, 0.005763665, -0.986046, 174.8706, 159.8247, 76.27161, 179.6651, 170.4228, 88.0159, 4.794479, -10.59805, 11.74429, -21.3927, 25.33366, -120.9232, -7.994598, 10.29604, -97.31384, 13.3981, 15.03763, 23.60932, 4.055329
8, 7, -0.03998511, -0.2704721, -0.9618973, -0.004268833, -0.1299269, -0.9915143, 195.7052, 182.3804, 188.4094, 187.4654, 180.2467, 181.8818, -8.239807, 2.133682, -6.527573, 0.4911233, -0.0396499, -0.8701873, 0.3649809, -0.006060979, -0.9309953, 182.6089, 150.5602, 94.61565, 180.373, 158.5932, 90.95139, -2.23587, -8.033035, -3.664268, -13.09636, 31.82021, -93.79372, -7.092422, 21.65349, -90.93042, 6.003937, 10.16672, 2.863304, 5.919445
9, 3, -0.02597443, -0.2530244, -0.9671113, -0.02511177, -0.128862, -0.9913446, 194.6616, 181.5385, 185.8612, 187.4062, 181.451, 191.0272, -7.255417, 0.0874176, 5.166, 0.9563201, 0.01229082, -0.2920633, 0.8545593, -0.1559409, -0.4953896, 177.5903, 106.9828, 89.26366, 197.4732, 120.101, 100.3416, 19.88293, -13.1181, 11.07795, -17.07135, 74.55562, -96.59754, 10.067, 61.3501, -90.68559, 27.13835, 13.20552, 5.911949, 5.100283
