SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
04SG, flat, 65", female, 24, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.07236202, -0.028867, -0.9969608, -0.06840579, -0.04980558, -0.9964136, 181.6585, 184.1514, 248.2517, 182.8615, 183.9273, 233.942, 1.203003, 0.2240906, -14.30972, 0.9756498, -0.04732443, -0.2141676, 0.7458041, 0.2641861, -0.6115407, 192.4604, 102.3808, 92.77699, 156.6356, 129.3509, 70.49434, -35.82475, -26.9701, -22.28265, 10.80183, 81.77061, -155.4747, -26.22592, 54.57642, -163.4477, -37.02776, 27.19419, -7.972931, 3.941803
1, 8, -0.007081725, -0.05787681, -0.9982986, -0.07273357, -0.04543089, -0.9963162, 183.318, 180.4064, 186.976, 182.6108, 184.1753, 238.0103, -0.7072144, -3.76889, 51.0343, 0.1094613, 0.06729863, -0.9917104, 0.1790693, 0.06512434, -0.9816786, 176.1178, 173.7014, 58.4161, 176.2046, 169.6623, 70.01457, 0.08677673, 4.039154, 11.59847, -7.200226, 6.705017, -128.5598, -6.406235, 14.51306, -167.9957, 0.7939911, -7.808044, -39.43584, 1.843943
2, 1, -0.03689665, -0.0798941, -0.9961203, -0.06584813, -0.04319387, -0.9968943, 184.5856, 182.1213, 204.7884, 182.481, 183.7791, 236.7366, -2.10463, -1.657791, 31.94821, -0.07082282, 0.3228042, -0.9438123, -0.4720358, 0.2265401, -0.8519752, 161.1182, 184.2914, 347.6255, 165.1096, 208.9886, 295.6374, 3.991394, -24.69722, -51.9881, -23.46739, -2.170074, 142.837, -17.37137, -25.2095, 58.90073, 6.096024, 23.03943, -83.93631, 3.222166
3, 5, -0.07578782, -0.08553217, -0.9934489, -0.06755879, -0.04254936, -0.9968076, 184.9208, 184.3625, 221.5433, 182.4442, 183.8773, 237.7968, -2.476608, 0.485199, 16.25346, 0.7448417, -0.4512279, 0.4915325, -0.5238687, -0.2787241, 0.8049065, 317.448, 56.57857, 121.2076, 340.9, 326.9421, 241.9848, 23.452, -270.3636, 120.7772, 132.5272, 127.7839, -100.3357, 158.4558, -143.0648, 4.188034, 25.9286, 270.8488, 104.5237, 3.619688
4, 7, -0.1015005, -0.08494936, -0.9912019, -0.07690754, -0.04251961, -0.9961312, 184.8985, 185.8468, 230.0728, 182.4442, 184.4148, 241.0633, -2.454285, 1.431946, 10.99043, 0.5810832, 0.1674103, -0.7964397, 0.4002016, 0.05721667, -0.9146393, 168.1293, 143.8855, 73.92829, 176.4204, 156.3681, 81.86358, 8.291092, -12.48267, 7.935287, -16.76912, 41.9613, -156.1445, -6.023743, 28.04669, -159.1997, 10.74538, 13.91461, -3.055145, 3.799672
5, 0, -0.06454879, -0.03215097, -0.9973966, -0.06571811, -0.04468913, -0.996837, 181.8463, 183.7029, 243.5227, 182.5669, 183.7719, 235.7838, 0.7206268, -0.06900024, -7.738861, -0.09326718, -0.2065869, -0.9739729, -0.2160438, -0.1302447, -0.9676577, 191.9754, 185.4699, 204.2976, 187.6658, 192.5857, 238.9158, -4.309555, -7.115768, 34.61818, 10.1291, -1.76709, -39.22507, 5.098923, -8.813858, 3.131973, -5.030182, 7.046768, 42.35704, 2.5108
6, 3, -0.08287857, -0.04490877, -0.9955474, -0.06929504, -0.04469227, -0.9965946, 182.5828, 184.7589, 241.5484, 182.5677, 183.9775, 237.1797, -0.01513672, 0.7813873, -4.368652, 0.9755312, -0.03511686, -0.2170388, 0.9824094, 0.002281181, -0.186726, 189.1908, 102.543, 92.06163, 179.3001, 100.7618, 89.86696, -9.890732, 1.781219, -2.194672, 6.607971, 82.21584, -149.4868, -3.267624, 83.21567, -147.3128, -9.875595, -0.9998322, 2.173981, 2.985281
7, 2, -0.06154777, -0.0167399, -0.997964, -0.07020055, -0.04864141, -0.9963462, 180.961, 183.5291, 254.7846, 182.795, 184.0303, 235.2822, 1.833969, -0.5011444, -19.50241, -0.7579718, -0.04206495, 0.6509296, -0.9093877, 0.1424774, 0.3907866, 356.3025, 310.6553, 266.8235, 20.03142, 293.2544, 278.9044, -336.2711, 17.40088, 12.08084, 175.3415, -127.1261, 12.03891, -162.7635, -109.2241, 43.62216, -338.1051, -17.90202, 31.58325, 3.119762
8, 6, -0.06461824, -0.05898345, -0.9961656, -0.06150759, -0.04706189, -0.9969965, 183.3886, 183.7114, 227.6102, 182.7026, 183.5303, 232.579, -0.6860046, 0.1811218, 4.96875, 0.9325309, -0.1014015, 0.3465603, 0.7403857, -0.07989061, 0.6674178, 343.6908, 69.61322, 96.20585, 353.1741, 47.96704, 96.15862, 9.483276, 21.64618, -0.04722595, 160.3023, 114.0982, -131.4044, 170.4715, 135.5632, -136.4203, 10.16928, -21.46506, -5.015991, 3.031105
9, 7, -0.05933096, -0.03047456, -0.9977732, -0.07126662, -0.04509549, -0.9964374, 181.7494, 183.403, 242.8133, 182.5912, 184.0909, 237.6755, 0.8418427, -0.6879272, -5.137756, 0.5042189, 0.1873218, -0.8430148, 0.4055712, 0.05788968, -0.9122285, 167.4722, 149.1158, 69.61951, 176.3689, 156.0304, 81.87669, 8.896744, -6.914581, 12.25717, -14.27725, 34.2872, -173.1938, -6.222351, 28.06055, -155.7989, 8.054901, 6.226654, 17.39493, 2.744576
10, 5, -0.05096783, -0.06341104, -0.9966853, -0.06594092, -0.04274723, -0.9969075, 183.6404, 182.9274, 218.7912, 182.4553, 183.7843, 237.0461, -1.185043, -0.8569489, 18.25482, 0.7601069, -0.4683368, 0.4504421, -0.5087033, -0.2785717, 0.8146279, 313.8842, 59.34887, 121.6391, 341.1213, 328.0168, 241.2944, 27.23706, -268.668, 119.6553, 130.2439, 123.5785, -97.1521, 158.666, -144.2325, 4.248337, 28.4221, 267.811, 101.4004, 2.85294
11, 8, -0.06891814, -0.05470759, -0.9961214, -0.07730655, -0.04390159, -0.9960403, 183.1436, 183.9578, 231.5573, 182.5237, 184.438, 240.4082, -0.6198273, -0.4802551, 8.850937, 0.181131, 0.3069932, -0.9343162, 0.177039, 0.06157755, -0.9822756, 161.8108, 169.0285, 30.5413, 176.4129, 169.7831, 70.82135, 14.60214, -0.7545929, 40.28005, -21.33279, 14.92932, -201.016, -6.110825, 14.65498, -169.5869, 15.22197, 0.2743378, 31.42911, 3.265079
12, 1, -0.05469408, -0.0159576, -0.9983758, -0.06252002, -0.0448969, -0.9970334, 180.9157, 183.1357, 253.7348, 182.5783, 183.5881, 234.3171, 1.662598, -0.4523773, -19.41771, -0.1267, 0.3950005, -0.9099021, -0.468768, 0.2244036, -0.8543416, 156.5337, 187.9272, 342.2159, 165.283, 208.7531, 295.5809, 8.749283, -20.82588, -46.63501, -24.382, -4.791504, 88.48106, -17.29532, -25.16501, 61.26376, 7.086685, 20.3735, -27.2173, 2.375003
13, 4, -0.08464691, -0.0403434, -0.995594, -0.06421216, -0.04205569, -0.9970497, 182.3205, 184.8597, 244.5172, 182.4153, 183.6849, 236.7773, 0.09484863, 1.174805, -7.739899, 0.883275, 0.0009473488, -0.4688545, 0.7517929, 0.2683724, -0.6023153, 179.8842, 117.96, 89.93855, 155.9838, 128.7007, 70.35463, -23.90045, -10.74075, -19.58392, -2.436234, 66.8997, -154.5786, -26.43153, 54.98415, -166.4226, -23.9953, 11.91556, -11.84402, 3.74229
14, 6, -0.05868155, -0.03138607, -0.9977834, -0.06091543, -0.0440541, -0.9971703, 181.8017, 183.3658, 241.8597, 182.5296, 183.4958, 234.1255, 0.727951, -0.1299591, -7.734207, 0.9993037, -0.03724815, -0.00217256, 0.7371253, -0.08384383, 0.6705345, 266.6619, 90.12457, 92.13467, 352.8727, 47.70842, 96.48918, 86.21082, 42.41615, 4.354515, 84.86021, 93.24123, -149.725, 170.3431, 135.7873, -137.6363, 85.48286, -42.5461, 12.08871, 2.920146
