SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
06EC, flat, 72", male, 17, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.08138952, -0.2855462, -0.9549029, -0.005340653, -0.1565449, -0.9876564, 196.6483, 184.8717, 195.9092, 189.0065, 180.3098, 181.9539, -7.641785, 4.56192, -13.95526, 0.7765075, -0.000835048, -0.6301074, 0.7638714, 0.1400485, -0.6299896, 180.0759, 129.0581, 90.06161, 167.4668, 129.5135, 79.61076, -12.60915, -0.4554596, -10.45086, -16.5724, 55.81367, -105.8476, -21.53976, 50.7963, -102.3432, -4.967361, 5.01738, 3.504402, 5.672665
1, 8, -0.1165167, -0.3018237, -0.9462171, 0.002534641, -0.1511263, -0.9885112, 197.6916, 187.02, 201.1087, 188.6922, 179.8531, 179.0392, -8.999374, 7.166946, -22.06953, 0.2067948, -0.03039178, -0.9779123, 0.1923895, 0.007229428, -0.9812921, 181.7801, 168.0598, 98.36067, 179.5779, 168.9074, 87.84801, -2.202179, -0.8476105, -10.51266, -15.91153, 18.96021, -102.748, -9.114334, 10.94565, -91.19115, 6.797195, 8.014557, 11.55687, 3.909122
2, 1, -0.06826005, -0.2322258, -0.970264, -0.01438845, -0.1553681, -0.9877519, 193.4601, 184.0242, 196.3801, 188.9391, 180.8346, 185.291, -4.521057, 3.189682, -11.08908, -0.5256783, -0.1360584, -0.8397323, -0.3894306, 0.1248697, -0.9125521, 189.2034, 212.0469, 255.4889, 172.2083, 203.1103, 287.7783, -16.99513, 8.936554, 32.2894, -4.256714, -28.02261, 59.10881, -16.73079, -22.27574, 102.4873, -12.47408, -5.746872, 43.37848, 2.852818
3, 5, -0.08243901, -0.2792162, -0.9566832, 0.00183478, -0.1573851, -0.9875356, 196.2703, 184.9251, 196.4493, 189.0552, 179.8936, 179.3321, -7.215179, 5.031555, -17.11723, -0.5469736, -0.5662918, 0.6165496, -0.1861368, -0.6999466, 0.6895127, 317.433, 318.4221, 224.0059, 314.5698, 344.8929, 194.892, -2.86322, -26.47079, -29.11386, 121.1626, -133.497, 27.55655, 125.5146, -164.9993, 15.55992, 4.351959, 31.50235, -11.99663, 3.464381
4, 7, 0.004982815, -0.1803279, -0.9835939, -0.02092218, -0.1599975, -0.9868957, 190.389, 179.7097, 178.4172, 189.2088, 181.2145, 187.45, -1.180191, -1.50473, 9.032837, 0.206155, -0.1128875, -0.971986, 0.4166869, -0.006819237, -0.9090245, 186.6247, 168.0252, 118.7045, 180.4298, 155.3738, 90.93758, -6.194901, 12.65141, -27.76688, -3.764267, 11.68454, -59.71274, -8.778976, 25.84068, -96.51246, -5.014709, -14.15614, -36.79972, 3.609716
5, 0, -0.07510223, -0.24802, -0.9658396, -0.01039883, -0.1522566, -0.9882863, 194.4019, 184.4463, 196.8467, 188.7582, 180.6029, 183.9071, -5.643723, 3.84343, -12.93956, -0.1881937, -0.3772157, -0.9068028, -0.1842754, -0.1758902, -0.9670084, 202.5865, 191.7245, 206.5147, 190.3089, 190.7891, 226.3337, -12.27766, 0.9353943, 19.81898, 8.184631, -7.278168, 9.66803, 1.55069, -10.1862, 42.42657, -6.633942, 2.908035, 32.75854, 4.098042
6, 3, -0.01651501, -0.2764446, -0.960888, 0.009130858, -0.1548448, -0.9878966, 196.0504, 180.9847, 183.4188, 188.9082, 179.4704, 176.6253, -7.142197, 1.514221, -6.793518, 0.8140659, -0.04172555, -0.5792719, 0.9589101, -0.1664464, -0.2297543, 184.12, 125.4348, 92.93417, 215.9216, 103.474, 99.84721, 31.80164, 21.96081, 6.91304, -11.9304, 55.54983, -90.48465, 27.01343, 75.99641, -76.77809, 38.94383, -20.44659, 13.70656, 3.253093
7, 2, -0.02298149, -0.2369666, -0.9712461, 0.005416813, -0.1537175, -0.9881, 193.7113, 181.3555, 185.5393, 188.8425, 179.6859, 177.9818, -4.868729, 1.669571, -7.557526, -0.9466977, -0.321085, 0.02584649, -0.937308, -0.06386759, 0.3425998, 274.6022, 271.5639, 251.265, 349.4401, 290.0781, 266.1019, 74.83789, -18.51422, 14.83698, 80.89096, -90.2084, 65.72562, 160.5976, -110.3922, 88.12012, 79.70662, 20.18379, 22.3945, 3.397006
8, 6, -0.0518102, -0.3076433, -0.9500904, -0.001988605, -0.1535704, -0.9881357, 197.9422, 183.1214, 189.5595, 188.8339, 180.1153, 180.7419, -9.108261, 3.006058, -8.817596, 0.809307, -0.4668332, 0.3564956, 0.8235969, -0.3650376, 0.4340918, 307.367, 66.22676, 119.9777, 319.9388, 62.20771, 113.9041, 12.57172, 4.019051, -6.073616, 109.4249, 116.8946, -69.58181, 131.1048, 117.9076, -66.83783, 21.67998, -1.012993, 2.74398, 2.955207
9, 7, -0.04675212, -0.2307876, -0.9718805, -0.0006329833, -0.1520578, -0.9883714, 193.3583, 182.7541, 191.4518, 188.7462, 180.0367, 180.2385, -4.612122, 2.717377, -11.21329, 0.301229, -0.122112, -0.9457009, 0.4225595, -0.004614708, -0.9063234, 187.3575, 162.332, 112.0666, 180.2917, 155.0034, 90.62569, -7.065781, 7.328613, -21.44093, -6.000824, 20.42203, -79.38518, -8.454483, 25.03326, -89.61282, -2.453659, -4.611237, -10.22764, 3.154456
