SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
07BS, flat, 72", male, 16, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.1038747, -0.1078712, -0.9887235, 0.04961694, -0.1220337, -0.991285, 186.2264, 185.9975, 223.9187, 187.0182, 177.1346, 157.8741, 0.791748, 8.862885, -66.0446, 0.8705669, 0.209075, -0.445422, 0.790535, 0.1602022, -0.5910918, 154.8553, 117.0964, 76.49562, 164.8356, 126.7859, 78.54413, 9.980286, -9.689514, 2.048508, -31.37114, 68.90108, -147.4231, -22.1826, 50.34869, -79.33, 9.188538, 18.5524, 68.09311, 3.120136
1, 8, -0.01286048, -0.226882, -0.9738375, 0.003824198, -0.1155224, -0.9932975, 193.1147, 180.7566, 183.2442, 186.6338, 179.7794, 178.104, -6.480865, 0.9771881, -5.140244, 0.3500833, 0.110255, -0.9302074, 0.201811, 0.02362488, -0.9791395, 173.2404, 159.3762, 72.51874, 178.6178, 168.3538, 83.3231, 5.377396, -8.977646, 10.80436, -19.87424, 21.38043, -110.7255, -8.015976, 11.4256, -94.78091, 11.85826, 9.954834, 15.9446, 2.620824
2, 1, 0.007999516, -0.168312, -0.9857014, 0.02145859, -0.1201164, -0.9925279, 189.69, 179.535, 177.2789, 186.9004, 178.7614, 169.871, -2.789597, 0.7735748, -7.407852, -0.5160199, 0.08281206, -0.8525643, -0.3955241, 0.1550825, -0.905268, 174.4521, 211.1847, 279.1172, 170.279, 203.6012, 291.4099, -4.173141, 7.583496, 12.29263, -15.2379, -31.64966, 101.8383, -16.62144, -24.83974, 121.5388, -1.383545, -6.809921, 19.70049, 2.465822
3, 5, 0.1142437, -0.1790348, -0.9771874, 0.01667544, -0.1192747, -0.9927213, 190.3823, 173.3318, 147.4577, 186.8512, 179.0377, 172.0412, -3.531067, -5.705887, 24.58356, -0.6095837, -0.4463121, 0.6551437, -0.3898486, -0.529076, 0.7537218, 325.7356, 317.0631, 233.7899, 324.933, 332.6506, 216.3846, -0.8026123, -15.58746, -17.40536, 135.3534, -143.7313, 86.33226, 138.0818, -153.6129, 44.34334, 2.728455, 9.881577, -41.98892, 2.621073
4, 7, 0.03454202, -0.2042432, -0.9783106, 0.05053102, -0.1108118, -0.992556, 191.7923, 177.9778, 170.4009, 186.3703, 177.0856, 155.4866, -5.422058, 0.8922577, -14.91422, 0.4004759, 0.1295364, -0.9071051, 0.4374056, 0.01056521, -0.8992023, 171.873, 156.1791, 72.07589, 179.3268, 154.06, 88.61633, 7.453842, 2.119156, 16.54044, -19.91934, 21.79871, -98.32497, -7.043442, 23.0256, -66.87032, 12.8759, -1.226898, 31.45466, 2.96517
5, 0, 0.019374, -0.2073933, -0.9780657, -0.008956382, -0.1087251, -0.9940315, 191.9719, 178.8652, 174.6631, 186.2421, 180.5162, 184.7092, -5.729843, -1.651016, 10.04608, -0.3694834, -0.3896279, -0.8436067, -0.1418595, -0.1597722, -0.9769077, 204.7903, 203.6525, 223.4799, 189.2884, 188.2623, 221.6014, -15.50189, 15.39015, -1.878479, 12.81839, -24.78726, 48.8168, 3.046341, -7.746094, 36.89224, -9.772049, -17.04117, -11.92456, 2.565292
6, 3, 0.1511885, -0.1508882, -0.9769211, 0.05235454, -0.1149195, -0.9919941, 188.7801, 171.2027, 134.9431, 186.6081, 176.9789, 155.5072, -2.172028, -5.77623, 20.5641, 0.9955015, -0.02371903, 0.09172837, 0.9675645, -0.1032993, -0.2305388, 345.5021, 84.73547, 91.36488, 204.1361, 103.4018, 96.09394, -141.366, -18.66634, 4.729057, 156.722, 86.46721, -43.57817, 17.528, 73.5771, -59.41322, -139.194, 12.89011, -15.83504, 2.620383
7, 2, 0.01120131, -0.1524953, -0.9882409, -0.001025031, -0.1206362, -0.9926963, 188.7721, 179.3506, 175.799, 186.9288, 180.0592, 180.4868, -1.843292, -0.7085571, 4.687836, -0.9600396, 0.2772586, 0.03810246, -0.9331323, -0.02340206, 0.3587708, 82.1751, 272.2728, 286.1087, 356.268, 291.0308, 268.5634, 274.0929, -18.758, -17.54529, -106.597, -92.92216, 110.3097, 169.3392, -110.9716, 88.07657, 275.9362, 18.04944, -22.23312, 2.85373
8, 6, 0.06156548, -0.2565511, -0.964568, 0.05227573, -0.1171745, -0.9917345, 194.8944, 176.3479, 166.5057, 186.7383, 176.9827, 155.9566, -8.156097, -0.6347198, -10.54904, 0.697732, -0.04374383, 0.7150221, 0.871434, -0.2103551, 0.4431179, 356.4991, 44.29881, 93.58743, 334.6056, 63.047, 103.571, -21.89355, -18.74818, 9.983574, 161.6047, 132.0491, -72.91827, 147.8672, 113.9357, -52.38565, -13.73746, 18.11346, 20.53262, 2.66492
9, 7, 0.06885524, -0.1763211, -0.9819217, 0.06341365, -0.1228331, -0.9903993, 190.1799, 175.9888, 158.6688, 187.0699, 176.3364, 152.6946, -3.110016, -0.3476257, -5.974274, 0.4834066, 0.03615316, -0.8746491, 0.4156264, 0.01385441, -0.9094299, 177.6331, 151.0712, 85.72291, 179.1272, 155.4387, 88.09082, 1.494156, -4.367538, 2.367912, -12.54689, 24.91763, -72.94593, -7.942719, 20.89772, -64.60374, 4.604172, 4.019913, 8.342186, 2.64305
10, 5, 0.04723952, -0.1899427, -0.9806582, 0.03835071, -0.1180322, -0.9922689, 190.9618, 177.2421, 166.0337, 186.7836, 177.7866, 162.0001, -4.178268, -0.5445099, -4.033539, -0.5718376, -0.436977, 0.6943003, -0.2120816, -0.5422473, 0.8130124, 327.8146, 320.5245, 232.6143, 326.2983, 345.3797, 201.3613, -1.516327, -24.85516, -31.25302, 136.8528, -143.2824, 66.58063, 139.5147, -167.5931, 39.36115, 2.661942, 24.31065, -27.21948, 2.609978
11, 8, 0.1032527, -0.01482533, -0.9945447, 0.07509369, -0.1281141, -0.9889124, 180.854, 174.0728, 98.17086, 187.3816, 175.6575, 149.6234, 6.527557, -1.584717, 51.45257, 0.4329115, 0.1434383, -0.8899512, 0.2184172, 0.02355339, -0.9755712, 170.8441, 154.0597, 71.66821, 178.617, 167.3804, 83.8452, 7.772888, -13.32068, 12.17699, -10.00995, 20.01315, -26.50265, -8.764618, 8.277191, -65.77823, 1.245331, 11.73596, -39.27558, 2.432556
12, 1, 0.01599307, -0.1160318, -0.9931169, 0.006013069, -0.1193885, -0.9928294, 186.664, 179.0774, 172.1522, 186.8569, 179.653, 177.1167, 0.1929474, -0.5756073, 4.964539, -0.5563892, 0.09937847, -0.8249577, -0.3537014, 0.1604345, -0.9214966, 173.131, 213.9975, 280.127, 170.1237, 200.9985, 294.3984, -3.007294, 12.99904, 14.27142, -13.53302, -34.92012, 107.9748, -16.73326, -21.34547, 117.2817, -3.200241, -13.57465, 9.306885, 2.67658
13, 4, -0.07865083, -0.09365142, -0.9924936, 0.06736088, -0.1265386, -0.9896719, 185.3904, 184.531, 220.0244, 187.2863, 176.1062, 151.9721, 1.895813, 8.424744, -68.05231, 0.8745363, 0.1948369, -0.4441003, 0.8024501, 0.1604292, -0.5747489, 156.3118, 116.922, 77.44026, 164.404, 125.6119, 78.69424, 8.092194, -8.689835, 1.253983, -29.0786, 67.60896, -142.5841, -22.88222, 50.49438, -73.27783, 6.196381, 17.11458, 69.30629, 2.454584
