SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
08BF, flat, 68", male, 20, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, 0.001977779, -0.1471891, -0.9891065, 0.03388252, -0.1592774, -0.9866522, 188.4641, 179.8854, 179.2302, 189.1703, 178.0332, 167.9907, 0.706192, 1.852249, -11.23947, 0.823956, -0.05608575, -0.5638714, 0.8221201, 0.163608, -0.5452989, 185.6803, 124.3857, 93.89405, 163.299, 123.5557, 78.74477, -22.38127, 0.8299942, -15.14928, -2.783798, 55.49978, -85.33611, -25.87126, 54.47752, -89.24593, -23.08746, 1.022255, -3.909813, 5.908049
1, 8, 0.03692731, -0.1184009, -0.9922792, 0.007302267, -0.1582316, -0.987375, 186.8045, 177.8687, 162.6782, 189.1045, 179.5763, 177.3577, 2.300018, -1.707535, 14.67957, 0.2040667, 0.07779788, -0.9758609, 0.2107184, 0.01193832, -0.9774739, 175.4419, 168.1888, 69.13128, 179.3002, 167.8347, 86.75735, 3.858353, 0.3541718, 17.62608, -11.36259, 9.679916, -93.54688, -9.80426, 11.74162, -90.60037, 1.558334, -2.061707, 2.94651, 3.608186
2, 1, -0.01127803, -0.2117735, -0.9772539, 0.01288904, -0.1540179, -0.987984, 192.2271, 180.6612, 183.0484, 188.8606, 179.2526, 175.2163, -3.366501, 1.408615, -7.832077, -0.7817618, 0.1062588, -0.6144572, -0.3796422, 0.1352432, -0.9151946, 170.1888, 231.833, 277.7403, 171.5939, 202.5297, 289.6078, 1.405136, 29.3033, 11.86752, -22.03827, -51.17181, 94.69191, -17.26663, -23.27713, 114.3915, 4.771637, -27.89468, 19.6996, 3.22845
3, 5, -0.003850577, -0.1511542, -0.9885028, 0.03002984, -0.1594466, -0.9867497, 188.6939, 180.2232, 181.4593, 189.179, 178.2569, 169.334, 0.4850769, 1.966339, -12.12527, -0.01492497, -0.3287288, 0.9443064, -0.2001862, -0.5703312, 0.7966478, 340.8062, 359.0945, 182.5996, 324.4006, 345.8944, 199.3411, -16.40555, 13.20007, 16.7415, 152.1123, -178.8713, 1.140305, 135.2216, -167.6376, 30.00708, -16.89063, -11.23373, 28.86678, 3.777467
4, 7, 0.02391649, -0.1137415, -0.9932226, 0.02437912, -0.1692469, -0.9852721, 186.5329, 178.6206, 168.1254, 189.747, 178.5826, 171.8032, 3.21405, 0.03800964, 3.677856, 0.4999487, -0.02638633, -0.8656532, 0.4568682, -0.0007643063, -0.8895341, 181.7459, 149.9919, 93.02116, 180.0492, 152.8148, 90.09585, -1.696686, -2.822906, -2.925316, -4.787003, 28.62872, -75.10422, -9.697739, 25.76781, -81.70739, -4.910736, 2.860916, -6.603172, 2.998808
5, 0, -0.004746579, -0.1935466, -0.9810798, 0.01766938, -0.1541213, -0.9878939, 191.1599, 180.2772, 181.4048, 188.8672, 178.9753, 173.4598, -2.292709, 1.30188, -7.945023, -0.4310032, -0.1987692, -0.880186, -0.1660842, -0.1815947, -0.9692468, 192.7254, 206.0897, 245.2419, 190.6117, 189.7234, 222.4456, -2.113739, 16.36632, -22.79623, 1.565506, -25.81253, 63.83704, 1.744476, -10.74809, 48.98582, 0.1789703, -15.06444, -14.85121, 2.675988
6, 3, 0.004332078, -0.1643631, -0.9863905, 0.02371104, -0.1548696, -0.9876503, 189.4603, 179.7484, 178.4902, 188.9117, 178.6247, 171.2954, -0.548584, 1.123627, -7.194794, 0.9600731, 0.02680804, -0.2784621, 0.9818282, -0.1437356, -0.123909, 174.501, 106.1744, 88.40055, 229.2366, 97.19283, 98.3287, 54.73564, 8.981575, 9.928154, -14.95935, 73.57396, -90.08967, 40.32487, 81.43191, -72.96672, 55.28423, -7.857948, 17.12295, 3.132013
7, 2, 0.08012757, -0.2210733, -0.9719601, 0.01669482, -0.1510796, -0.9883806, 192.814, 175.2872, 160.0771, 188.6907, 179.0323, 173.6942, -4.12326, -3.745056, 13.61714, -0.8575194, -0.04415444, 0.5125533, -0.8998456, -0.04987128, 0.4333483, 355.0764, 300.8674, 267.0524, 353.4351, 295.7146, 266.8278, -1.641266, 5.152863, -0.2246094, 162.2624, -125.5802, 106.9753, 164.7444, -116.6823, 93.13359, 2.481995, -8.897919, -13.84175, 3.077101
8, 6, 0.01879612, -0.1510734, -0.9883439, 0.03490465, -0.1569972, -0.986982, 188.6907, 178.9105, 172.9079, 189.0382, 177.9746, 167.4655, 0.3475189, 0.9359131, -5.442368, 0.7806092, -0.01861609, 0.6247422, 0.7390969, -0.2783711, 0.6133884, 358.2932, 51.32878, 91.36614, 335.5902, 50.31017, 110.6382, -22.70297, 1.018612, 19.27209, 169.6025, 127.5817, -81.54173, 146.552, 127.6644, -56.82727, -23.05049, -0.08269501, 24.71445, 5.218173
9, 7, 0.02546468, -0.1450473, -0.9890969, 0.00593482, -0.1561065, -0.9877223, 188.3427, 178.5252, 170.0426, 188.9811, 179.6557, 177.8228, 0.638382, -1.130493, 7.780228, 0.4969169, -0.01132705, -0.8677244, 0.4355209, -0.001837194, -0.9001768, 180.7479, 150.2017, 91.30581, 180.1169, 154.1815, 90.2417, -0.6309357, -3.979843, -1.06411, -7.594864, 28.32358, -78.73675, -8.864182, 25.47423, -87.58109, -1.269318, 2.84935, -8.844337, 2.856386
