SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00BB, full, 61", male, 12, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.06366991, 0.2892396, -0.955137, -0.04340818, -0.1312076, -0.9904041, 163.1524, 176.1863, 12.41445, 187.5465, 182.5096, 198.3061, 24.39418, -6.323318, 185.8916, 0.9648496, 0.2627402, 0.005736494, 0.9571084, -0.1673114, -0.2365382, 88.74924, 89.65936, 74.76703, 215.2731, 103.8818, 99.91564, 126.5238, -14.22247, 25.14861, -74.40312, 86.52692, 62.35258, 27.72652, 78.62778, -98.39042, 102.1296, 7.899147, -160.743, 3.175945
1, 1, 0.07504791, 0.1651879, -0.9834026, -0.05241031, -0.1327373, -0.9897646, 170.4647, 175.636, 24.43317, 187.6384, 183.0311, 201.5462, 17.17365, -7.395142, 177.113, -0.2381169, 0.7119111, -0.6606688, -0.2875946, 0.7047082, -0.648595, 132.862, 199.8201, 341.5062, 132.6257, 203.9131, 337.7994, -0.2363129, -4.092987, -3.706757, -37.60274, -24.1841, 317.073, -55.0127, -20.88194, 136.2532, -17.40996, -3.302155, -180.8198, 2.84259
2, 3, 0.03962992, 0.1965875, -0.9796852, -0.02979305, -0.1339788, -0.9905363, 168.6535, 177.6835, 11.39746, 187.703, 181.7228, 192.5369, 19.04953, -4.039246, 181.1395, -0.04524163, -0.9780787, -0.2032625, -0.1299067, -0.896539, 0.4234879, 258.26, 192.5482, 182.6484, 295.2841, 342.9464, 188.2447, 37.02411, -150.3982, 5.596298, 89.60652, -14.86465, 171.2509, 107.5811, -161.2236, -4.292282, 17.97458, 146.3589, -175.5432, 3.153686
3, 4, 0.03347268, 0.2089975, -0.9773433, -0.02616855, -0.1284771, -0.9913672, 167.9295, 178.0385, 9.099118, 187.3841, 181.512, 191.5127, 19.45461, -3.473572, 182.4136, 0.5536088, 0.7890496, 0.2663042, 0.4714718, 0.7541073, 0.4572051, 71.35046, 64.31091, 35.05406, 58.77213, 45.88013, 32.01384, -12.57833, 18.43077, -3.040222, -96.57907, 113.7276, 25.95494, -128.612, 135.6319, -159.4988, -32.03293, -21.90434, -185.4538, 3.409082
4, 0, 0.1208978, 0.2351222, -0.9644176, -0.03460878, -0.1324592, -0.9905841, 166.2987, 172.8548, 27.21184, 187.6163, 182.001, 194.6428, 21.31757, -9.146194, 167.431, -0.2968704, -0.1945498, -0.9348896, -0.1684978, -0.3660399, -0.9152176, 191.7554, 197.617, 236.7617, 201.7989, 190.4317, 204.7179, 10.04344, 7.185303, -32.04387, 25.4567, -24.76227, 209.5499, 14.18257, -8.430771, 10.07504, -11.27412, -16.3315, -199.4749, 3.38713
5, 2, 0.08558385, 0.1778659, -0.9803261, -0.04595166, -0.1359722, -0.9896464, 169.7164, 175.0107, 25.69549, 187.8232, 182.6585, 198.6726, 18.10677, -7.647812, 172.9771, -0.9934694, 0.06349798, 0.09479805, -0.9349954, -0.1639569, 0.3144863, 33.81511, 275.4507, 273.6571, 332.4648, 288.5904, 260.054, 298.6497, -13.13965, -13.60315, -135.9013, -100.4401, 247.9616, 144.6416, -105.9319, 61.38133, 280.5429, 5.491837, -186.5803, 2.876193
6, 8, 0.05046955, 0.1295119, -0.9902928, -0.03256331, -0.1248717, -0.9916384, 172.5491, 177.0825, 21.29039, 187.1772, 181.8808, 194.6158, 14.62811, -4.798309, 173.3254, 0.3106284, 0.3982136, -0.8630968, 0.1762193, 0.01161778, -0.9842824, 155.2325, 160.2062, 37.95618, 179.3237, 169.8497, 86.22807, 24.09129, -9.643478, 48.27188, -17.3166, 16.87628, 16.66579, -7.853424, 12.03111, -108.3877, 9.463181, 4.845169, -125.0535, 3.065197
7, 6, 0.06096465, 0.1984448, -0.9782142, -0.0291335, -0.129723, -0.9911222, 168.5323, 176.4338, 17.07759, 187.4568, 181.6837, 192.6576, 18.92442, -5.249878, 175.58, 0.4944371, -0.5300265, -0.6889149, 0.293713, -0.9146618, -0.2777168, 217.5734, 144.3328, 136.9896, 253.1102, 133.3965, 162.1973, 35.53685, 10.93633, 25.2077, 49.04105, 32.10097, 119.912, 65.65347, 48.28717, -30.46028, 16.61243, -16.1862, -150.3723, 3.454132
8, 7, 0.05754376, 0.3467291, -0.9361987, -0.02667221, -0.1379528, -0.9900796, 159.6775, 176.4827, 9.423019, 187.9322, 181.5431, 190.9427, 28.25478, -5.060425, 181.5197, 0.3762361, 0.5741892, -0.7271541, 0.3709025, 0.446501, -0.81429, 141.704, 152.6425, 33.23473, 151.2626, 155.5111, 39.71597, 9.558624, -2.868561, 6.481243, -17.97345, 23.84016, 23.81171, -36.6696, 26.03203, -151.2267, -18.69615, -2.191864, -175.0385, 2.731074
9, 8, 0.02643511, 0.1491941, -0.9884546, -0.02482652, -0.1252316, -0.9918169, 171.4167, 178.468, 10.04773, 187.1964, 181.4339, 191.2132, 15.77962, -2.965851, 181.1655, 0.258338, 0.3723761, -0.8914022, 0.1825486, 0.01244651, -0.9831181, 157.3277, 163.8378, 34.75119, 179.2747, 169.4809, 86.0995, 21.94702, -5.643082, 51.34831, -14.0891, 14.6302, 24.70346, -7.921692, 11.95297, -105.1137, 6.167404, 2.677231, -129.8172, 2.809395
