SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00SC, full, 68", male, 25, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.24463, -0.1634431, -0.9557421, 0.1604507, -0.09496825, -0.9824646, 189.7044, 165.6429, 123.7478, 185.5212, 170.7247, 120.6206, -4.183121, -5.081741, -3.127205, 0.9830782, 0.1454371, -0.1113809, 0.9670729, -0.1140423, -0.2275177, 127.4462, 96.46394, 81.58467, 206.6221, 103.2389, 96.72556, 79.17595, -6.774971, 15.14088, -62.25819, 69.17898, -42.16315, 21.10088, 67.48575, -23.89507, 83.35907, 1.69323, 18.26809, 123.0981
1, 1, -0.008687091, 0.102195, -0.9947266, -0.002843371, -0.1080067, -0.9941461, 174.1342, 180.5004, 355.1412, 186.2004, 180.1639, 181.508, 12.06624, 0.3364868, -173.6332, -0.5049267, 0.7009768, -0.5036672, -0.2773848, 0.732842, -0.6212891, 125.6981, 225.0715, 324.2341, 130.2906, 204.0592, 339.2681, 4.59256, 21.01239, 15.03397, -48.43613, -44.57118, -30.90714, -55.90981, -23.89528, 157.7601, -7.473679, -20.6759, 188.6672, 4.707918
2, 3, -0.2486288, 0.2562923, -0.9340762, 0.009467855, -0.1184278, -0.9929175, 164.6568, 194.9052, 315.8695, 186.8017, 179.4537, 175.4291, 22.14491, 15.45148, -140.4404, 0.06188253, -0.9975357, -0.03306111, -0.2104412, -0.8094133, 0.5482377, 268.1017, 118.1136, 176.4502, 304.1108, 339.0007, 194.5738, 36.00909, -220.887, 18.12363, 103.445, 76.79153, -139.4194, 117.3092, -159.547, 19.14467, 13.86418, 236.3385, 158.564, 3.321198
3, 4, -0.0005460176, 0.09772655, -0.9952133, 0.01395384, -0.1082156, -0.9940295, 174.3917, 180.0314, 359.6799, 186.2131, 179.1958, 172.6526, 11.82133, 0.8356781, -187.0273, 0.6274419, 0.4725341, 0.6188927, 0.5233477, 0.6938666, 0.4946275, 37.36229, 45.39302, 53.01616, 54.51657, 46.61607, 37.02536, 17.15428, -1.223049, -15.99079, -137.0294, 134.6384, -306.6637, -131.6965, 132.5797, -135.6272, 5.332947, 2.058731, 171.0365, 4.608752
4, 0, -0.07829535, 0.04895111, -0.9957278, -0.02610938, -0.1029883, -0.9943398, 177.1855, 184.496, 302.0141, 185.9133, 181.5041, 194.2258, 8.727753, 2.991867, -107.7883, -0.1688399, -0.1672996, -0.9713413, -0.1782675, -0.3592041, -0.9160748, 189.7725, 189.8607, 225.2626, 201.4108, 191.0121, 206.3945, 11.63826, -1.151382, -18.86806, 12.58694, -5.364716, -76.75151, 15.49745, -9.507965, 12.16872, 2.910507, 4.14325, 88.92023, 8.852704
5, 2, -0.06039673, -0.1604144, -0.9852004, -0.01675116, -0.09159105, -0.9956558, 189.248, 183.5081, 200.6316, 185.2559, 180.9639, 190.3643, -3.992096, 2.544205, -10.26724, -0.6448391, 0.1058364, 0.7569553, -0.9430135, -0.1083744, 0.3146118, 7.959412, 319.5728, 279.3208, 340.9927, 288.4499, 263.4441, 333.0333, 31.12289, -15.87665, -181.2886, -136.0647, 78.68919, 155.7368, -107.4861, 73.07979, 337.0254, -28.57869, -5.609406, 8.662032
6, 8, -0.01052269, 0.05331201, -0.9985225, 0.02615244, -0.1126191, -0.993294, 176.9438, 180.6038, 348.8345, 186.4685, 178.4918, 166.9265, 9.524704, 2.111969, -181.9081, 0.1876468, 0.6283949, -0.754923, 0.2062083, 0.01759853, -0.9783498, 140.2261, 166.0412, 16.6263, 178.9695, 168.0979, 85.122, 38.74335, -2.056671, 68.4957, -36.7177, 14.56256, -332.2082, -7.499054, 10.39392, -81.80448, 29.21864, 4.16864, 250.4037, 3.819917
7, 6, 0.07143095, 0.08332763, -0.993959, 0.01702917, -0.1118228, -0.9935822, 175.2079, 175.8895, 40.60418, 186.4213, 179.0181, 171.3411, 11.21347, -3.128586, 130.7369, 0.2559735, -0.9014344, -0.3491329, 0.3009628, -0.9274445, -0.221964, 248.8282, 143.7523, 164.1474, 256.5406, 126.4092, 162.0214, 7.712433, 17.34304, -2.126083, 73.62035, 32.13722, 123.5433, 70.11931, 52.60885, -9.319748, -3.501038, -20.47163, -132.863, 3.653018
8, 7, 0.1662415, 0.1731714, -0.9707602, 0.06168932, -0.1114255, -0.9918563, 169.8855, 170.2824, 43.83035, 186.4098, 176.441, 151.0294, 16.52422, -6.158585, 107.1991, 0.4539238, 0.5477886, -0.7027668, 0.3791156, 0.4663557, -0.7992395, 142.0645, 147.1412, 39.64677, 149.7365, 154.6229, 39.10878, 7.671951, -7.481705, -0.5379906, -27.82103, 23.14125, -4.183578, -36.67329, 21.81813, -111.9207, -8.852264, 1.32312, -107.7371, 3.719198
9, 8, -0.0576197, 0.1992194, -0.9782596, -0.0344542, -0.1101262, -0.9933202, 168.4893, 183.3708, 343.8687, 186.3264, 181.9866, 197.3729, 17.83705, 1.384277, -146.4958, 0.020316, 0.3550541, -0.934625, 0.2118916, 0.02503117, -0.9769726, 159.1987, 178.7548, 3.274862, 178.5323, 167.7629, 83.26276, 19.33359, 10.99188, 79.9879, -9.290558, 4.616074, -340.5938, -7.794022, 14.22368, -114.1101, 1.496536, -9.607605, 226.4837, 3.554864
10, 4, 0.07334573, 0.2650102, -0.9614521, 0.03008071, -0.1205576, -0.9922505, 164.5899, 175.6376, 15.47026, 186.9274, 178.2636, 165.99, 22.33752, -2.626022, 150.5198, 0.55178, 0.4102696, 0.7260975, 0.4544452, 0.6982794, 0.5530691, 29.46792, 37.23213, 53.36778, 51.61917, 39.40922, 33.05636, 22.15126, -2.177094, -20.31142, -135.122, 138.4054, 37.89752, -135.3083, 138.8544, -132.9337, -0.186264, -0.4489288, -170.8312, 3.655161
11, 7, -0.08416985, 0.1284618, -0.9881363, -0.07608449, -0.1102857, -0.9909835, 172.5929, 184.8687, 326.7667, 186.3503, 184.3904, 214.6012, 13.7574, 0.478363, -112.1655, 0.3313703, 0.3727683, -0.8667397, 0.364828, 0.4865428, -0.7938367, 156.7284, 159.0772, 41.63531, 148.4958, 155.3176, 36.86394, -8.232529, 3.759598, -4.771378, -15.86449, 25.79149, -285.1313, -37.85442, 29.07272, -177.7373, -21.98993, -3.281235, 107.3941, 3.598785
12, 1, 0.3947933, 0.368556, -0.8416086, 0.02029953, -0.1212616, -0.9924129, 156.3505, 154.869, 46.96855, 186.9664, 178.8282, 170.4966, 30.61586, -23.95917, 123.5281, -0.2513896, 0.7467082, -0.6158166, -0.2549923, 0.7491214, -0.6113886, 129.5127, 202.2063, 341.3935, 129.2193, 202.6396, 341.202, -0.293396, -0.4332581, -0.1914673, -26.83781, -47.33731, 294.4249, -57.74707, -23.8114, 170.7054, -30.90926, -23.52591, -123.7195, 3.597478
