SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
00SJ, full, 64", female, 14, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.03262058, -0.01129983, -0.9994041, -0.01169811, -0.07551081, -0.9970763, 180.6478, 178.1305, 109.1062, 184.3309, 180.6722, 188.8062, 3.683075, -2.541656, 79.70006, 0.9882793, 0.1298543, 0.08026191, 0.9968233, -0.07389432, -0.02971614, 58.28012, 85.35699, 82.51454, 248.0928, 91.70753, 94.23957, 189.8127, -6.35054, 11.72503, -122.3677, 92.77354, -26.59164, 63.7619, 88.96465, -94.56667, 186.1296, 3.808884, -67.97503, 7.172212
1, 1, 0.06980262, 0.006699492, -0.9975383, -0.02839891, -0.0766341, -0.9966548, 179.6152, 175.9973, 84.51768, 184.3969, 181.6321, 200.3336, 4.781693, -5.634888, 115.8159, -0.1196984, 0.8896449, -0.4406862, -0.2723108, 0.7808948, -0.5621834, 116.3515, 195.196, 352.3371, 125.751, 205.8447, 340.7755, 9.399406, -10.6487, -11.56158, -63.26366, -19.1987, 267.8194, -58.64594, -24.21251, 140.4419, 4.617714, 5.013809, -127.3775, 3.44915
2, 3, 0.03959903, -0.1053985, -0.9936414, -0.01649269, -0.07524172, -0.9970289, 186.0549, 177.7178, 159.4084, 184.3157, 180.9477, 192.3635, -1.739182, -3.229858, 32.95506, -0.2068919, -0.8915741, 0.4028542, -0.1497396, -0.9124646, 0.3807708, 294.3156, 332.8166, 193.0644, 292.6508, 338.5326, 189.3194, -1.664886, -5.716003, -3.744965, 108.2608, -155.0987, 33.65599, 108.3351, -157.5849, -3.044037, 0.07429504, 2.486145, -36.70003, 2.934976
3, 4, -0.002540043, -0.01935973, -0.9998095, -0.03591503, -0.07745397, -0.9963489, 181.1093, 180.1456, 187.4747, 184.4451, 182.0644, 204.8769, 3.335815, -1.918884, 17.40227, 0.4764904, 0.5090898, 0.7167876, 0.4500699, 0.720796, 0.527153, 35.38382, 33.6143, 43.10556, 53.82019, 40.48986, 31.98093, 18.43637, -6.875561, -11.12462, -145.7255, 146.5313, -144.3691, -130.6249, 141.5746, -172.896, 15.10056, 4.95668, -28.5269, 3.331417
4, 0, 0.005372755, -0.1038766, -0.9945758, -0.02083513, -0.07166758, -0.9972109, 185.9625, 179.6905, 177.0392, 184.1107, 181.1969, 196.2101, -1.851868, -1.506439, 19.17099, -0.002268411, -0.4800681, -0.8772284, -0.1799355, -0.3619175, -0.9146796, 208.6899, 180.1481, 180.2707, 201.5876, 191.1291, 206.4353, -7.102371, -10.98096, 26.1646, 22.7274, -0.4576569, 3.231567, 17.4769, -9.932175, 10.22517, -5.250504, 9.474518, 6.993607, 4.129482
5, 2, 0.00758941, -0.05287676, -0.9985724, -0.004328975, -0.07407635, -0.9972432, 183.0311, 179.5645, 171.8321, 184.2482, 180.2487, 183.3445, 1.217087, -0.6841583, 11.51241, -0.9165641, 0.2878914, 0.2775407, -0.8179723, -0.05511419, 0.5726114, 46.04872, 286.8466, 287.4374, 354.5022, 304.9935, 266.1453, 308.4535, -18.14685, -21.29214, -136.9824, -107.2821, 115.6053, 170.254, -124.7448, 82.80078, 307.2364, 17.46269, -32.80455, 3.330705
6, 8, -0.002740103, -0.02933607, -0.9995661, -0.003036944, -0.07680638, -0.9970413, 181.6811, 180.1571, 185.3362, 184.405, 180.1745, 182.2643, 2.723969, -0.01745605, -3.071854, 0.1380462, 0.4180755, -0.8978621, 0.2148717, 0.04512144, -0.9755994, 155.0317, 171.2592, 18.27293, 177.352, 167.5792, 78.14064, 22.32027, 3.680054, 59.86771, -26.64938, 8.897842, -167.0632, -7.053085, 12.59535, -104.1237, 19.5963, -3.69751, 62.93956, 3.063296
7, 6, 0.004135467, -0.02932186, -0.9995617, 0.007553281, -0.07254692, -0.9973364, 181.6803, 179.763, 171.9721, 184.1604, 179.5661, 174.056, 2.480133, 0.1968689, 2.083878, 0.7045726, -0.5928396, -0.390024, 0.3559677, -0.9158146, -0.1859318, 236.6594, 118.9672, 130.0778, 258.5236, 117.5793, 158.7594, 21.86417, 1.387894, 28.68158, 54.97916, 60.79575, -41.8943, 74.36319, 61.98677, -15.2966, 19.38403, -1.191025, 26.5977, 2.902323
8, 7, 0.01284172, 0.1754366, -0.9844072, 0.002216519, -0.08708843, -0.9961981, 169.8951, 179.2526, 4.186506, 184.9961, 179.8725, 178.5421, 15.10104, -0.6198883, 174.3556, 0.5848994, 0.3884436, -0.7120425, 0.4017844, 0.5101827, -0.7604492, 151.386, 140.599, 56.41106, 146.1425, 152.1502, 38.22151, -5.24353, -11.55121, -18.18955, -18.50908, 38.65364, 52.22456, -38.85365, 27.72232, -140.3206, -20.34457, 10.93132, -192.5451, 2.83113
9, 8, 0.01216838, 0.08094824, -0.9966441, -0.002319565, -0.07677647, -0.9970456, 175.3566, 179.3005, 8.548863, 184.4033, 180.1333, 181.7305, 9.046722, -0.8327942, 173.1816, 0.1624409, 0.3944679, -0.904438, 0.2113773, 0.04812447, -0.9762191, 156.4357, 169.818, 22.38174, 177.1778, 167.7825, 77.17404, 20.74207, 2.035446, 54.7923, -18.92087, 9.482498, 13.83288, -7.225525, 12.35074, -104.5564, 11.69534, -2.86824, -118.3893, 2.94182
