SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01AJ, full, 65", female, 17, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.004780754, 0.03050757, -0.9995233, -0.02364815, -0.07122073, -0.9971802, 178.2518, 180.274, 351.0938, 184.0853, 181.3585, 198.3682, 5.833496, -1.084473, -152.7255, 0.9661402, 0.07129513, -0.2479726, 0.975792, -0.07113261, -0.2068093, 163.9594, 104.395, 85.77958, 198.9808, 101.9662, 94.16933, 35.02138, 2.428802, 8.389755, -14.29234, 75.87905, -265.3142, 14.89554, 79.39233, -104.1989, 29.18788, -3.513275, 161.1153, 3.864108
1, 1, 0.0007994718, -0.0588987, -0.9982637, -0.02295854, -0.06763443, -0.997446, 183.3766, 179.9541, 179.2223, 183.8792, 181.3186, 198.7498, 0.5025482, -1.364441, 19.52747, -0.3724715, 0.6958175, -0.6140874, -0.2687598, 0.7508544, -0.6033123, 131.4297, 211.2387, 331.8398, 128.7819, 204.0117, 340.3058, -2.647797, 7.226959, 8.465912, -51.94688, -31.28456, 152.6175, -55.09723, -22.69316, 141.556, -3.150345, -8.5914, -11.06155, 3.009615
2, 3, 0.04437714, -0.009217802, -0.9989725, -0.01624513, -0.07176272, -0.9972894, 180.5287, 177.4564, 101.7343, 184.1158, 180.9332, 192.7552, 3.587128, -3.476791, 91.02088, -0.2809948, -0.7267522, 0.6267961, -0.1235242, -0.9482687, 0.2924521, 310.7765, 335.8531, 201.1387, 287.1401, 337.1021, 187.4217, -23.63641, -1.248932, -13.717, 130.2479, -158.3967, 99.40438, 103.0243, -156.1689, -5.333496, -27.22354, -2.227859, -104.7379, 5.19615
3, 4, 0.005083522, 0.04761231, -0.9988531, -0.01913244, -0.07055745, -0.9973242, 177.271, 179.7084, 6.094329, 184.0467, 181.099, 195.1716, 6.775787, -1.39061, 189.0772, 0.5017185, 0.599596, 0.6235089, 0.4657976, 0.7979087, 0.3825892, 43.87996, 38.82257, 39.92128, 64.38275, 50.60157, 30.27523, 20.5028, -11.779, -9.646042, -133.391, 140.8858, 33.82695, -119.664, 130.4975, -164.8963, 13.72701, 10.38838, -198.7233, 3.918873
4, 0, 0.01517646, -0.0631371, -0.9978898, -0.01952139, -0.06779034, -0.9975086, 183.6203, 179.1287, 166.4841, 183.8878, 181.1211, 196.0647, 0.2675171, -1.992462, 29.58061, -0.2828177, -0.3115987, -0.9071497, -0.1650245, -0.344975, -0.9239909, 198.9572, 197.3157, 222.228, 200.4733, 190.1262, 205.5649, 1.516098, 7.189423, -16.66309, 15.33688, -18.18698, 55.74391, 16.58546, -9.005096, 9.500214, 1.248581, -9.181885, -46.2437, 4.387733
5, 2, 0.04330796, 0.01672323, -0.9989218, -0.008545332, -0.07068601, -0.997462, 179.0409, 177.5175, 68.88609, 184.0535, 180.4908, 186.8931, 5.01265, -2.973328, 118.007, -0.8326719, 0.06217902, 0.5502647, -0.9768609, -0.0520192, 0.2074528, 6.446984, 303.4584, 274.2706, 345.9232, 281.9896, 266.9518, 339.4762, 21.46881, -7.318787, -172.5939, -125.9409, 205.3845, 161.8697, -101.4987, 80.05867, 334.4636, -24.44214, -125.3258, 4.474783
6, 8, 0.02810187, -0.107586, -0.9937987, -0.02278056, -0.06503229, -0.9976231, 186.1786, 178.3803, 165.3612, 183.7297, 181.3081, 199.3052, -2.448944, -2.927841, 33.94395, 0.2284668, 0.3227575, -0.9184937, 0.181846, 0.04144763, -0.9824531, 160.6386, 166.0317, 35.29311, 177.5842, 169.5136, 77.16009, 16.94565, -3.481918, 41.86697, -25.54002, 12.34859, -130.0681, -6.145432, 11.79451, -122.1451, 19.39459, 0.5540771, 7.923012, 3.154137
7, 6, 0.03072341, -0.07047167, -0.9970406, -0.02664066, -0.06535619, -0.9975063, 184.043, 178.235, 156.4443, 183.7486, 181.5298, 202.1769, -0.2943573, -3.29483, 45.7326, 0.580399, -0.6702118, -0.4625508, 0.3000225, -0.9056812, -0.2995463, 235.3883, 128.5532, 139.1077, 251.6988, 134.9545, 161.6717, 16.31053, -6.401291, 22.56401, 51.34529, 49.68181, -17.33667, 67.95018, 46.57535, -40.50526, 16.60489, 3.106461, -23.16859, 3.488431
8, 7, 0.03054622, 0.06858905, -0.9971775, -0.01831458, -0.07005762, -0.9973748, 176.0652, 178.2454, 24.00586, 184.018, 181.052, 194.6505, 7.952759, -2.806564, 170.6446, 0.5297778, 0.5346044, -0.6584328, 0.3671822, 0.471542, -0.801764, 140.9257, 141.1797, 44.74018, 149.5389, 155.3937, 37.90732, 8.613251, -14.21404, -6.832863, -35.13956, 37.06572, 20.73433, -34.47906, 25.65825, -156.7432, 0.6604919, 11.40747, -177.4775, 3.032503
9, 8, 0.004228862, 0.01976541, -0.9997957, -0.02122444, -0.06798843, -0.9974603, 178.8674, 179.7577, 12.07651, 183.8993, 181.219, 197.3372, 5.031906, -1.461319, 185.2607, 0.1850353, 0.3997307, -0.8977626, 0.1808712, 0.04118619, -0.982644, 155.9989, 168.354, 24.83941, 177.5999, 169.5705, 77.17191, 21.60104, -1.216522, 52.3325, -22.86855, 11.40364, 12.7629, -6.299408, 11.64844, -120.1653, 16.56914, -0.2447968, -132.9282, 2.987286
10, 4, 0.01326355, -0.02093301, -0.999693, -0.02831157, -0.0657108, -0.997437, 181.1996, 179.2399, 147.6409, 183.7692, 181.6259, 203.3089, 2.569611, -2.386002, 55.66797, 0.5283344, 0.6492432, 0.5471254, 0.4505167, 0.8394184, 0.3039926, 49.87874, 43.999, 39.13765, 70.09231, 55.98992, 28.2225, 20.21357, -11.99092, -10.91515, -131.3208, 135.2409, -108.5032, -113.6769, 125.6359, -175.0863, 17.64396, 9.604927, -66.58311, 3.532637
11, 7, 0.0569979, 0.02330444, -0.9981024, -0.01551065, -0.06739968, -0.9976055, 178.6625, 176.7316, 67.76207, 183.8651, 180.8908, 192.9598, 5.202652, -4.159164, 125.1977, 0.4618899, 0.5093901, -0.7260714, 0.3689673, 0.4651061, -0.8046983, 144.9476, 147.5376, 42.2002, 149.9726, 155.3678, 38.42487, 5.024948, -7.830231, -3.775333, -33.71481, 29.19405, -25.56187, -33.89252, 25.52298, -154.5349, -0.1777039, 3.671066, -128.9731, 3.801347
12, 1, 0.02840883, 0.04338911, -0.9986544, -0.004014936, -0.06895463, -0.9976117, 177.5122, 178.3705, 33.2146, 183.954, 180.2306, 183.3323, 6.441772, -1.860031, 150.1177, -0.3179642, 0.728139, -0.6072171, -0.2691194, 0.7160571, -0.6440784, 129.8257, 207.6384, 336.41, 131.9707, 202.6769, 339.402, 2.144974, 4.961502, 2.991974, -47.68646, -29.2679, 303.1954, -51.98326, -22.44637, 156.0697, -4.296799, -6.821533, -147.1258, 2.945113
13, 3, 0.03652405, 0.0411402, -0.9984859, -0.01703461, -0.06711661, -0.9975997, 177.6406, 177.9051, 41.5985, 183.849, 180.9783, 194.2413, 6.208359, -3.073181, 152.6428, -0.2314209, -0.6519431, 0.7220905, -0.02726223, -0.9854192, 0.1679458, 317.9225, 342.23, 199.5434, 279.672, 350.7798, 181.5847, -38.25052, -8.549744, -17.95868, 140.282, -164.3249, 157.9449, 95.82307, -169.8015, -12.65659, -44.45888, 5.476563, -170.6015, 3.332043
14, 6, 0.03066677, -0.06650546, -0.9973147, -0.02184019, -0.0655434, -0.9976107, 183.8151, 178.2388, 155.2448, 183.7589, 181.2542, 198.429, -0.05615234, -3.015396, 43.18417, 0.6323581, -0.677435, -0.3757729, 0.2926446, -0.9058943, -0.3061284, 240.9829, 120.7205, 136.9711, 251.3284, 136.29, 162.0972, 10.34549, -15.56953, 25.12614, 57.16779, 57.51825, -18.27373, 67.56943, 44.96411, -36.33176, 10.40164, 12.55414, -18.05803, 2.520566
15, 5, -0.02013346, 0.04110603, -0.998952, -0.02156474, -0.0680488, -0.9974489, 177.6437, 181.1546, 333.9047, 183.9028, 181.2385, 197.5835, 6.259171, -0.0839386, -136.3212, 0.9919282, 0.1034488, -0.07332857, 0.9505677, -0.07121801, -0.3022401, 125.3305, 94.22792, 84.04611, 193.259, 107.6385, 94.28468, 67.92844, -13.41054, 10.23857, -52.31315, 86.92668, -249.8586, 9.356125, 73.60008, -103.2988, 61.66927, 13.3266, 146.5598, 2.821605
16, 0, -0.00731452, -0.0459859, -0.9989154, -0.02468642, -0.0654421, -0.997551, 182.6358, 180.4195, 189.0378, 183.7534, 181.4176, 200.6678, 1.117599, -0.9980927, 11.63, -0.3410343, -0.2711946, -0.900083, -0.1714797, -0.3408441, -0.9243484, 196.7675, 200.7513, 231.5079, 200.241, 190.5097, 206.7071, 3.473419, 10.24159, -24.80075, 14.13174, -20.33177, 42.47011, 16.48756, -9.092087, 6.039352, 2.35582, -11.23969, -36.43076, 3.812796
17, 2, 0.04010934, 0.02258992, -0.9989401, -0.02339226, -0.06830975, -0.9973899, 178.7045, 177.7007, 60.61142, 183.918, 181.3435, 198.9035, 5.21344, -3.642838, 138.292, -0.9254701, 0.006027901, 0.3787729, -0.9948964, -0.03914041, 0.09300151, 0.9117446, 292.2581, 270.3732, 337.1758, 275.3404, 267.7471, 336.2641, 16.91772, -2.626099, -177.7928, -114.5574, 209.7617, 153.2579, -93.99686, 68.84361, 331.0507, -20.56056, -140.9181, 3.586417
18, 3, 0.0533753, -0.0353225, -0.9979499, -0.01151192, -0.06993114, -0.9974854, 182.0271, 176.9385, 123.4956, 184.0103, 180.6612, 189.3481, 1.983154, -3.722748, 65.85244, -0.2135049, -0.6761053, 0.7051932, -0.09438582, -0.9766507, 0.1929887, 316.2064, 343.1557, 197.5254, 281.1778, 333.9379, 185.5201, -35.02856, 9.217804, -12.00536, 134.1792, -166.2173, 74.02976, 97.1675, -153.2767, -3.828033, -37.01172, -12.94055, -77.8578, 3.752685
19, 0, 0.03669569, 0.004460247, -0.9993166, -0.01424338, -0.06961519, -0.9974722, 179.7443, 177.897, 83.06987, 183.9923, 180.8181, 191.5632, 4.248016, -2.921097, 108.4933, -0.324976, -0.2509918, -0.9118079, -0.1627214, -0.3447872, -0.9244694, 195.3905, 199.6165, 232.3197, 200.4533, 189.9827, 205.2648, 5.062805, 9.633759, -27.05482, 15.64626, -21.71948, 149.2498, 16.46104, -9.164627, 13.70163, 0.8147888, -12.55486, -135.5482, 2.819066
20, 8, 0.05199362, 0.03345251, -0.998087, -0.01062215, -0.07030334, -0.9974691, 178.0804, 177.018, 57.24292, 184.0316, 180.6101, 188.5919, 5.951279, -3.592148, 131.3489, 0.2517348, 0.3518539, -0.9015701, 0.188903, 0.0413525, -0.9811246, 158.6809, 164.3993, 35.58192, 177.5865, 169.1018, 77.65224, 18.90562, -4.702499, 42.07031, -19.39946, 12.61868, -21.661, -6.445114, 11.50833, -110.9396, 12.95435, 1.110352, -89.27863, 3.075914
