SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01RMB, full, 52", female, 8, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.1155654, -0.1322474, -0.984457, 0.02103056, -0.04208656, -0.9988926, 187.651, 173.3047, 138.8512, 182.4126, 178.7939, 153.4488, -5.238419, -5.489197, 14.59764, 0.9574136, -0.1784233, 0.2269899, 0.9961952, -0.03622475, -0.0792643, 321.8312, 76.66221, 100.5565, 204.561, 94.54927, 92.08253, -117.2702, -17.88706, -8.473991, 134.1802, 96.64248, -38.29462, 22.14835, 84.24461, -61.36626, -112.0318, 12.39787, -23.07163, 6.230993
1, 1, 0.02220206, -0.1094006, -0.9937499, 0.02206192, -0.05822365, -0.9980598, 186.2823, 178.7201, 168.528, 183.3387, 178.7337, 159.2475, -2.943649, -0.01356506, -9.280563, -0.4631664, 0.6781021, -0.5706616, -0.2609032, 0.7847019, -0.5622921, 130.0825, 219.0638, 325.6656, 125.6242, 204.8913, 341.6087, -4.458359, 14.17258, 15.94308, -56.1998, -40.34372, 157.1376, -57.71451, -26.15758, 182.3612, -1.514709, -14.18614, 25.22365, 3.020355
2, 3, -0.0008135042, -0.04010634, -0.9991952, 0.02362056, -0.05224441, -0.998355, 182.2985, 180.0466, 181.162, 182.9956, 178.6447, 155.6715, 0.6970367, 1.401978, -25.49052, -0.5341288, -0.7747115, 0.3384206, -0.03831665, -0.8874071, 0.4593914, 293.5974, 302.3581, 214.5845, 297.3696, 355.2321, 182.4724, 3.772278, -52.87405, -32.11214, 111.2988, -122.3114, 33.4225, 114.3741, -176.5875, 26.80089, 3.075241, 54.27603, -6.621613, 3.198735
3, 4, 0.05573253, 0.007224619, -0.9984197, 0.03690556, -0.06195443, -0.9973964, 179.5854, 176.805, 82.61392, 183.5544, 177.8809, 149.2182, 3.969009, -1.075897, 66.60429, 0.8428094, 0.2210953, 0.4907027, 0.4883495, 0.7171327, 0.4972276, 24.25484, 59.79107, 75.30074, 55.2643, 44.48389, 34.25389, 31.00946, 15.30717, -41.04686, -155.3306, 117.014, -7.313179, -128.2901, 133.397, -114.9643, 27.04045, -16.38307, -107.6511, 4.197509
4, 0, 0.03571079, -0.1319221, -0.9906166, 0.03785586, -0.05711087, -0.9976499, 187.5855, 177.9354, 164.8533, 183.2763, 177.827, 146.4616, -4.309204, 0.1084747, -18.39162, -0.436026, -0.5472273, -0.7144395, -0.155596, -0.3445563, -0.9257812, 217.4504, 211.3959, 218.5475, 200.4142, 189.5405, 204.3032, -17.03621, 21.85539, -14.24437, 29.86488, -33.46051, 53.69427, 17.13788, -11.71359, 57.84152, -12.72701, -21.74692, 4.147247, 5.884641
5, 2, 0.1268916, -0.540465, -0.8317428, 0.06089224, -0.0261097, -0.9978028, 213.0157, 171.3258, 166.7873, 181.4989, 176.5078, 113.209, -31.5168, -5.182007, -53.57831, -0.8262874, -0.4229337, 0.3719893, -0.8221666, 0.02615716, 0.5686458, 311.3331, 294.237, 242.8945, 2.633695, 304.6694, 271.8222, -308.6994, -10.43243, 28.92778, 98.31737, -122.9112, 76.10719, -178.8652, -128.1616, 158.6133, -277.1826, 5.250427, 82.50609, 3.065915
6, 8, -0.09282388, -0.1475514, -0.9846891, 0.0301266, -0.04758832, -0.9984126, 188.5221, 185.3852, 212.1738, 182.7289, 178.2717, 147.6635, -5.793243, 7.113556, -64.51035, 0.2903899, 0.1943107, -0.9369723, 0.2242651, 0.05715428, -0.9728507, 168.284, 162.7805, 56.21205, 176.6378, 167.0187, 75.70245, 8.353775, -4.23819, 19.4904, -20.23811, 22.60466, -155.9617, -6.091095, 11.25291, -71.96101, 14.14702, 11.35175, 84.00074, 2.998456
7, 6, -0.03213569, -0.0433329, -0.9985439, 0.04072961, -0.04916838, -0.9979597, 182.4849, 181.8433, 216.5606, 182.8206, 177.6629, 140.3627, 0.3357544, 4.180389, -76.19797, 0.3923885, -0.7419904, -0.5435822, 0.3432676, -0.9046018, -0.2527113, 233.7735, 144.1761, 152.1287, 254.3917, 126.3603, 159.2198, 20.61816, 17.81586, 7.091171, 51.28864, 37.66716, -64.43198, 71.57104, 51.30264, 18.85716, 20.28241, -13.63548, 83.28914, 2.699141
8, 7, 0.162705, -0.1368341, -0.9771404, 0.03178088, -0.0464385, -0.9984155, 187.9716, 170.5463, 130.0637, 182.663, 178.1768, 145.6136, -5.308563, -7.630463, 15.54997, 0.4171728, 0.3058046, -0.8558332, 0.4185731, 0.5080786, -0.7527634, 160.3373, 154.0133, 53.75706, 145.9826, 150.9238, 39.48291, -14.35469, 3.089447, -14.27416, -27.63432, 16.53308, -76.30659, -36.68045, 27.25299, -106.1307, -9.046127, -10.71991, -29.82413, 3.208636
9, 8, -0.08612847, -0.1461305, -0.985509, 0.0521578, -0.04931679, -0.9974204, 188.4343, 184.9947, 210.5148, 182.8306, 177.0066, 133.3963, -5.603683, 7.988083, -77.11856, 0.183185, 0.3157113, -0.9310048, 0.2309459, 0.05639509, -0.9713309, 161.2678, 168.8686, 30.12357, 176.6772, 166.6255, 76.2774, 15.40936, 2.243088, 46.15382, -27.16653, 16.12602, -180.3913, -6.153488, 10.38103, -57.11889, 21.01305, 5.744995, 123.2724, 3.431545
