SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
05PK, full, 64", female, 24, 1, [5,1,3,4,0,2,8,6,7,8,4,7,1,3,6,5,0,2,3,0,8,7,2,5,4,6,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, -0.1139739, 0.008197542, -0.9934499, 0.003165462, 0.01823736, -0.9998287, 179.5272, 186.5447, 274.1139, 178.955, 179.8186, 9.846742, -0.5722198, 6.726059, -264.2672, 0.8871707, -0.01935699, -0.4610355, 0.9881997, 0.05135153, -0.1443066, 182.4042, 117.4595, 91.24993, 160.4119, 98.30817, 87.02532, -21.99232, 19.15134, -4.224609, 2.876968, 69.08514, -182.864, -18.54314, 81.51043, 77.17858, -21.4201, -12.42529, 260.0425, 6.693522
1, 1, -0.01977026, -0.07313, -0.9971265, -0.006756852, 0.02097531, -0.9997572, 184.1946, 181.1359, 195.1279, 178.7981, 180.3872, 342.1445, -5.39653, 0.748642, 147.0166, -0.3809431, 0.661624, -0.6458608, -0.2640908, 0.784907, -0.560515, 134.3093, 210.5331, 330.068, 125.5313, 205.2278, 341.4039, -8.778008, 5.305237, 11.33594, -49.88535, -29.39719, 134.94, -53.26682, -24.84059, -0.7406006, -3.381477, -4.556595, -135.6806, 3.566054
2, 3, 0.1355285, 0.04493478, -0.9897541, -0.008121014, 0.01549984, -0.9998469, 177.4006, 172.2029, 71.65694, 179.1119, 180.4654, 332.3481, 1.711304, -8.262466, 260.6911, -0.786719, -0.5374336, 0.3037079, -0.03219817, -0.8955153, 0.4438646, 299.4711, 291.1088, 235.6617, 296.3654, 355.851, 182.0592, -3.105682, -64.74225, -53.60257, 122.0706, -118.9059, 164.0048, 117.2536, -175.3857, -150.2889, -4.816986, 56.47978, -314.2937, 3.90822
3, 4, -0.01259851, -0.1561357, -0.9876552, -0.005813445, 0.02184779, -0.9997444, 188.9834, 180.7308, 184.6132, 178.7481, 180.3332, 345.0995, -10.23529, 0.397644, 160.4863, 0.8652014, 0.2576664, 0.4301563, 0.4070867, 0.799623, 0.441456, 30.92188, 63.5646, 73.4159, 61.09778, 42.68056, 26.98057, 30.1759, 20.88403, -46.43533, -158.0615, 117.1662, -111.1973, -117.6503, 137.6526, -318.119, 40.41119, -20.4864, -206.9217, 3.575959
4, 0, -0.07197617, 0.01698432, -0.997262, 0.002305782, 0.01695678, -0.9998536, 179.0243, 184.1281, 283.2773, 179.0284, 179.8679, 7.743584, 0.004089355, 4.260223, -275.5337, -0.575052, -0.1879936, -0.7962248, -0.1547069, -0.3244143, -0.9331779, 193.2846, 215.8377, 251.8966, 199.1697, 189.4132, 205.4956, 5.885132, 26.42453, -46.40103, 14.2603, -31.70959, -31.38068, 20.14134, -9.545288, 197.752, 5.881042, -22.16431, 229.1327, 3.61963
5, 2, 0.05739465, -0.04807109, -0.9971935, -0.009453686, 0.01825553, -0.9997886, 182.7599, 176.7059, 129.948, 178.9539, 180.5417, 332.6225, -3.805954, -3.835831, 202.6745, -0.7698135, -0.01067075, 0.6381797, -0.8822592, 0.1242165, 0.4540803, 359.0421, 309.6589, 269.2058, 15.29932, 297.2339, 278.0142, -343.7428, 12.42499, 8.80838, 176.2822, -132.953, 139.2579, -163.6546, -116.6922, -54.60825, -339.9368, -16.26082, -193.8661, 3.931082
6, 8, -0.04566095, -0.0442903, -0.9979748, 0.001365343, 0.01722176, -0.9998508, 182.5411, 182.6197, 225.873, 179.0132, 179.9218, 4.532935, -3.527893, 2.697906, -221.3401, 0.373771, 0.1389319, -0.917057, 0.1766514, 0.08736879, -0.9803882, 171.3853, 157.8253, 69.60973, 174.9075, 169.7858, 63.68378, 3.522125, -11.9604, -5.925949, -11.15579, 24.79431, -156.2632, -4.105774, 10.136, 59.15085, 7.050018, 14.65831, 215.4141, 2.688447
7, 6, -0.06466982, 0.01055155, -0.997851, -0.0005071333, 0.01624538, -0.9998679, 179.3942, 183.7081, 279.2668, 179.0692, 180.0291, 358.212, -0.3249969, 3.679031, 78.94522, 0.4254389, -0.3986712, -0.8124427, 0.3190094, -0.908168, -0.2710423, 206.1375, 152.361, 133.1396, 253.3823, 130.3525, 160.6453, 47.2448, 22.00856, 27.50566, 26.74333, 31.34708, -146.1271, 74.31313, 49.67661, -197.5667, 47.56979, -18.32953, -51.43956, 4.741247
8, 7, -0.01613534, -0.07394277, -0.9971321, 0.01505259, 0.0216256, -0.9996528, 184.241, 180.9271, 192.3098, 178.7607, 179.1373, 34.84001, -5.480316, 1.789749, -157.4698, 0.5812607, 0.1398533, -0.8016091, 0.3835472, 0.5256071, -0.7593607, 170.1035, 144.0535, 76.47158, 145.3102, 153.202, 36.11906, -24.79329, -9.148544, -40.35252, -14.13757, 36.87358, -115.8382, -33.45055, 25.93529, 1.279049, -19.31297, 10.93829, 117.1172, 4.396663
9, 8, -0.03518088, 0.103104, -0.9940482, 0.00449679, 0.01214394, -0.9999161, 174.0784, 182.0269, 341.1595, 179.3042, 179.7423, 20.31914, 5.2258, 2.284607, -320.8403, 0.5646607, 0.07349624, -0.8220443, 0.1839504, 0.08968708, -0.9788353, 174.891, 145.5149, 82.58407, 174.7648, 169.3567, 64.00793, -0.1261444, -23.84177, -18.57614, 0.8125763, 36.51202, -258.5754, -4.539368, 10.38565, 43.68879, -5.351944, 26.12637, 302.2642, 2.987835
