SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
01lb, full, 65", female, 27, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.05038463, 0.1865236, -0.9811578, -0.0050592, -0.1612095, -0.9869072, 169.2362, 177.0603, 15.11624, 189.2772, 180.2937, 181.7975, 20.04102, -3.233398, 166.6813, -0.4934799, 0.1433834, 0.8578571, -0.9073134, -0.1991624, 0.3702926, 9.488781, 330.0905, 286.2015, 331.7263, 292.2014, 257.6195, 322.2376, 37.8891, -28.58206, -159.7474, -153.0301, 271.0853, 142.4491, -111.9076, 75.82198, 302.1965, -41.1225, -195.2633, 6.840745
1, 0, 0.03263011, 0.1490488, -0.9882915, 0.001238213, -0.1559971, -0.9877567, 171.4236, 178.109, 12.34851, 188.9746, 179.9282, 179.5452, 17.55103, -1.819199, 167.1967, -0.18539, -0.272033, -0.944261, -0.1625136, -0.3741988, -0.9129975, 196.0712, 191.1078, 214.2744, 202.2866, 190.0929, 203.4752, 6.215408, 1.014847, -10.79919, 24.64761, -12.99881, 201.9259, 13.312, -10.16476, 23.92995, -11.33562, -2.834045, -177.9959, 5.954712
2, 3, 0.02995021, 0.1155077, -0.9928551, 0.00237239, -0.1565147, -0.9876728, 173.3641, 178.2722, 14.53621, 189.0047, 179.8624, 179.1316, 15.64059, -1.590225, 164.5954, 0.3989291, -0.6457639, 0.6510335, -0.1541385, -0.9422156, 0.297441, 315.2328, 31.49842, 148.2938, 287.52, 332.6061, 189.2908, -27.71283, -301.1077, 40.99706, 141.8687, 146.7737, 133.7576, 98.5153, -152.7437, 10.15921, -43.35342, 299.5175, -123.5983, 5.318276
3, 4, -0.01980319, 0.1881243, -0.9819458, 0.0005838359, -0.1567429, -0.9876392, 169.1545, 181.1553, 353.9908, 189.0179, 179.9661, 179.7866, 19.86339, 1.189224, -174.2042, 0.6209912, 0.4610857, 0.6338532, 0.5323583, 0.7174388, 0.4493064, 36.03338, 44.41275, 53.40613, 57.94254, 49.83589, 36.57639, 21.90916, -5.423138, -16.82975, -133.1211, 136.7426, -300.5847, -131.0753, 130.1302, -143.2102, 2.045776, 6.612366, 157.3745, 4.308137
4, 1, 0.0471008, 0.1484093, -0.9878039, -0.0004810773, -0.1554157, -0.9878491, 171.4557, 177.2701, 17.60792, 188.9409, 180.0279, 180.1774, 17.48521, -2.757828, 162.5694, -0.1302872, 0.6296495, -0.7658764, -0.2777536, 0.716723, -0.639657, 140.5754, 189.6545, 348.3093, 131.7481, 203.4716, 338.817, -8.827286, -13.81712, -9.49231, -30.88031, -12.38438, 330.7014, -57.19281, -23.44368, 158.6397, -26.3125, 11.0593, -172.0618, 4.032734
5, 5, 0.03363382, 0.002820236, -0.9994304, -0.008524989, -0.1507657, -0.9885327, 179.8383, 178.0726, 85.20689, 188.6716, 180.4941, 183.2363, 8.833298, -2.421539, 98.02942, 0.9966777, 0.06328203, 0.05127356, 0.9636946, -0.1844733, -0.1930345, 50.98426, 87.05505, 86.367, 223.7009, 101.3268, 100.8366, 172.7166, -14.27178, 14.46964, -128.854, 91.01751, 1.160103, 35.02924, 79.16727, -82.39967, 163.8833, 11.85024, -83.55978, 4.399057
6, 7, 0.0234259, 0.1218039, -0.9922777, 0.001518203, -0.166174, -0.9860952, 173.0018, 178.6476, 10.88647, 189.5655, 179.9118, 179.4766, 16.56361, -1.264191, 168.5901, 0.4729306, 0.5016863, -0.7243257, 0.3997361, 0.4511188, -0.7979367, 145.2926, 146.8585, 43.31, 150.5181, 153.3909, 41.54414, 5.22551, -6.532379, -1.765862, -27.70929, 31.78912, 32.42353, -39.04739, 26.52094, -137.9324, -11.3381, 5.268188, -170.356, 2.651508
7, 8, 0.01026606, 0.05742728, -0.9982971, 0.00302802, -0.1612671, -0.9869062, 176.7077, 179.4108, 10.13549, 189.2805, 179.8242, 178.9243, 12.57283, -0.4133911, 168.7888, 0.225838, 0.3746018, -0.8992613, 0.2060047, 0.001218571, -0.9785503, 157.385, 165.9025, 31.08471, 179.9287, 168.1117, 89.66108, 22.54362, -2.209229, 58.57637, -19.32263, 13.50838, 20.94922, -9.351837, 11.71254, -89.26324, 9.970795, 1.795837, -110.2125, 3.16499
8, 6, 0.03640442, 0.09617507, -0.9946985, 0.002976094, -0.160197, -0.9870806, 174.4774, 177.904, 20.73277, 189.2184, 179.8273, 178.9357, 14.741, -1.923248, 158.2029, 0.3764661, -0.6472692, -0.6628094, 0.3129351, -0.9171203, -0.2469052, 224.3204, 150.4041, 149.8168, 254.9322, 128.2734, 161.1596, 30.61182, 22.13068, 11.34283, 49.843, 27.49995, 129.084, 65.71382, 51.55388, -17.77609, 15.87082, -24.05392, -146.8601, 2.832713
9, 1, 0.01851667, 0.1654879, -0.9860382, 0.001710739, -0.1632657, -0.9865806, 170.4728, 178.9242, 6.384346, 189.3965, 179.9007, 179.3997, 18.92374, -0.9764709, 173.0153, -0.1577938, 0.5885446, -0.7929167, -0.2784701, 0.7361701, -0.6168532, 143.4153, 191.2551, 344.9915, 129.9604, 204.2962, 339.2799, -13.45486, -13.04109, -5.711548, -27.05753, -12.33089, 338.6071, -59.43613, -24.39551, 159.8803, -32.3786, 12.06462, -178.7269, 3.218224
