SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
02DD, full, 63", female, 17, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, -0.01420974, -0.03281385, -0.9993606, -0.0487061, -0.07789665, -0.995771, 181.8806, 180.8146, 203.4146, 184.473, 182.8003, 212.0163, 2.592377, -1.985657, 8.601746, -0.7668456, 0.07076071, 0.6379191, -0.7716786, -0.0434401, 0.6345274, 6.329617, 309.7562, 275.272, 356.0836, 309.4294, 266.778, 349.754, 0.3268127, -8.493988, -175.551, -128.9416, 71.85745, 171.6106, -126.6291, 54.76172, 347.1616, -2.312469, -17.09573, 3.997991
1, 0, 0.02263106, -0.05370523, -0.9983003, 0.005103405, -0.08260477, -0.9965693, 183.0794, 178.7014, 157.1497, 184.7384, 179.7066, 176.4647, 1.659012, -1.005234, 19.31497, -0.177253, -0.3516908, -0.9191819, -0.1529297, -0.374074, -0.9147027, 200.9375, 190.9148, 206.7482, 202.2424, 189.4915, 202.2358, 1.304962, 1.423279, -4.512375, 17.85812, -12.21346, 49.59846, 17.50407, -9.784943, 25.77112, -0.3540497, -2.428513, -23.82735, 7.849182
2, 3, 0.0453129, -0.06607646, -0.9967853, 0.0116002, -0.08423449, -0.9963784, 183.7926, 177.3972, 145.5591, 184.8323, 179.333, 172.1589, 1.039749, -1.935791, 26.59988, -0.2137633, -0.9407444, 0.2632589, -0.0324924, -0.8590168, 0.5109153, 285.6338, 320.9238, 192.8018, 300.7428, 356.3611, 182.1662, 15.10901, -35.43729, -10.63564, 101.8412, -143.5266, 47.24277, 115.9105, -177.0281, 10.00725, 14.06926, 33.5015, -37.23552, 4.064857
3, 4, -0.04154251, -0.01558131, -0.9990153, 0.007047217, -0.08036911, -0.9967402, 180.8935, 182.3812, 249.4405, 184.6099, 179.5949, 174.9888, 3.716354, 2.786285, -74.45169, 0.4359674, 0.5613111, 0.7034646, 0.4617678, 0.6940284, 0.552354, 38.5872, 31.78828, 37.8363, 51.48489, 39.89561, 33.63758, 12.89769, -8.107334, -4.198719, -142.3063, 150.5929, -211.6042, -133.125, 139.6993, -141.3512, 9.181335, 10.89362, 70.25296, 4.296191
4, 1, -0.05639766, -0.1061068, -0.9927542, -0.05200991, -0.07267716, -0.9959985, 186.1007, 183.2514, 207.9914, 184.1734, 182.9892, 215.5886, -1.927246, 0.2622375, 7.597183, -0.3501991, 0.6117915, -0.7092757, -0.3043831, 0.775638, -0.5529345, 139.2203, 206.2775, 330.2125, 125.4842, 208.8322, 338.5735, -13.73612, -2.554718, 8.360992, -46.88036, -23.02605, 122.2211, -58.68923, -25.843, 122.9849, -11.80888, 2.816956, 0.7638092, 3.308917
5, 5, -0.009139962, -0.04836959, -0.9987878, -0.04165792, -0.08019923, -0.995908, 182.7726, 180.5243, 190.7005, 184.604, 182.3952, 207.4487, 1.831451, -1.870926, 16.74823, -0.6977571, -0.06236672, 0.7136145, 0.9985049, -0.05466224, -0.000415905, 355.0053, 315.6437, 264.8924, 269.5641, 90.02386, 93.13348, -85.44125, 225.6198, -171.7589, 172.2327, -135.1194, 74.19186, 84.96004, 92.37137, -114.3153, -87.27271, -227.4908, -188.5071, 4.560185
6, 7, -0.0486146, -0.1257185, -0.9908741, -0.04472956, -0.06821916, -0.9966671, 187.2308, 182.8088, 201.1412, 183.9156, 182.5697, 213.2518, -3.315201, 0.239151, 12.11066, -0.1151775, -0.5494815, -0.8275291, 0.395984, 0.5218347, -0.7555695, 213.5843, 187.9237, 191.8384, 145.3691, 152.3416, 37.19233, -68.21518, 35.58209, -154.6461, 26.35342, -5.114853, -9.30275, -38.54655, 30.22809, -176.0595, -64.89998, -35.34294, -166.7568, 6.518314
7, 8, -0.001362831, -0.05221321, -0.9986351, -0.04945429, -0.07103351, -0.9962472, 182.993, 180.0782, 181.4951, 184.0784, 182.8419, 214.8461, 1.085403, -2.763672, 33.35091, 0.1169094, 0.274703, -0.9543955, 0.1967939, 0.04447374, -0.9794357, 163.9426, 173.0163, 23.05386, 177.4001, 168.6391, 77.26556, 13.45749, 4.377213, 54.21169, -19.05032, 7.06189, -158.4413, -6.678238, 14.20277, -137.5805, 12.37209, -7.140884, 20.86078, 4.952641
8, 6, -0.1107988, -0.1384155, -0.9841569, -0.02591753, -0.07149004, -0.9971045, 188.0058, 186.4234, 218.6766, 184.101, 181.4889, 199.9273, -3.904831, 4.934509, -18.74928, 0.3358351, -0.8382285, -0.4296371, 0.3187061, -0.9195358, -0.229957, 242.8624, 141.9863, 158.1666, 255.9595, 125.8117, 160.884, 13.09705, 16.17458, 2.717392, 54.85664, 44.43718, -60.50999, 71.85852, 55.67725, -39.04332, 17.00188, -11.24007, 21.46667, 6.374428
9, 1, -0.04428557, -0.06939892, -0.9966055, -0.03382988, -0.07445292, -0.9966506, 183.9834, 182.5443, 212.5432, 184.2722, 181.9441, 204.4361, 0.2888641, 0.6002655, -8.107101, -0.3916088, 0.5095523, -0.7661587, -0.2922482, 0.7791755, -0.5545056, 146.3732, 207.0731, 322.4565, 125.4378, 207.7911, 339.4402, -20.93533, -0.7180786, 16.9838, -37.61021, -24.52872, 109.9133, -58.83441, -25.84706, 135.0042, -21.2242, 1.318344, 25.0909, 3.06442
