SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
03LK, full, 63", female, 14, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, -0.0002406956, 0.09617493, -0.9953647, -0.03495918, -0.1095439, -0.993367, 174.481, 180.0139, 359.8566, 186.2929, 182.0155, 197.6996, 11.81183, -2.001694, -162.157, -0.9707116, 0.07845689, 0.2270759, -0.7327279, -0.05214267, 0.6785212, 19.06052, 283.1663, 274.6208, 355.6056, 312.8003, 265.9296, 336.5451, -29.63403, -8.691284, -155.4205, -103.1524, -85.23575, 169.3127, -130.7848, 68.22992, 324.7332, 27.63234, 153.4657, 4.941362
1, 0, 0.046542, 0.2265135, -0.9728954, -0.00329346, -0.1197279, -0.9928013, 166.8936, 177.2611, 11.61103, 186.8764, 180.1901, 181.5757, 19.98279, -2.928925, 169.9647, -0.3477635, 0.05033553, -0.9362302, -0.1854388, -0.3928441, -0.9007142, 176.9225, 200.3775, 278.2358, 203.5643, 191.6335, 205.2693, 26.64178, 8.744064, -72.96657, 10.02887, -23.11641, 266.6248, 16.68787, -11.44342, 23.69359, 6.658997, -11.67299, -242.9312, 4.652119
2, 3, -0.00374024, 0.08658779, -0.9962372, -0.01594933, -0.1114802, -0.9936386, 175.0326, 180.2151, 357.5266, 186.4015, 180.9196, 188.142, 11.36884, -0.7044983, -169.3846, -0.7195886, -0.5922116, 0.3625985, -0.05685655, -0.8353822, 0.546721, 301.4782, 296.7434, 230.5461, 303.203, 354.0628, 183.8936, 1.724731, -57.31943, -46.65251, 126.4456, -116.5283, -126.9805, 116.8015, -173.1432, -4.248398, -9.644104, 56.61493, 122.7321, 3.996639
3, 4, -0.01340033, 0.08232438, -0.9965156, 0.004064254, -0.1155564, -0.9932926, 175.2774, 180.7704, 350.7548, 186.6358, 179.7656, 177.9857, 11.35838, 1.004868, -172.7691, 0.837211, 0.5376257, 0.100182, 0.4277028, 0.6512292, 0.6268739, 79.44449, 83.17635, 57.29294, 46.09169, 34.30489, 33.2954, -33.3528, 48.87145, -23.99754, -95.8329, 97.59409, -293.4618, -140.5441, 145.4607, -144.6903, -44.71118, -47.86658, 148.7715, 3.920209
4, 1, -0.04993781, 0.1135321, -0.9922786, 0.0001888595, -0.1157107, -0.9932829, 173.4729, 182.8811, 336.2574, 186.6446, 179.9891, 179.9065, 13.17177, 2.891953, -156.3509, -0.1948149, 0.6289275, -0.7526603, -0.2963884, 0.8111044, -0.5042455, 140.1177, 194.5117, 342.7892, 121.8683, 210.4464, 339.927, -18.24938, -15.93474, -2.862213, -33.35518, -11.63062, 6.53183, -64.77633, -30.45731, 160.0205, -31.42115, 18.82669, 153.4887, 3.776314
5, 5, -0.07398774, -0.08606221, -0.9935388, -0.01964984, -0.1044707, -0.9943339, 184.9507, 184.2589, 220.6857, 185.9978, 181.1321, 190.6523, 1.047134, 3.12677, -30.0334, 0.733234, 0.2414831, -0.6356525, 0.9897985, -0.09657227, 0.1047509, 159.1983, 130.9226, 71.77124, 317.3263, 83.95885, 95.57258, 158.128, 46.96371, 23.80134, -25.75238, 53.33633, -148.9144, 131.3285, 97.17328, -95.07969, 157.0809, -43.83694, 53.83474, 4.140003
6, 7, -0.09732789, 0.02029433, -0.9950455, -0.02324717, -0.1065725, -0.9940332, 178.8316, 185.5865, 281.7783, 186.1194, 181.3397, 192.3054, 7.287842, 4.246765, -89.47282, 0.2700158, 0.3224059, -0.9072741, 0.4181895, 0.5247198, -0.741476, 160.437, 163.4264, 39.94627, 144.7141, 150.5772, 38.55403, -15.72287, 12.84918, -1.392239, -18.39459, 22.16011, -241.832, -41.4053, 30.76253, -153.7514, -23.01071, -8.602417, 88.08058, 4.010338
7, 8, -0.0925858, -0.0008818128, -0.9957044, -0.01461691, -0.1055471, -0.9943069, 180.0507, 185.3124, 269.4543, 186.0593, 180.8422, 187.8846, 6.008591, 4.470154, -81.56975, 0.05578085, 0.2714792, -0.9608266, 0.2186719, 0.04090006, -0.9749409, 164.2225, 176.6774, 11.61097, 177.5978, 167.3582, 79.40589, 13.37529, 9.319199, 67.79492, -15.82825, 8.634964, -257.8434, -8.461548, 13.48401, -108.4787, 7.366699, -4.849045, 149.3647, 4.099838
8, 6, -0.1244908, 0.09489524, -0.9876726, -0.008349645, -0.1112156, -0.9937612, 174.5119, 187.1839, 307.3171, 186.3856, 180.4814, 184.2935, 11.87372, 6.702545, -123.0236, 0.2936194, -0.464514, -0.8354728, 0.3132565, -0.9354908, -0.163485, 209.0736, 160.6364, 147.703, 260.0872, 117.5595, 161.4865, 51.0136, 43.07688, 13.78345, 34.56169, 26.5475, -159.6141, 73.70157, 62.92184, -22.80702, 39.13988, -36.37434, 136.807, 4.708831
9, 1, 0.03853031, 0.06496421, -0.9971435, -0.02379318, -0.1097674, -0.9936725, 176.2724, 177.7872, 30.6722, 186.3037, 181.3717, 192.2302, 10.03127, -3.584503, 161.558, -0.4120352, 0.4564852, -0.7885736, -0.2870674, 0.8126473, -0.5071456, 149.9346, 207.5874, 317.9298, 121.9669, 209.5118, 340.5443, -27.96766, -1.924454, 22.61447, -26.33788, -29.80022, 287.2576, -64.3368, -28.14017, 148.314, -37.99892, -1.660049, -138.9435, 3.663663
