SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
06CH, full, 74", male, 24, 2, [2,0,3,4,1,5,7,8,6,1,5,8,6,3,4,7,2,0,8,5,6,0,4,2,3,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 2, 0.05655636, -0.2489259, -0.9668701, 0.004356312, -0.1785501, -0.9839212, 194.4376, 176.6523, 167.1996, 190.2854, 179.7463, 178.6024, -4.152145, -3.093979, 11.40274, -0.9556872, -0.2021449, 0.2140076, -0.8624015, -0.2251293, 0.4534099, 316.6328, 282.622, 258.0569, 333.5945, 297.7333, 255.3695, 16.96164, -15.11124, -2.687469, 122.1953, -105.9697, 90.85733, 143.309, -117.987, 76.76712, 21.11378, 12.01726, -14.09021, 6.897181
1, 0, 0.07320075, -0.2131651, -0.9742702, 0.03395403, -0.1803885, -0.9830092, 192.3415, 175.7032, 161.0476, 190.3985, 178.0217, 169.3401, -1.943085, -2.318527, 8.292511, -0.2121003, -0.3858837, -0.8978348, -0.157764, -0.3906932, -0.9069009, 203.2577, 193.2916, 208.7953, 203.3064, 189.8684, 201.9891, 0.04864502, 3.423218, -6.806198, 10.9162, -17.58839, 47.74774, 12.90793, -11.84665, 32.64903, 1.99173, -5.741745, -15.09871, 3.653358
2, 3, 0.03155676, -0.2504257, -0.9676213, 0.02134048, -0.1780605, -0.9837881, 194.5101, 178.1321, 172.8179, 190.2592, 178.7573, 173.1657, -4.250916, -0.6252441, 0.3478546, -0.1426787, -0.8962174, 0.4200442, -0.01904463, -0.9531869, 0.3017815, 295.1118, 341.2386, 189.0456, 287.5679, 356.389, 181.1446, -7.543884, -15.15036, -7.901031, 100.6017, -163.1066, 16.22777, 97.30876, -177.6317, 7.978882, -3.292969, 14.52512, -8.248886, 3.408513
3, 4, 0.149677, -0.2442487, -0.9580917, 0.01431702, -0.1825998, -0.9830831, 194.3019, 171.1208, 148.4998, 190.5223, 179.1656, 175.5168, -3.779602, -8.044861, 27.01701, 0.3914515, 0.7232984, 0.568863, 0.5522545, 0.6388747, 0.5355877, 51.8155, 34.53302, 28.4224, 50.02589, 45.87776, 40.84071, -1.789604, -11.34474, 12.41831, -142.4864, 136.5878, -120.0774, -140.4964, 133.2879, -134.6761, 1.990005, 3.299881, -14.5987, 3.496906
4, 1, 0.02242366, -0.2681936, -0.9631042, 0.003683107, -0.1790668, -0.98383, 195.5608, 178.6662, 175.2206, 190.3155, 179.7855, 178.8217, -5.245346, -1.119263, 3.601059, -0.3603311, 0.5542343, -0.750324, -0.2892306, 0.725032, -0.6250395, 143.5482, 205.6519, 326.9704, 130.7641, 204.8319, 338.2519, -12.78406, 0.8200378, 11.28149, -52.01262, -26.98566, 151.7498, -59.55133, -25.04636, 159.4302, -7.538712, -1.939301, 7.680435, 3.520015
5, 5, 0.03568873, -0.3364849, -0.9410126, 0.03609238, -0.1739879, -0.9840862, 199.6759, 177.828, 173.9457, 190.0264, 177.8996, 168.2807, -9.649536, -0.07151794, -5.664993, 0.994396, -0.04107654, 0.09741368, 0.9716261, -0.1889718, -0.1422407, 337.1363, 84.40501, 92.36543, 233.0309, 98.32863, 101.0061, -104.1053, -13.92362, 8.64064, 137.4604, 93.42304, -81.58023, 43.00455, 79.57094, -67.2746, -94.45581, 13.8521, 14.30563, 3.051958
6, 7, 0.02751561, -0.2361293, -0.9713321, 0.01442753, -0.1779404, -0.9839355, 193.6635, 178.3774, 173.3534, 190.2509, 179.1599, 175.3646, -3.412582, -0.7825623, 2.011139, 0.4777747, 0.457238, -0.75011, 0.4274417, 0.4351135, -0.7924455, 148.6351, 147.5053, 46.25825, 151.2298, 151.6578, 44.49041, 2.594696, -4.152435, -1.767838, -45.02834, 30.87204, -127.0952, -39.02106, 27.50217, -130.8741, 6.007278, 3.369873, -3.778969, 3.687524
7, 8, 0.01556916, -0.3169806, -0.9483044, 0.01844797, -0.175144, -0.98437, 198.4827, 179.0594, 177.1881, 190.0888, 178.9264, 173.9872, -8.393967, 0.1330414, -3.200882, 0.230273, 0.194473, -0.953496, 0.2111926, -0.009062792, -0.9774024, 168.4722, 166.4228, 49.81782, 180.5313, 167.8073, 92.4572, 12.05905, -1.38443, 42.63938, -30.01054, 12.63658, -127.3702, -9.557526, 11.11911, -81.52998, 20.45302, 1.517471, 45.84026, 2.576747
8, 6, 0.02920452, -0.2119389, -0.9768466, 0.01446591, -0.1781905, -0.9838897, 192.2413, 178.2876, 172.1542, 190.2655, 179.1577, 175.3588, -1.97583, -0.8701019, 3.204544, 0.3619117, -0.851101, -0.3803254, 0.3286796, -0.9168971, -0.2264277, 245.9219, 136.4211, 156.9635, 256.1284, 124.563, 160.2788, 10.20645, 11.85812, 3.315338, 53.6806, 41.86644, -15.19078, 65.86288, 54.59466, -15.07999, 12.18228, -12.72822, 0.1107941, 4.098478
9, 1, 0.08582544, -0.1066166, -0.9905893, 0.02230193, -0.1821116, -0.9830249, 186.1431, 175.0482, 141.1662, 190.4954, 178.7004, 173.0182, 4.352341, -3.652145, 31.85193, -0.2725171, 0.5763378, -0.7704344, -0.2923887, 0.7157106, -0.6342453, 143.201, 199.4796, 334.6932, 131.5466, 204.7498, 337.7785, -11.65442, -5.270187, 3.085327, -42.94206, -24.43143, 193.527, -58.94882, -26.04947, 164.7604, -16.00676, 1.618042, -28.7666, 2.85394
10, 5, 0.02494099, -0.2368422, -0.9712281, 0.01487084, -0.1778013, -0.9839541, 193.7046, 178.529, 173.9886, 190.2429, 179.1341, 175.2191, -3.461716, -0.6051483, 1.230499, 0.9840516, -0.0969427, 0.1491468, 0.969559, -0.1882486, -0.1565816, 326.9769, 81.38161, 95.62627, 230.247, 99.17393, 100.9878, -96.7299, -17.79232, 5.361511, 133.2723, 97.14736, -78.36228, 40.0041, 79.96019, -74.23127, -93.26819, 17.18717, 4.131012, 2.520281
11, 8, 0.0665426, -0.2083555, -0.9757871, 0.007708395, -0.1775702, -0.984078, 192.0531, 176.0988, 162.2881, 190.2286, 179.5512, 177.5143, -1.824524, -3.452393, 15.22627, 0.2810991, 0.1091067, -0.9534565, 0.2088422, -0.006770487, -0.9779259, 173.4719, 163.5734, 68.78662, 180.3967, 167.9452, 91.85683, 6.924789, -4.371841, 23.07021, -18.58122, 12.52544, -93.50143, -9.831909, 11.60599, -85.65749, 8.749313, 0.9194489, 7.843941, 2.717865
12, 6, 0.05210222, -0.2278303, -0.972306, 0.01016284, -0.1756747, -0.9843958, 193.1876, 176.9327, 167.1186, 190.1185, 179.4085, 176.6891, -3.069153, -2.47583, 9.570511, 0.3084071, -0.8560787, -0.4147463, 0.324683, -0.9171006, -0.2313167, 244.1511, 143.3654, 160.1882, 255.8438, 125.4675, 160.5044, 11.69269, 17.89781, 0.3162384, 50.96349, 33.56731, -6.930435, 65.72533, 53.94095, -16.18471, 14.76184, -20.37364, -9.254272, 3.476121
13, 3, 0.07149514, -0.147935, -0.9864097, 0.01290939, -0.1799307, -0.9835946, 188.5293, 175.8544, 154.2061, 190.3666, 179.2481, 175.8963, 1.837326, -3.393631, 21.69016, -0.1920138, -0.8908413, 0.4117433, -6.686424E-05, -0.9601068, 0.2796336, 294.8062, 334.9983, 192.1636, 286.2383, 359.9863, 180.004, -8.567841, -24.98798, -12.15958, 106.2769, -159.1439, 37.95744, 95.87175, -180.7382, 4.107712, -10.40517, 21.59435, -33.84973, 3.453913
14, 4, 0.06275222, -0.2205182, -0.9733622, 0.01776487, -0.1766574, -0.9841121, 192.7651, 176.3113, 164.1154, 190.1767, 178.9658, 174.2576, -2.588318, -2.654572, 10.1422, 0.4465726, 0.7542849, 0.4812766, 0.5481114, 0.64337, 0.5344614, 57.45981, 42.85799, 30.62756, 50.28285, 45.7224, 40.42894, -7.17696, -2.864414, 9.801388, -135.3053, 133.4533, -133.4878, -139.8939, 133.2434, -133.8286, -4.588638, 0.2098389, -0.3408203, 3.420226
15, 7, 0.1088842, -0.3092329, -0.9447326, -0.007337598, -0.1745818, -0.9846153, 198.1245, 173.4254, 160.6023, 190.0546, 180.427, 182.4067, -8.069885, -7.001526, 21.8044, 0.4339683, 0.423839, -0.7950047, 0.4168691, 0.4335785, -0.7988929, 151.9367, 151.3713, 45.67654, 151.5103, 152.4441, 43.87441, -0.4264374, -1.072815, -1.802128, -46.18779, 22.05418, -114.9258, -38.54434, 27.98289, -138.5323, 7.643448, -5.928711, -23.60653, 3.431499
16, 2, 0.0679732, -0.2504899, -0.9657302, 0.01599044, -0.1752256, -0.9843984, 194.5409, 175.9739, 164.8178, 190.0931, 179.0694, 174.7858, -4.447769, -3.09552, 9.968079, -0.9518742, -0.144941, 0.270051, -0.8718961, -0.2208961, 0.4370377, 331.7768, 285.8389, 261.3421, 333.1862, 296.6223, 255.7832, 1.409363, -10.78345, -5.55896, 137.2359, -109.865, 96.52437, 143.0931, -117.5529, 80.99733, 5.857132, 7.687927, -15.52704, 2.986503
17, 0, 0.0205258, -0.1624469, -0.9865038, 0.02487999, -0.1821999, -0.9829467, 189.3509, 178.808, 172.7986, 190.5012, 178.5501, 172.2242, 1.150269, 0.2579803, -0.5744629, -0.3238217, -0.3224041, -0.8894917, -0.1601718, -0.3916543, -0.906064, 199.9235, 200.0042, 225.1257, 203.3768, 190.025, 202.2427, 3.453354, 9.979126, -22.883, 10.57256, -21.19611, 52.32706, 12.87564, -11.47496, 30.01852, 2.303085, -9.721146, -22.30853, 3.20902
18, 8, 0.009280455, -0.2165506, -0.9762274, 0.02204604, -0.1777926, -0.983821, 192.507, 179.4553, 177.546, 190.2437, 178.7163, 172.9315, -2.263321, 0.7390442, -4.614548, 0.1857905, 0.1451371, -0.9718115, 0.2106991, -0.009305323, -0.9775067, 171.5058, 169.1768, 52.00351, 180.5454, 167.8361, 92.52877, 9.039581, 1.340683, 40.52526, -21.00122, 10.27852, -125.5425, -9.698318, 10.88016, -80.40272, 11.3029, -0.6016388, 45.13981, 3.054408
19, 5, 0.05246063, -0.2388244, -0.9696449, 0.01572903, -0.176405, -0.984192, 193.8366, 176.9032, 167.6111, 190.1617, 179.0844, 174.9047, -3.674896, -2.181244, 7.293686, 0.9957749, -0.04085887, 0.08223697, 0.9680983, -0.1950152, -0.157336, 333.5798, 85.27889, 92.34966, 231.1038, 99.23105, 101.3893, -102.476, -13.95216, 9.039673, 139.7432, 91.62426, -75.2614, 40.94211, 79.85335, -73.51541, -98.80113, 11.77091, 1.745987, 2.931173
20, 6, 0.1419701, -0.1698508, -0.9751899, 0.003288093, -0.1787885, -0.983882, 189.8802, 171.7169, 140.1094, 190.2993, 179.8085, 178.9464, 0.4190521, -8.091568, 38.83704, 0.3367057, -0.8149949, -0.4716069, 0.3272777, -0.916546, -0.2298538, 239.9436, 144.4749, 157.5526, 255.9216, 125.0811, 160.3495, 15.97792, 19.39377, 2.796921, 50.06345, 27.24203, 17.44324, 65.62231, 54.72737, -18.59688, 15.55887, -27.48534, -36.04012, 5.045056
21, 0, 0.05550331, -0.1491403, -0.9872571, 0.02251661, -0.179042, -0.9835837, 188.5904, 176.7822, 159.587, 190.3166, 178.6886, 172.832, 1.726166, -1.906357, 13.24503, -0.2688286, -0.2314873, -0.9349573, -0.1581741, -0.3908591, -0.9067581, 193.9063, 196.0415, 229.2684, 203.3185, 189.8951, 202.0323, 9.412231, 6.146484, -27.23602, 5.315842, -19.25931, 69.68137, 13.00191, -11.20647, 29.20032, 7.686066, -8.052841, -40.48105, 3.008607
22, 4, 0.002488274, -0.2146349, -0.9766914, 0.004611677, -0.1779602, -0.9840269, 192.3941, 179.854, 179.3358, 190.2511, 179.7315, 178.5156, -2.143051, 0.1225433, -0.8202362, 0.4775349, 0.6766398, 0.5604634, 0.5674955, 0.6409535, 0.5168437, 50.36492, 40.43219, 35.21233, 51.11844, 47.67447, 41.52144, 0.7535248, -7.242275, 6.309116, -142.0292, 139.4218, -144.1235, -139.1326, 132.057, -136.9941, 2.896576, 7.364822, 7.129349, 2.95143
23, 2, 0.04289088, -0.2409439, -0.969591, 0.008914147, -0.1794685, -0.9837233, 193.9554, 177.4671, 169.9064, 190.3392, 179.4808, 177.1565, -3.616135, -2.013702, 7.250076, -0.9651316, -0.02132652, 0.2608953, -0.8673778, -0.2364299, 0.4379002, 355.3268, 285.1267, 268.7341, 331.6346, 296.7872, 254.7527, -23.69223, -11.66046, -13.9814, 161.3715, -107.6596, 98.82773, 141.2954, -117.3064, 77.59625, -20.0761, 9.646759, -21.23148, 3.031507
