SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
03bh, full, 74", male, 25, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, 0.04916009, -0.1361087, -0.9894735, -0.02641327, -0.2003985, -0.9793584, 187.8323, 177.1557, 160.1412, 191.5643, 181.5449, 187.5085, 3.732086, -4.389175, 27.36736, 0.0993108, -0.6789579, 0.7274293, -0.08664972, -0.9682667, 0.2344173, 316.9739, 7.774127, 171.6784, 283.6094, 339.7137, 185.1137, -33.3645, -331.9396, 13.43535, 129.1417, 169.3816, 11.53723, 92.04509, -158.1689, -2.394775, -37.09659, 327.5504, -13.93201, 5.57514
1, 5, -0.02300205, -0.06696159, -0.9974904, -0.0329971, -0.1948893, -0.9802701, 183.8405, 181.321, 198.9582, 191.2444, 181.9279, 189.6097, 7.403946, -0.6069183, -9.348434, 0.9851797, -0.03852458, 0.1671437, 0.9160799, -0.2497875, -0.3136939, 347.0207, 80.371, 92.23936, 218.5295, 108.9028, 105.2521, -128.4912, -28.53178, 13.0127, 163.1802, 100.95, -106.7188, 27.28508, 73.02514, -84.35767, -135.8951, 27.92486, 22.36113, 4.21917
2, 4, 0.02220014, 0.05191153, -0.9984049, 0.002194803, -0.2040112, -0.9789661, 177.0236, 178.7262, 23.15413, 191.7717, 179.8716, 179.3836, 14.74803, -1.14534, 156.2295, 0.3622984, 0.5780948, 0.7311267, 0.5975008, 0.6979492, 0.3947908, 38.33308, 26.36, 32.07583, 60.50559, 56.5458, 40.5662, 22.17251, -30.1858, 8.490368, -138.6906, 152.3662, 8.921694, -131.2661, 123.3258, -138.8174, 7.424484, 29.04045, -147.7391, 5.320292
3, 0, 0.0069467, -0.1164093, -0.9931771, -0.03692936, -0.1902748, -0.981036, 186.6851, 179.5993, 176.5849, 190.9764, 182.1558, 190.9837, 4.291306, -2.556519, 14.39871, -0.6132495, -0.4769984, -0.6296014, -0.1065114, -0.3869699, -0.9159201, 217.1483, 224.2462, 232.1235, 202.9037, 186.6331, 195.3893, -14.24457, 37.61314, -36.73418, 30.4632, -44.64696, 55.53851, 11.92732, -4.477295, 4.405624, -18.53587, -40.16966, -51.13289, 8.095783
4, 2, 0.01376889, -0.04597561, -0.9988479, 0.03572653, -0.1960252, -0.9799478, 182.6354, 179.2103, 163.328, 191.3119, 177.9121, 169.6709, 8.676559, 1.298187, 6.342972, -0.9337443, -0.06053206, 0.3527857, -0.8861487, -0.3888813, 0.2520156, 350.2638, 290.6975, 266.2909, 302.9454, 285.8754, 246.306, -47.31845, 4.822052, -19.98486, 167.6284, -111.4872, 102.9629, 111.6334, -107.9634, 76.63506, -55.99501, -3.523865, -26.32784, 4.620265
5, 6, 0.04256305, -0.05056242, -0.9978137, 0.01782536, -0.1952428, -0.980593, 182.9009, 177.5574, 139.9096, 191.2607, 178.9586, 174.7834, 8.359848, -1.401138, 34.87387, 0.5156102, -0.6503246, -0.5578747, 0.299405, -0.9099853, -0.2868508, 229.3757, 137.2547, 141.5909, 252.5038, 133.7732, 161.7877, 23.12814, 3.481415, 20.19681, 46.47479, 40.3028, 1.681274, 61.24309, 45.18535, -12.99579, 14.7683, -4.882553, -14.67706, 4.963815
6, 1, 0.04396816, 0.01846934, -0.9988624, 0.05768342, -0.1936545, -0.9793725, 178.9407, 177.4796, 67.21458, 191.185, 176.6293, 163.4129, 12.24428, 0.850296, 96.19832, -0.6630757, 0.6775384, -0.3182334, -0.2200421, 0.6731418, -0.706018, 115.159, 244.362, 315.6181, 136.3656, 197.3105, 341.898, 21.20656, 47.05151, 26.27994, -63.78171, -66.88245, 248.4035, -54.81943, -20.68123, 178.4851, 8.96228, -46.20122, -69.91838, 4.918964
7, 8, 0.01109684, -0.1582353, -0.9873393, 0.02191633, -0.1933496, -0.9808851, 189.105, 179.3561, 175.9885, 191.151, 178.72, 173.5331, 2.046005, 0.6360321, -2.455399, 0.2177661, 0.279938, -0.9349935, 0.2155663, -0.02634747, -0.9761336, 163.3322, 166.8892, 37.87965, 181.5461, 167.5468, 96.96838, 18.21388, -0.6576691, 59.08874, -25.7728, 12.46689, -138.1088, -9.604919, 11.17319, -76.5647, 16.16788, 1.293701, 61.54413, 4.788711
8, 7, -0.01332785, -0.2250131, -0.9742647, 0.04409885, -0.1855852, -0.9816381, 193.0048, 180.7837, 183.3897, 190.7058, 177.4278, 166.6332, -2.299042, 3.355957, -16.7565, 0.5646781, -0.2858417, -0.774231, 0.3900567, 0.4350241, -0.8115478, 200.2639, 143.8952, 116.8487, 151.8068, 154.3295, 41.88043, -48.45706, -10.4343, -74.96823, 7.259048, 36.88852, -66.54108, -38.89897, 23.09827, -124.7528, -46.15802, 13.79025, -58.21173, 13.65036
9, 3, 0.02337227, -0.04679241, -0.9986313, 0.03648351, -0.1910121, -0.9809095, 182.6827, 178.6593, 153.4584, 191.0193, 177.8699, 169.1867, 8.336578, 0.7893372, 15.72829, -0.03897415, -0.757768, 0.6513591, -0.008870438, -0.9843863, 0.1757981, 310.6815, 356.5758, 182.9443, 280.1255, 357.1114, 180.5163, -30.55606, -0.5356445, -2.428009, 127.9988, -177.9165, 29.48589, 89.1062, -179.2415, 11.32959, -38.89264, 1.324982, -18.1563, 4.644678
10, 0, 0.03052571, 0.1080149, -0.9936807, 0.04935635, -0.1966313, -0.9792344, 173.7962, 178.2404, 15.78064, 191.354, 177.1146, 165.9093, 17.55785, 1.125885, 150.1287, -0.5266113, -0.4715446, -0.7073374, -0.09365123, -0.3859683, -0.9177461, 213.6893, 216.6676, 228.1577, 202.8097, 185.8266, 193.6387, -10.87958, 30.84105, -34.51906, 39.8931, -38.42717, 212.3771, 11.45567, -8.712006, 27.72932, -28.43742, -29.71516, -184.6478, 10.70965
11, 4, 0.04465001, 0.04193377, -0.9981224, 0.01726466, -0.1993612, -0.979774, 177.5943, 177.4386, 46.79685, 191.5013, 178.9905, 175.0505, 13.90706, -1.551849, 128.2537, 0.301144, 0.6462403, 0.7012032, 0.6072045, 0.6785036, 0.4134437, 42.66417, 23.24195, 24.98523, 58.64412, 55.74917, 41.82591, 15.97994, -32.50722, 16.84068, -134.9301, 154.1967, -21.81162, -132.8572, 123.2413, -133.2246, 2.072891, 30.95537, -111.413, 5.575253
12, 8, 0.0793958, 0.001573273, -0.9968421, 0.03446081, -0.1935134, -0.9804922, 179.9096, 175.4462, 88.8648, 191.1646, 177.9871, 169.9026, 11.25504, -2.540924, 81.03783, 0.564774, 0.3789489, -0.7330949, 0.1895262, -0.02781382, -0.9814816, 152.6648, 142.3895, 56.1394, 181.6232, 169.0706, 98.34882, 28.95844, -26.68112, 42.20942, -27.24477, 33.05669, -32.7254, -9.541367, 8.916489, -71.55382, 17.7034, 24.1402, -38.82842, 3.930075
13, 6, 0.02715171, -0.1017009, -0.9944445, 0.01947604, -0.1937605, -0.9808555, 185.8393, 178.436, 165.052, 191.1745, 178.8625, 174.2601, 5.33519, -0.4264526, 9.208084, 0.5290234, -0.5485489, -0.6474788, 0.2877561, -0.919933, -0.2663073, 220.2715, 140.7494, 136.0381, 253.855, 132.7831, 162.6303, 33.58351, 7.966324, 26.59218, 34.43225, 37.68661, -29.01396, 62.68057, 46.07939, -11.62987, 28.24832, -8.392776, 17.38409, 7.253473
14, 1, 0.007512815, 0.07004257, -0.9975158, 0.03244291, -0.1969951, -0.9798675, 175.9835, 179.5685, 6.122178, 191.3674, 178.1037, 170.648, 15.3839, 1.464844, 164.5258, -0.4782336, 0.7311158, -0.4865824, -0.2599236, 0.6723346, -0.6931131, 123.6451, 224.5042, 326.8107, 135.8718, 200.5565, 338.8636, 12.22673, 23.94771, 12.05283, -52.33835, -44.93571, 320.6885, -55.49551, -22.45285, 168.2156, -3.157166, -22.48286, -152.473, 3.831205
