SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
04AS, full, 64", female, 17, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, 0.01845272, 0.02716272, -0.9994608, -0.003101025, -0.05656648, -0.998394, 178.4432, 178.9423, 34.18983, 183.2428, 180.178, 183.1379, 4.79953, -1.235672, 148.948, -0.3422059, -0.704366, 0.6219032, -0.1194391, -0.9653913, 0.2318488, 311.4421, 331.1779, 205.9121, 283.5044, 332.7443, 187.0528, -27.93771, -1.566376, -18.85928, 132.9989, -152.2357, 171.7223, 100.2617, -152.5664, 3.914978, -32.73724, 0.3307037, -167.8073, 3.811039
1, 5, 0.07523994, -0.03634919, -0.9965027, 0.03077376, -0.05466732, -0.9980303, 182.089, 175.6821, 115.7857, 183.1353, 178.2339, 150.6236, 1.046219, -2.551727, 34.83796, 0.9863157, 0.009757403, 0.1645794, 0.9527591, -0.05016198, -0.2995559, 3.392917, 80.52674, 89.4332, 189.5062, 107.4536, 93.01379, 186.1133, -26.92687, 3.580589, -178.6961, 95.1554, -26.35246, 6.370987, 70.78026, -57.60983, 185.0671, 24.37514, -31.25737, 3.589034
2, 4, 0.03670637, -0.03719953, -0.9986335, 0.02519418, -0.05451607, -0.9981949, 182.1333, 177.895, 135.3823, 183.1261, 178.5542, 155.1964, 0.9927673, -0.6592255, 19.81404, 0.2593853, 0.413911, 0.8725806, 0.5412811, 0.7869619, 0.2961515, 25.37745, 16.55523, 32.0741, 69.37755, 61.31558, 34.52063, 44.0001, -44.76035, 2.446522, -156.7558, 161.3397, -103.3082, -113.7485, 117.2386, -120.6757, 43.00732, 44.10114, -17.36752, 4.265406
3, 0, 0.008331221, 0.007561534, -0.9999368, 0.02564497, -0.05597688, -0.9981027, 179.5667, 179.5226, 47.77267, 183.21, 178.5282, 155.3858, 3.643234, 0.9944611, 107.6131, -0.2469724, -0.3765404, -0.892873, -0.1441579, -0.3276633, -0.9337319, 202.866, 195.4617, 213.2608, 199.3369, 188.7765, 203.7475, -3.529129, 6.685135, -9.513367, 23.29927, -15.93903, 165.4881, 16.12691, -10.24835, 48.36163, -7.172363, -5.690674, -117.1265, 3.033108
4, 2, 0.0624899, -0.0855413, -0.994373, 0.02718839, -0.04966535, -0.9983959, 184.9168, 176.4041, 143.851, 182.8478, 178.4401, 151.3023, -2.068954, -2.036026, 7.451294, -0.7317209, 0.1962298, 0.6527467, -0.9866416, -0.02169464, 0.1614551, 16.73192, 311.7352, 285.0121, 352.347, 279.2936, 268.7404, 335.6151, 32.44165, -16.27176, -168.1849, -135.3312, 141.1611, 169.4992, -100.8535, 117.438, 337.6841, -34.47768, -23.72305, 3.331496
5, 6, -0.0674221, 0.0209039, -0.9975056, 0.02560365, -0.05304221, -0.998264, 178.7995, 183.8668, 287.2258, 183.0415, 178.5308, 154.2332, 4.242035, 5.335983, -132.9926, 0.2398796, -0.7712216, -0.58964, 0.3354511, -0.8976257, -0.2859032, 232.6002, 157.8623, 162.7223, 252.3328, 130.4408, 159.5088, 19.73262, 27.42155, -3.21347, 53.80067, 26.00444, -124.5035, 69.29126, 48.09001, 5.275574, 15.49059, -22.08557, 129.7791, 2.665314
6, 1, 0.01668111, -0.108798, -0.993924, 0.003119261, -0.05280305, -0.9986001, 186.2469, 179.0385, 171.2832, 183.0268, 179.821, 176.6193, -3.220078, -0.7825317, 5.33606, -0.3243295, 0.4626962, -0.8250592, -0.2539342, 0.7552277, -0.6042752, 150.7161, 201.4597, 324.9713, 128.6641, 202.7936, 341.4155, -22.05202, -1.333862, 16.44427, -35.53078, -22.42122, 153.688, -54.36272, -22.97255, 164.7963, -18.83194, 0.5513306, 11.10822, 2.687209
7, 8, -0.005316955, 0.01723055, -0.9998375, 0.01904103, -0.05656603, -0.9982173, 179.0127, 180.3047, 342.851, 183.2433, 178.9072, 161.396, 4.230591, 1.397476, -181.455, 0.1561077, 0.1928585, -0.9687291, 0.209969, 0.05149109, -0.9763512, 168.7406, 170.8457, 38.98816, 176.9811, 167.8631, 76.22117, 8.24057, 2.982529, 37.23301, -10.27216, 9.45903, -303.8628, -6.262177, 11.04408, -85.17478, 4.009979, -1.585052, 218.688, 2.675887
8, 7, 0.016922, 0.05406456, -0.9983941, 0.02368713, -0.05562634, -0.9981707, 176.9004, 179.029, 17.37992, 183.1897, 178.6406, 156.9344, 6.289322, 0.388382, 139.5545, 0.3608021, 0.2710301, -0.8923928, 0.3935978, 0.4847777, -0.7810706, 163.1059, 157.9861, 53.08658, 148.1739, 153.2555, 39.07363, -14.93201, 4.730576, -14.01295, -13.79451, 21.04289, 35.70665, -35.01584, 25.38509, -117.8608, -21.22133, -4.342194, -153.5675, 2.275579
9, 3, 0.03110605, 0.06178037, -0.9976051, 0.01987286, -0.05534983, -0.9982693, 176.4563, 178.2141, 26.72498, 183.1736, 178.8595, 160.2498, 6.717285, -0.6454773, 133.5248, -0.1676474, -0.7076943, 0.6863405, -0.08392809, -0.9586426, 0.2719565, 314.1224, 346.2736, 193.3273, 285.8381, 342.8493, 185.0034, -28.28433, 3.424225, -8.323853, 137.6661, -168.0595, 166.6023, 102.6645, -163.9898, 24.75365, -35.00162, -4.069702, -141.8486, 3.374966
