SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
05JH, full, 66", male, 17, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.08034308, 0.03708852, -0.9960774, 0.001475218, -0.09433086, -0.9955398, 177.8676, 184.6115, 294.7793, 185.4128, 179.9151, 179.104, 7.545197, 4.696365, -115.6753, -0.09231026, -0.823087, 0.560363, -0.09280606, -0.9582533, 0.2704398, 304.2473, 350.6455, 186.399, 285.7602, 341.0594, 185.5318, -18.48706, 9.58606, -0.8672638, 126.3797, -166.034, -108.3802, 100.3474, -161.1443, 6.42775, -26.03226, -4.889694, 114.808, 3.252117
1, 5, -0.05401802, 0.07289385, -0.9958757, -0.004729368, -0.09689952, -0.9952829, 175.8137, 183.1048, 323.4597, 185.5607, 180.2723, 182.7942, 9.74707, 2.83252, -140.6655, 0.9947641, 0.05188201, -0.08804937, 0.9676127, -0.09902206, -0.2322075, 149.4918, 95.05823, 87.01444, 203.0952, 103.4946, 95.84311, 53.60344, -8.436417, 8.828667, -26.32185, 88.04655, -236.4453, 17.53452, 76.77762, -86.9511, 43.85637, 11.26894, 149.4942, 2.942533
2, 4, -0.3041626, -0.07218917, -0.9498812, -0.008445974, -0.09015224, -0.9958922, 184.346, 197.7556, 256.6486, 185.1725, 180.4859, 185.3522, 0.8265381, 17.26974, -71.29642, 0.5079037, 0.712323, 0.4843861, 0.4398184, 0.7575026, 0.4824413, 55.78395, 46.35768, 35.4898, 57.50759, 42.35392, 30.14016, 1.723644, 4.003761, -5.349644, -128.5621, 151.398, -221.1588, -127.665, 138.132, -155.212, 0.8971024, 13.26598, 65.94676, 3.131748
3, 0, -0.1022712, -0.03366622, -0.9941866, -0.02622561, -0.08900711, -0.9956856, 181.9395, 185.8733, 251.7792, 185.1082, 181.5088, 196.4174, 3.168777, 4.364517, -55.3618, -0.3220358, -0.08891536, -0.942543, -0.1763785, -0.3558351, -0.9177538, 185.3891, 198.8636, 254.565, 201.1925, 190.8788, 206.3665, 15.80342, 7.984848, -48.19849, 3.449615, -12.9903, 2.785751, 16.08426, -9.369965, 9.949066, 12.63464, -3.620331, 7.163315, 3.110545
4, 2, -0.0649317, 0.05070637, -0.9966006, -0.0258106, -0.09576978, -0.9950688, 177.0873, 183.7277, 307.9869, 185.4975, 181.4858, 195.0832, 8.410126, 2.241898, -112.9037, -0.8343786, 0.1479805, 0.5309559, -0.947573, -0.09651332, 0.3046155, 15.57347, 302.4706, 280.0571, 342.4199, 287.821, 264.1843, 326.8464, 14.6496, -15.87277, -161.5139, -118.7428, -27.92987, 156.9224, -106.3351, 69.10107, 318.4363, -12.4077, 97.03094, 3.330443
5, 6, -0.004434445, -0.01772185, -0.9998332, -0.01706894, -0.09251859, -0.9955646, 181.0155, 180.2541, 194.0484, 185.3093, 180.9822, 190.4531, 4.293839, -0.7281189, -3.595276, 0.2884829, -0.7938868, -0.535277, 0.3007536, -0.9141918, -0.2716625, 236.0102, 151.6779, 160.0298, 253.4501, 132.0906, 161.7897, 17.43985, 19.58731, 1.759827, 54.99478, 28.57617, -34.01851, 68.14079, 48.8916, -28.66341, 13.14601, -20.31543, 5.355103, 4.631657
6, 1, -0.114409, -0.01261121, -0.9933536, -0.04312067, -0.09350633, -0.9946845, 180.7274, 186.5701, 263.7097, 185.3704, 182.4823, 204.7569, 4.64299, 4.087799, -58.95282, -0.422747, 0.6344241, -0.6471409, -0.2890106, 0.7426887, -0.6040584, 135.5685, 213.1547, 326.3226, 129.1228, 205.5687, 338.7369, -6.445663, 7.586014, 12.41434, -45.15886, -26.58464, 62.61288, -56.24751, -23.08643, 133.98, -11.08865, -3.498215, 71.36716, 2.976581
7, 8, -0.1047454, -0.0743178, -0.9917185, -0.02072084, -0.09337094, -0.9954157, 184.2856, 186.0292, 234.644, 185.3587, 181.1925, 192.5123, 1.07309, 4.836716, -42.13167, 0.1038782, 0.3173137, -0.9426141, 0.189045, 0.03121703, -0.9814721, 161.3951, 173.7112, 18.12677, 178.1782, 169.0976, 80.62335, 16.7831, 4.613678, 62.49659, -22.89049, 12.31799, -216.5172, -7.180481, 12.09496, -111.8889, 15.71001, 0.2230377, 104.6283, 2.751599
8, 7, -0.1146074, 0.05215562, -0.992041, -0.03919334, -0.09680165, -0.9945317, 176.9905, 186.59, 294.4694, 185.5593, 182.2568, 202.0422, 8.568787, 4.333206, -92.42717, 0.3755075, 0.5724321, -0.728914, 0.3758202, 0.4712718, -0.797911, 141.8567, 152.7443, 33.26432, 149.4325, 154.7793, 38.57095, 7.575867, -2.035049, 5.306625, -35.13383, 33.84572, -261.205, -36.12675, 27.47746, -163.4713, -0.9929199, 6.368256, 97.7338, 2.577361
9, 3, -0.109244, 0.02749604, -0.9936348, -0.03964898, -0.09611022, -0.9945807, 178.4149, 186.2741, 284.1276, 185.5196, 182.2829, 202.4179, 7.10466, 3.991226, -81.70963, -0.1175801, -0.8454784, 0.5209043, -0.1688819, -0.94799, 0.2698033, 301.6375, 347.2802, 187.9173, 285.8867, 327.9557, 190.1011, -15.75082, 19.32446, 2.183823, 123.2226, -161.0061, -96.21027, 100.3671, -145.6728, -12.31682, -22.85548, -15.33324, 83.89345, 2.930419
