SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
07FXC, full, 170cms, male, 23, 3, [3,5,4,0,2,6,1,8,7,3,0,4,8,6,1,7,5,2,8,1,2,0,5,3,6,7,4]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.05840344, -0.1699003, -0.9837292, -0.03438761, -0.1270582, -0.991299, 189.7989, 183.3976, 198.9705, 187.304, 181.9868, 195.144, -2.494934, 1.410873, -3.826492, -0.03908324, -0.9203293, 0.3891871, -0.1568429, -0.9777039, 0.1396264, 292.9224, 354.2654, 182.4317, 278.1275, 311.6765, 189.1137, -14.79492, 42.58896, 6.682037, 103.1235, -170.8678, -16.53879, 90.82353, -129.6897, -6.030258, -12.29999, -41.17809, 10.50853, 6.772316
1, 5, -0.03333313, -0.1850713, -0.9821598, -0.0346554, -0.1166876, -0.9925638, 190.6713, 181.9438, 190.2101, 186.705, 181.9997, 196.541, -3.966278, -0.05586243, 6.330978, 0.9589944, 0.1313228, -0.2511657, 0.8868331, -0.1680586, -0.4304455, 152.397, 104.6764, 82.20253, 201.3271, 115.8907, 100.7305, 48.93008, -11.21429, 18.52802, -38.27425, 77.26737, -108.0075, 14.62212, 66.10895, -95.8105, 52.89636, 11.15842, 12.19704, 4.40885
2, 4, -0.07923229, -0.2145559, -0.9734928, -0.05894816, -0.1128551, -0.9918613, 192.4292, 184.653, 200.2684, 186.4913, 183.4012, 207.5796, -5.937912, 1.251831, 7.311203, 0.4269231, 0.6026528, 0.6742005, 0.510246, 0.8367344, 0.198808, 41.79282, 32.34317, 35.314, 76.63436, 68.71253, 31.37511, 34.84154, -36.36937, -3.938896, -150.6364, 152.3099, -164.9544, -109.8569, 114.6887, -176.2045, 40.77946, 37.62119, -11.25009, 4.796848
3, 0, -0.0832712, -0.21786, -0.9724213, -0.05419472, -0.110013, -0.9924515, 192.6279, 184.8945, 200.918, 186.3254, 183.1256, 206.2258, -6.302551, 1.768814, 5.307816, 0.009304944, -0.1808506, -0.9834667, -0.1864213, -0.3470756, -0.9191222, 190.4198, 179.4579, 177.0547, 200.6874, 191.4655, 208.2411, 10.26761, -12.00758, 31.18646, -2.208191, 5.436539, -23.86334, 14.36197, -8.339859, 2.015305, 16.57016, 13.7764, 25.87865, 7.374638
4, 2, -0.08112685, -0.2153782, -0.973155, -0.05994377, -0.1095085, -0.9921768, 192.4795, 184.7654, 200.64, 186.2984, 183.4574, 208.6958, -6.181152, 1.308014, 8.055832, -0.4546543, 0.1807908, 0.8721262, -0.9838402, -0.1730369, -0.04600952, 11.71147, 332.4662, 291.685, 255.1099, 267.3225, 260.0249, 243.3984, 65.14368, -31.66006, -180.768, -147.7008, 91.045, 68.81155, -83.8651, 51.3291, 249.5796, -63.83566, -39.7159, 6.4404
5, 6, -0.02726685, -0.203735, -0.9786465, -0.07329116, -0.109489, -0.9912823, 191.7599, 181.5959, 187.6229, 186.3029, 184.2285, 213.7981, -5.457016, -2.632568, 26.17519, 0.3721093, -0.7634259, -0.5279353, 0.2711075, -0.9023234, -0.3351316, 235.3348, 144.8223, 154.0145, 249.6245, 141.0286, 163.2769, 14.2897, 3.793747, 9.262405, 43.57492, 36.77362, -33.60843, 63.32164, 43.19994, -50.52121, 19.74672, -6.426315, -16.91278, 7.806678
6, 1, -0.09630509, -0.1246114, -0.9875209, -0.07811266, -0.1110743, -0.9907375, 187.1919, 185.57, 217.6984, 186.3969, 184.508, 215.1167, -0.7950439, 1.061951, -2.581726, -0.4355894, 0.7056394, -0.5588695, -0.308724, 0.6548759, -0.6898022, 128.3794, 217.9333, 328.3131, 136.4879, 204.1111, 334.7597, 8.108475, 13.82216, 6.446625, -58.81255, -32.36328, 110.6147, -49.90903, -19.60307, 119.643, 8.903519, -12.76021, 9.028351, 3.089035
7, 8, -0.06424614, -0.2154431, -0.9744008, -0.06087034, -0.1083692, -0.9922454, 192.4677, 183.7723, 196.6048, 186.2329, 183.5105, 209.3227, -6.234756, 0.2618103, 12.71783, 0.1369215, 0.1629608, -0.9770856, 0.1446329, 0.01003653, -0.9894344, 170.5312, 172.0229, 40.03735, 179.4188, 171.6835, 86.03043, 8.887604, 0.3394012, 45.99308, -21.93646, 11.74933, -156.5675, -6.814102, 11.82692, -123.2922, 15.12236, -0.07759094, 33.27525, 5.285745
8, 7, -0.08005035, -0.2614101, -0.9619028, -0.07087642, -0.1082025, -0.9915991, 195.2037, 184.7572, 197.0259, 186.2274, 184.0884, 213.2262, -8.976273, 0.668869, 16.2003, 0.2848604, 0.6353942, -0.717725, 0.3301717, 0.4211691, -0.8447505, 138.4819, 158.3522, 24.14768, 153.5004, 158.6519, 38.09435, 15.01854, -0.2996979, 13.94667, -56.72182, 26.40503, -172.8782, -32.72701, 25.43646, -175.1319, 23.99481, 0.9685669, -2.253647, 3.765849
9, 3, -0.06723303, -0.1963149, -0.9782332, -0.07185301, -0.1105641, -0.9912683, 191.3476, 183.9317, 198.9051, 186.3643, 184.1459, 213.0189, -4.983215, -0.2141876, 14.1138, 0.01347662, -0.9446853, 0.3277014, -0.1970858, -0.9802657, 0.01537587, 289.1311, 2.354944, 179.1827, 270.8986, 274.461, 191.368, -18.23251, -272.106, 12.18526, 97.78357, 181.5768, -19.72238, 84.53427, -90.31508, -21.65092, -13.2493, 271.8918, -1.928543, 4.540812
