SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
04SG, full, 65", female, 24, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.04512891, -0.06873775, -0.9966135, -0.05400083, -0.06727034, -0.9962723, 183.9455, 182.5927, 213.2864, 183.8629, 183.1026, 218.7555, -0.08267212, -0.5098419, 5.469116, 0.7993962, 0.4197055, 0.4298991, 0.4356382, 0.7861533, 0.4383861, 44.3126, 61.72954, 62.29926, 60.85446, 44.81987, 28.99255, 16.54186, 16.90967, -33.30672, -139.6329, 120.8632, -150.9872, -123.0084, 138.2827, -189.763, 16.62454, -17.41951, -38.77582, 4.009624
1, 8, -0.02764332, -0.1283031, -0.9913499, -0.06371518, -0.06417292, -0.9959027, 187.3744, 181.5972, 192.1587, 183.6869, 183.6606, 224.7949, -3.687515, -2.063385, 32.63622, 0.348024, 0.3828783, -0.8557358, 0.1708108, 0.04187739, -0.9844135, 155.895, 157.8687, 42.26982, 177.5641, 170.1563, 76.2246, 21.66907, -12.28766, 33.95478, -31.47935, 23.72859, -149.8889, -6.122772, 13.50432, -148.5703, 25.35658, 10.22427, 1.318573, 3.053777
2, 1, -0.03524422, -0.1120407, -0.9930786, -0.05713835, -0.06498936, -0.9962488, 186.437, 182.0326, 197.4618, 183.7323, 183.2825, 221.3218, -2.704636, -1.249954, 23.85997, -0.2238584, 0.5941508, -0.7725751, -0.3008383, 0.7438955, -0.5967544, 142.4378, 196.1593, 339.3551, 128.7367, 206.7538, 337.9811, -13.70116, -10.5945, -1.373932, -43.99916, -14.12671, 141.8932, -54.99568, -23.47125, 116.6593, -10.99652, 9.344543, -25.2339, 2.942446
3, 5, -0.06707254, -0.07718317, -0.9947584, -0.05506302, -0.064074, -0.9964249, 184.4367, 183.8574, 220.9908, 183.6793, 183.163, 220.6746, -0.7574005, 0.694397, -0.3161621, 0.9877871, -0.09421538, -0.1240966, 0.9708624, -0.05974817, -0.2320698, 217.2061, 97.16061, 95.4484, 194.4377, 103.4434, 93.52161, -22.76845, -6.282822, -1.926788, 32.76945, 86.69677, -125.5424, 10.75841, 79.71955, -127.153, -22.01105, 6.977219, -1.610626, 2.88727
4, 7, -0.05477698, -0.1297141, -0.9900372, -0.0655681, -0.06407412, -0.9957888, 187.4643, 183.1668, 202.8939, 183.6816, 183.7672, 225.6602, -3.782715, -0.6003876, 22.76639, 0.6941313, 0.4512292, -0.560869, 0.3606336, 0.4843115, -0.7971109, 141.1827, 128.9388, 56.97359, 148.7178, 155.6568, 36.67253, 7.53511, -26.71802, -20.30106, -46.28163, 54.22809, -145.9203, -34.96381, 28.11046, -188.9877, 11.31783, 26.11763, -43.06744, 3.220317
5, 0, -0.0628739, -0.07198057, -0.9954224, -0.05446616, -0.0643429, -0.9964404, 184.1359, 183.6142, 221.1367, 183.6946, 183.1287, 220.2478, -0.4413147, 0.4854584, -0.888855, -0.06853936, -0.3729503, -0.9253166, -0.1945723, -0.3437885, -0.9186681, 201.952, 184.2362, 190.4134, 200.5171, 191.9584, 209.5083, -1.434875, -7.722198, 19.09494, 17.81604, -0.6220551, -30.72331, 16.82248, -8.829712, -10.73952, -0.9935608, 8.207657, 19.9838, 3.30901
6, 3, -0.06413931, -0.07556265, -0.9950764, -0.05989402, -0.06475065, -0.9961025, 184.3425, 183.688, 220.3254, 183.7192, 183.441, 222.7687, -0.6232758, 0.2470245, 2.443314, 0.5551401, -0.8038449, 0.2136656, -0.2462267, -0.9086956, 0.3371123, 284.8853, 68.94898, 145.3708, 290.3541, 323.8556, 195.1612, 5.468811, -254.9066, 49.79041, 100.5428, 114.739, -74.95456, 106.6349, -140.4147, -27.60747, 6.092087, 255.1537, 47.34709, 3.152907
7, 2, -0.05225297, -0.07499152, -0.9958143, -0.07407109, -0.06626703, -0.9950488, 184.3066, 183.0037, 214.8682, 183.8101, 184.2572, 228.1829, -0.4965363, -1.25351, 13.31467, -0.8220579, -0.03440966, 0.5683633, -0.9222512, -0.02114695, 0.3860123, 356.5355, 304.6596, 267.6031, 356.8643, 292.712, 268.6865, 0.3288269, 11.94766, 1.083344, 172.2288, -121.6559, 52.73491, 173.0542, -108.4548, 40.50359, 0.8253632, -13.20117, -12.23132, 3.455683
8, 6, -0.07854762, -0.07367539, -0.9941844, -0.05164259, -0.06737228, -0.9963905, 184.2382, 184.5174, 226.8333, 183.8682, 182.967, 217.4711, -0.3699951, 1.550415, -9.362152, 0.477539, -0.701892, -0.5284927, 0.292335, -0.9152068, -0.2773748, 233.0219, 137.8995, 145.7702, 253.1393, 133.4958, 162.2855, 20.11743, 4.403656, 16.51529, 48.78368, 46.61792, -81.06303, 69.2711, 49.47116, -55.18559, 20.48743, -2.853241, 25.87744, 3.131745
9, 7, -0.04967456, -0.04478165, -0.9977611, -0.05628758, -0.06715559, -0.9961535, 182.5698, 182.8502, 227.9653, 183.8568, 183.234, 219.9686, 1.286926, -0.3838654, -7.996689, 0.5438973, 0.3376544, -0.7682223, 0.3622189, 0.4860193, -0.7953508, 156.2732, 144.7017, 58.16776, 148.5719, 155.5145, 36.69631, -7.701279, -10.81281, -21.47145, -26.29662, 38.14847, -169.7975, -35.28482, 27.71953, -183.2723, -8.988205, 10.42894, -13.47478, 3.540314
