SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
06EC, full, 72", male, 17, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.396647, 0.5819669, -0.7099195, 0.002816016, -0.3574463, -0.9339294, 140.6563, 209.193, 325.7231, 200.9435, 179.8272, 179.5486, 60.28723, 29.36577, -146.1745, 0.584919, 0.5985705, 0.5473418, 0.5832894, 0.5309417, 0.6147149, 47.55974, 46.90083, 44.33913, 40.81783, 43.49739, 47.68983, -6.741909, 3.403439, 3.350708, -93.09657, 162.2922, -281.384, -160.1257, 136.3298, -131.8588, -67.02913, 25.96233, 149.5252, 6.263797
1, 8, -0.0433495, -0.364442, -0.9302168, -0.0123104, -0.3328068, -0.9429147, 201.3943, 182.6681, 186.7833, 199.4408, 180.748, 182.1184, -1.953583, 1.920135, -4.664948, 0.255463, -0.008431572, -0.9667821, 0.1964936, -0.08401199, -0.9768993, 180.4997, 165.1984, 91.89037, 184.9153, 168.6273, 113.1494, 4.415573, -3.428833, 21.25905, -20.89467, 17.4697, -94.89296, -14.52551, 12.12073, -68.96896, 6.369156, 5.348969, 25.924, 2.708875
2, 1, -0.02774277, -0.3637708, -0.9310755, -0.01543529, -0.3284328, -0.9444012, 201.3406, 181.7067, 184.3612, 199.1761, 180.9364, 182.6907, -2.164505, 0.7703552, -1.670456, -0.3613254, 0.6043741, -0.7100536, -0.326309, 0.6652157, -0.6715732, 139.5967, 206.9702, 329.1269, 135.2725, 205.9145, 333.8706, -4.324188, 1.055679, 4.743713, -61.74388, -25.2635, 144.7657, -63.90356, -24.97818, 151.1799, -2.159683, -0.2853241, 6.414169, 2.499418
3, 5, -0.01335894, -0.3397033, -0.9404379, -0.003190971, -0.3321552, -0.9432194, 199.8606, 180.8138, 182.252, 199.3997, 180.1938, 180.5504, -0.460907, 0.6200104, -1.701599, 0.7791779, -0.6217974, 0.07905709, 0.9202693, -0.3596892, -0.15404, 277.2459, 84.20647, 128.5905, 246.8165, 99.50241, 111.3482, -30.42934, -15.29594, -17.24232, 77.38524, 96.60737, -53.66154, 47.41681, 80.69142, -69.20226, -29.96843, 15.91595, -15.54072, 4.453272
4, 7, -0.05115367, -0.4173733, -0.9072943, -0.0286285, -0.3266227, -0.9447211, 204.7034, 183.2269, 186.9874, 199.072, 181.7357, 185.0092, -5.631348, 1.491211, -1.978195, 0.3067997, 0.2402827, -0.9209443, 0.4040166, 0.3827722, -0.8308164, 165.377, 161.5752, 51.93227, 155.2636, 154.0669, 46.54669, -10.1134, 7.508362, -5.385582, -39.32635, 21.65172, -135.0551, -43.80841, 27.66887, -138.4625, -4.482056, -6.017151, -3.407394, 5.239011
5, 0, -0.072017, -0.3551347, -0.9320372, -0.02555356, -0.3304049, -0.9434932, 200.8584, 184.4184, 191.4634, 199.2999, 181.5514, 184.4225, -1.558456, 2.866959, -7.040985, -0.2354243, -0.499379, -0.8337841, -0.1764558, -0.4453429, -0.8778002, 210.9187, 195.7674, 205.2408, 206.9005, 191.3661, 201.6147, -4.018204, 4.40123, -3.626099, 10.06032, -11.34898, 13.77734, 7.600571, -9.814713, 17.19223, -2.459747, -1.534271, 3.414886, 4.163944
6, 3, -0.06660057, -0.4011113, -0.9136051, -0.02229572, -0.3283456, -0.9442945, 203.7035, 184.1694, 189.4274, 199.1733, 181.3526, 183.8846, -4.530167, 2.816864, -5.54277, -0.3999302, -0.898151, 0.1827039, -0.02972711, -0.9512549, 0.3069697, 281.4984, 294.5528, 204.0025, 287.8849, 354.4687, 181.7899, 6.386536, -59.91589, -22.2126, 77.79485, -110.3834, 14.57515, 88.71155, -173.1161, -2.094681, 10.9167, 62.73276, -16.66983, 3.773297
7, 2, -0.1160366, -0.4140308, -0.9028367, -0.05757288, -0.3283308, -0.9428066, 204.6357, 187.3238, 195.6561, 199.2006, 183.4945, 189.9457, -5.435074, 3.8293, -5.710388, -0.7949608, -0.5057147, 0.335097, -0.7997813, -0.45173, 0.3953351, 303.5293, 292.8567, 237.5375, 311.191, 296.3034, 240.5415, 7.661774, -3.446655, 3.003998, 98.89362, -105.533, 41.88139, 111.9905, -112.8089, 50.59578, 13.09685, 7.275955, 8.714386, 3.677265
8, 6, -0.1122727, -0.4246713, -0.8983591, -0.0668885, -0.3230883, -0.944002, 205.301, 187.1236, 194.8088, 198.8937, 184.053, 191.6966, -6.407272, 3.070633, -3.112167, 0.2953072, -0.7438836, -0.5995257, 0.2863754, -0.9309491, -0.2265456, 231.1333, 153.7766, 158.3479, 256.323, 128.3468, 162.9012, 25.18971, 25.42982, 4.553345, 25.83228, 33.34702, -36.46089, 57.42926, 55.70621, -28.79538, 31.59698, -22.35919, 7.665512, 3.321304
9, 7, -0.05417316, -0.4238748, -0.9040993, -0.0205864, -0.3235527, -0.9459862, 205.1189, 183.429, 187.2832, 198.8821, 181.2467, 183.6406, -6.236832, 2.182358, -3.642578, 0.2719986, 0.2808708, -0.9203958, 0.4063767, 0.379444, -0.831192, 163.0297, 163.5364, 44.08062, 155.463, 153.9456, 46.96295, -7.566711, 9.590759, 2.882328, -42.08916, 19.89267, -143.2025, -43.41904, 27.30107, -136.6776, -1.32988, -7.408401, 6.524902, 3.008212
