SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
07BS, full, 72", male, 16, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.02203478, -0.3040371, -0.9524055, -0.007557175, -0.09712231, -0.9952437, 197.7047, 181.3253, 184.1452, 185.5736, 180.435, 184.4493, -12.13104, 0.8903046, 0.3040771, 0.5630128, 0.5236307, 0.6393961, 0.5246822, 0.726921, 0.4430514, 39.31561, 41.36515, 47.0756, 58.6381, 49.82163, 35.82126, 19.32248, -8.456474, -11.25434, -158.3891, 139.9602, -137.0696, -126.9355, 130.6134, -148.628, 31.45352, 9.346771, -11.55843, 2.698029
1, 8, -0.0599089, -0.1846818, -0.9809709, -0.01009548, -0.1189312, -0.9928512, 190.6619, 183.4948, 197.9725, 186.8308, 180.5826, 184.8519, -3.831177, 2.912201, -13.12061, 0.3545617, 0.1563673, -0.9218652, 0.1826798, 0.02022069, -0.9829645, 170.3731, 158.9626, 66.20177, 178.8215, 169.4719, 83.68369, 8.448441, -10.50935, 17.48193, -20.28885, 24.53218, -131.7708, -8.009232, 11.11063, -101.1682, 12.27962, 13.42155, 30.60253, 2.143758
2, 1, 0.003924534, -0.1068223, -0.9942705, 0.0002131597, -0.1023651, -0.9947469, 186.1322, 179.7738, 177.896, 185.8754, 179.9877, 179.8807, -0.2568359, -0.2138824, 1.984726, -0.3100366, 0.7268096, -0.6128826, -0.2420341, 0.7528014, -0.6121352, 130.1393, 206.8333, 336.8983, 129.1161, 201.5735, 342.1768, -1.023224, 5.259811, 5.278564, -55.99294, -27.05946, 159.0023, -56.75932, -21.58577, 162.2961, -0.7663879, -5.473694, 3.293839, 2.398681
3, 5, -0.01576666, -0.3165973, -0.9484292, 0.06400424, -0.09249406, -0.993654, 198.4596, 180.9524, 182.851, 185.318, 176.3145, 145.3175, -13.1416, 4.637894, -37.53354, 0.9820709, 0.1882314, -0.01029091, 0.9778737, -0.1443399, -0.1514231, 93.12933, 90.60037, 79.14983, 223.6281, 98.80231, 98.39656, 130.4987, -8.201935, 19.24673, -105.3303, 90.35202, -103.7012, 38.31003, 77.51219, -46.9209, 143.6403, 12.83983, 56.78027, 2.975687
4, 7, 0.1055003, -0.1314344, -0.9856951, 0.03164615, -0.1251275, -0.9916358, 187.5951, 173.8908, 141.2465, 187.1917, 178.1721, 165.8069, -0.4033813, -4.281326, 24.56033, -0.03459608, -0.2084491, -0.9774212, 0.4081237, 0.4770664, -0.778359, 192.0388, 182.0271, 189.4234, 148.4953, 152.3302, 40.54654, -43.54347, 29.6969, -148.8769, 4.443665, -8.136337, 48.1769, -38.69643, 25.84189, -125.2603, -43.14009, -33.97823, -173.4372, 3.632505
5, 0, 0.02275766, -0.1275232, -0.9915744, 0.005346432, -0.1133464, -0.9935411, 187.3284, 178.6852, 169.8816, 186.5084, 179.6917, 177.2994, -0.8200226, -1.006454, 7.417847, -0.2817153, -0.2285616, -0.9318777, -0.1539533, -0.3737517, -0.9146628, 193.7809, 196.8206, 230.9468, 202.226, 189.5543, 202.3874, 8.445114, 7.266266, -28.55942, 6.452515, -18.13531, 61.06526, 15.71765, -9.862595, 25.088, 9.265137, -8.27272, -35.97726, 3.619947
6, 3, 0.02904037, -0.1291984, -0.9911935, -0.005446739, -0.1241911, -0.9922433, 187.4264, 178.3218, 167.332, 187.1342, 180.3145, 182.5112, -0.2922668, -1.992706, 15.17928, -0.3090435, -0.9202893, 0.2399162, -0.05257662, -0.9463243, 0.3189137, 284.6116, 307.8228, 198.5626, 288.6239, 350.6383, 183.18, 4.01236, -42.81549, -15.38263, 97.18515, -129.501, 31.23067, 101.4898, -170.3238, 0.6687622, 4.304626, 40.82278, -30.5619, 2.498752
7, 2, 0.02778542, -0.2045583, -0.9784601, 0.03699663, -0.1214566, -0.9919071, 191.8083, 178.3734, 172.2648, 186.981, 177.864, 163.0589, -4.827301, 0.5094604, -9.205917, -0.9149586, 0.3469272, 0.2061368, -0.8882658, -0.164738, 0.4287718, 59.28212, 282.6965, 290.7654, 338.9828, 295.7669, 259.4933, 279.7007, -13.07037, -31.27206, -132.5262, -104.3231, 118.5006, 152.0018, -117.903, 96.43443, 284.528, 13.57983, -22.06615, 2.487962
8, 6, 0.1209437, -0.1003007, -0.9875791, 0.02451466, -0.1053872, -0.9941291, 185.7992, 173.0181, 129.6695, 186.0513, 178.5874, 166.905, 0.2520905, -5.569351, 37.2355, 0.3560311, -0.8600137, -0.3655388, 0.3394743, -0.9139818, -0.2222487, 246.9726, 135.7549, 157.5113, 256.3329, 123.2122, 159.6238, 9.360245, 12.54276, 2.112564, 61.17343, 37.26314, 27.84175, 70.28159, 55.37524, -7.281189, 9.108154, -18.11211, -35.12294, 2.798672
9, 7, -0.06245708, -0.1475973, -0.9870735, 0.002231475, -0.1136012, -0.9935239, 188.5044, 183.6206, 202.9361, 186.523, 179.8713, 178.8747, -1.981476, 3.749252, -24.06139, 0.4072928, 0.4849683, -0.7738984, 0.3879848, 0.4612541, -0.7979426, 147.9264, 152.2428, 40.02468, 149.9698, 154.0695, 40.06894, 2.04335, -1.826767, 0.04425812, -40.57802, 31.37781, -162.9114, -36.55319, 25.80179, -138.8057, 4.024826, 5.576019, 24.10565, 3.409645
