SubjectID, Experiment, Height, Gender, Age, RandomOrderId, TrialArray
08BF, full, 68", male, 20, 4, [4,8,1,5,7,0,3,2,6,7,5,8,1,4,6,2,3,0,4,3,0,8,5,6,7,1,2]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, -0.01568647, -0.1311178, -0.9912428, 0.01475896, -0.1827962, -0.98304, 187.5351, 180.9066, 186.8222, 190.5338, 179.1398, 175.384, 2.998703, 1.766785, -11.43828, 0.425473, 0.5424749, 0.7243575, 0.5035596, 0.6520915, 0.5667489, 36.82972, 30.42912, 38.10774, 49.00529, 41.62127, 37.67612, 12.17557, -11.19216, -0.4316139, -150.7054, 150.4775, -148.7145, -141.5285, 137.5186, -137.7078, 9.17688, 12.95894, 11.00667, 4.075267
1, 8, -0.009561731, -0.1462967, -0.9891946, 0.01405138, -0.1763133, -0.9842337, 188.4128, 180.5538, 183.7394, 190.1561, 179.1821, 175.4434, 1.743332, 1.371735, -8.296036, 0.1593453, 0.1939596, -0.9679819, 0.2079835, -0.004417422, -0.9781224, 168.6694, 170.652, 39.40442, 180.2588, 167.9957, 91.21674, 11.58937, 2.656357, 51.81232, -19.74338, 9.901779, -144.335, -9.897339, 11.1864, -84.22666, 9.846039, -1.284622, 60.10836, 3.396922
2, 1, -0.002634669, -0.1770056, -0.9842064, 0.002576406, -0.1724158, -0.9850209, 190.1954, 180.1534, 180.8528, 189.9283, 179.8501, 179.1439, -0.2670898, 0.3032227, -1.708878, -0.252136, 0.5398608, -0.8031052, -0.2847026, 0.7404525, -0.6088305, 146.0903, 197.4297, 334.9656, 129.4285, 205.0618, 338.9684, -16.6619, -7.63208, 4.002747, -44.10509, -17.27638, 154.1128, -60.49989, -25.21169, 159.8245, -16.39481, 7.935303, 5.711624, 3.129564
3, 5, -0.006626618, -0.1901112, -0.9817402, 0.003691577, -0.1723155, -0.9850349, 190.9595, 180.3867, 181.9963, 189.9225, 179.7853, 178.7727, -1.036972, 0.6014557, -3.223602, 0.9983916, 0.002794558, -0.05662634, 0.9712918, -0.1943907, -0.1371294, 177.1747, 93.2462, 89.83962, 234.7996, 98.03605, 101.3174, 57.62492, -4.789848, 11.47781, -13.78481, 87.14053, -92.1567, 44.87709, 81.74923, -77.45528, 58.6619, 5.391304, 14.70142, 3.266031
4, 7, -0.02463164, -0.1768674, -0.9839265, -0.007173643, -0.1691941, -0.9855567, 190.1905, 181.4341, 187.9284, 189.7412, 180.417, 182.4278, -0.4492493, 1.017014, -5.500534, 0.2793444, 0.2914018, -0.9149054, 0.4054782, 0.4542949, -0.7932235, 162.3331, 163.0212, 43.78977, 150.1994, 152.9249, 41.75032, -12.1337, 10.09631, -2.039452, -27.85741, 18.41284, -144.1386, -39.54185, 27.49214, -140.6775, -11.68445, -9.0793, 3.46109, 3.121716
5, 0, 0.01375623, -0.2824843, -0.9591734, -0.003219063, -0.1647277, -0.9863338, 196.4101, 179.1783, 177.2121, 189.4815, 180.187, 181.1195, -6.92865, -1.008667, 3.907471, -0.3300454, -0.3372449, -0.8816667, -0.157056, -0.3917153, -0.9065829, 200.9323, 200.523, 224.3819, 203.3681, 189.8284, 201.848, 2.435883, 10.69466, -22.53381, 4.522141, -21.34468, 47.1698, 13.88667, -9.641357, 20.72852, 9.364532, -11.70332, -26.44128, 3.321471
6, 3, 0.02936878, -0.1793841, -0.9833407, 0.01060062, -0.1736633, -0.9847481, 190.3384, 178.2893, 170.702, 190.0014, 179.3833, 176.5069, -0.3369446, -1.093964, 5.804916, -0.07878286, -0.7924589, 0.6048159, -0.08442852, -0.9242368, 0.3723684, 307.3514, 352.5785, 185.6774, 291.9442, 347.2251, 185.2195, -15.40723, 5.353394, -0.4579926, 117.013, -174.2892, 14.97542, 101.9427, -167.8418, 8.712509, -15.07028, -6.447357, -6.262909, 3.343847
7, 2, 0.005887041, -0.1729997, -0.9849043, 0.007161535, -0.1652076, -0.9862328, 189.9624, 179.6575, 178.051, 189.5095, 179.584, 177.5179, -0.4528961, 0.07357788, -0.5331573, -0.9294845, -0.096848, 0.3559202, -0.8929288, -0.2339982, 0.3846076, 344.778, 290.9529, 264.0515, 328.6833, 293.3028, 255.3154, -16.09467, -2.349854, -8.736069, 154.8156, -111.2954, 86.00049, 139.1738, -113.7188, 77.79758, -15.64177, 2.423431, -8.202911, 3.231245
8, 6, 0.0102532, -0.181748, -0.9832918, 0.03027241, -0.1597757, -0.9866891, 190.4722, 179.4026, 176.7711, 189.1981, 178.2427, 169.2715, -1.274033, 1.159912, -7.499664, 0.3755922, -0.7520899, -0.5415637, 0.3082944, -0.9135506, -0.2652922, 234.2431, 145.2574, 153.4626, 253.8069, 130.7125, 161.3521, 19.56375, 14.54492, 7.889526, 43.77098, 34.14514, -23.30856, 64.60876, 47.53015, -7.919373, 20.83778, -13.38501, 15.38919, 11.5921
9, 7, 0.006476964, -0.2181968, -0.9758833, 0.01208647, -0.1572994, -0.9874769, 192.6034, 179.6197, 178.2997, 189.0508, 179.2988, 175.6062, -3.552567, 0.3209839, -2.693558, 0.2911841, 0.2763836, -0.9158736, 0.40347, 0.443435, -0.8003608, 163.2077, 162.363, 46.49376, 151.0116, 153.2469, 42.29825, -12.19612, 9.116089, -4.195515, -29.39566, 17.25677, -131.806, -38.03922, 26.05188, -133.3079, -8.643555, -8.795105, -1.501953, 3.062781
