SubjectID, Experiment, Height, Gender, Age, TrialArray
01RPFlat, flat, 73, male, 29, [3,3,6,5,4,8,1,1,3,4,0,8,0,2,7,6,7,7,8,2,2,5,4,5,6,1,0]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.07643943, -0.1433159, -0.9867209, 0.01361634, -0.1609959, -0.9868611, 188.2641, 184.4297, 208.0738, 189.2656, 179.2095, 175.1657, 1.00145, 5.220245, -32.90814, 0.9263162, -0.06390171, -0.3712884, 0.9837085, -0.1537296, -0.09319235, 189.7654, 111.842, 93.94629, 238.7754, 95.41181, 98.88209, 49.00998, 16.43021, 4.935799, 1.501266, 72.58772, -114.1275, 49.5098, 83.79769, -76.28359, 48.00853, -11.20997, 37.84394, 8.895046
1, 3, 0.04354925, -0.1212588, -0.9916651, 0.002696633, -0.1586996, -0.9873232, 186.9714, 177.4855, 160.2446, 189.1315, 179.8435, 179.0265, 2.160049, -2.358063, 18.78194, 0.9531451, -0.09087483, -0.2885414, 0.9819369, -0.1584809, -0.1033619, 197.4816, 106.8424, 95.44624, 236.8875, 96.00901, 99.16826, 39.40587, 10.8334, 3.722023, 10.51018, 70.64305, -64.79836, 47.756, 83.83451, -79.85828, 37.24582, -13.19146, -15.05991, 4.1204
2, 6, -0.1244018, -0.2727124, -0.954019, -0.0001947354, -0.1515844, -0.9884443, 195.9529, 187.4293, 204.5208, 188.7188, 180.0113, 180.0736, -7.234177, 7.418015, -24.44719, 0.833096, -0.1945708, 0.5177773, 0.8220488, -0.3256644, 0.4670956, 339.4047, 58.13865, 103.1459, 325.1154, 60.39437, 111.6116, -14.28937, -2.255726, 8.465706, 143.4518, 129.2907, -101.3749, 136.3966, 119.6169, -68.46203, -7.055191, 9.673744, 32.9129, 22.92534
3, 5, 0.006808049, -0.06941162, -0.9975649, -0.002494702, -0.1605824, -0.9870192, 183.9803, 179.609, 174.3982, 189.2407, 180.1448, 180.89, 5.260452, -0.5358276, 6.491821, -0.8339535, -0.1105551, 0.5406471, -0.316731, -0.646814, 0.6937674, 348.4431, 302.9551, 262.4485, 317.006, 335.4615, 206.09, -31.43716, -32.50641, -56.35847, 164.4628, -123.3461, 88.05028, 127.7652, -155.3167, 25.19998, -36.69762, 31.97058, -62.8503, 4.554821
4, 4, 0.01241339, -0.1279818, -0.991699, -0.008196552, -0.1643448, -0.9863689, 187.3535, 179.2829, 174.46, 189.4595, 180.4761, 182.8552, 2.105942, -1.193253, 8.395203, 0.7589703, -0.006720012, -0.6510906, 0.7749087, 0.1401636, -0.6163364, 180.5913, 130.625, 90.50729, 167.188, 128.4976, 79.74733, -13.40331, 2.127441, -10.75996, -6.762207, 48.65785, -83.95272, -22.27145, 51.97855, -103.1079, -15.50925, -3.320694, -19.15516, 4.485612
5, 8, 0.007372227, -0.11272, -0.9935996, -0.002578527, -0.1601129, -0.9870953, 186.4723, 179.5749, 176.258, 189.2135, 180.1497, 180.9226, 2.74118, -0.5747833, 4.664597, 0.1650958, 0.02002479, -0.9860742, 0.1991117, 0.006586716, -0.9799547, 178.8366, 170.4953, 83.08427, 179.6149, 168.5147, 88.10532, 0.7782745, 1.98056, 5.021049, -7.635681, 9.079605, -93.17376, -9.598587, 11.63495, -92.81731, -1.962906, -2.555344, 0.3564529, 5.185359
6, 1, 0.01653941, -0.1091832, -0.9938841, -0.008446979, -0.1598771, -0.9871008, 186.2691, 179.0466, 171.3862, 189.2001, 180.4903, 183.0244, 2.931, -1.44368, 11.6382, -0.3717905, 0.0007300577, -0.9283165, -0.4006566, 0.1182098, -0.9085707, 179.9549, 201.8261, 270.1125, 172.5872, 203.7963, 286.4382, -7.367783, -1.970184, 16.32568, -6.314148, -22.77946, 98.72633, -16.61293, -23.30597, 103.4138, -10.29878, 0.5265045, 4.687485, 3.687141
7, 1, 0.03288422, -0.07459336, -0.996672, -0.005682565, -0.1609042, -0.9869536, 184.2802, 178.1103, 156.2099, 189.2595, 180.3299, 182.0226, 4.97937, -2.21962, 25.81276, -0.4686686, 0.0266929, -0.8829708, -0.3924356, 0.1166829, -0.9123483, 178.2684, 207.9587, 273.2597, 172.7118, 203.2744, 286.5588, -5.556595, 4.684372, 13.29907, -6.011734, -29.84846, 117.0499, -16.5477, -22.94447, 104.5362, -10.53596, -6.903992, -12.51369, 3.477099
8, 3, -0.01299319, -0.06987533, -0.9974711, -0.0008100998, -0.1631489, -0.9866011, 184.0072, 180.7463, 190.5337, 189.3897, 180.047, 180.2845, 5.382538, 0.6992645, -10.24924, 0.9267225, -0.07331897, -0.3685238, 0.9784822, -0.161118, -0.1288937, 191.2522, 111.6859, 94.52362, 231.3403, 97.50426, 99.35049, 40.0881, 14.18165, 4.826866, 7.245071, 69.06039, -96.01012, 41.95064, 82.54278, -80.93401, 34.70557, -13.48238, 15.0761, 5.597916
9, 4, -0.01255201, -0.07401795, -0.9971781, -0.004978528, -0.1619442, -0.9867874, 184.2451, 180.7212, 189.6247, 189.3199, 180.2891, 181.7608, 5.074738, 0.4321136, -7.863831, 0.5385602, 0.1723177, -0.8247786, 0.7830527, 0.1346357, -0.6072081, 168.1992, 146.8564, 72.25742, 167.4981, 127.7913, 80.24413, -0.7010498, 19.06512, 7.986717, -16.04596, 33.86473, -117.3673, -21.82175, 52.49774, -101.5167, -5.775787, -18.63301, 15.85055, 3.899986
