SubjectID, Experiment, Height, Gender, Age, TrialArray
HA, flat, 70, female, 26, [8,4,5,1,7,3,2,6,7,5,4,1,3,3,0,6,7,1,2,4,6,0,8,8,2,0,5]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 8, -0.008987953, -0.1645023, -0.9863358, 0.01737338, -0.1389768, -0.9901432, 189.4687, 180.5221, 183.1274, 187.9899, 178.9948, 172.8745, -1.478851, 1.527313, -10.2529, 0.1619722, 0.04669129, -0.9856902, 0.2014389, 0.01166407, -0.9794316, 177.288, 170.6684, 73.91946, 179.3177, 168.3781, 86.68607, 2.029739, 2.290268, 12.76661, -12.18074, 9.853745, -109.2079, -8.67215, 10.6167, -86.1884, 3.508591, -0.7629547, 23.01951, 8.529085
1, 4, -0.0340749, -0.1626373, -0.9860976, 0.01528074, -0.1374473, -0.9903913, 189.3655, 181.9791, 191.8331, 187.9011, 179.1161, 173.6562, -1.464401, 2.863022, -18.17696, 0.897625, 0.05235096, -0.43764, 0.7457698, 0.144368, -0.6503731, 173.1786, 115.9917, 86.6622, 167.4846, 131.0911, 79.04405, -5.694061, -15.09942, -7.618149, -16.18686, 65.98737, -105.1709, -20.41652, 48.02493, -94.61214, -4.22966, 17.96244, 10.55881, 5.106042
2, 5, 0.009870106, -0.08442645, -0.996381, 0.006213443, -0.1379107, -0.9904252, 184.8433, 179.4324, 173.332, 187.9271, 179.6406, 177.4203, 3.083847, -0.2081146, 4.088379, -0.4271349, -0.5246047, 0.7364412, -0.5078721, -0.6743109, 0.5360697, 324.5358, 329.8863, 219.1526, 308.4843, 316.5472, 216.986, -16.05148, 13.33911, -2.16655, 139.6925, -150.4539, 45.82063, 120.5572, -136.9066, 39.5657, -19.13533, -13.54723, -6.254929, 4.673663
3, 1, -0.02948668, -0.08152859, -0.9962348, 0.01552888, -0.1433712, -0.9895471, 184.6785, 181.6954, 199.8837, 188.244, 179.1009, 173.8183, 3.565491, 2.594421, -26.06543, -0.5745918, 0.07024343, -0.8154202, -0.3616297, 0.1223959, -0.9242527, 175.0765, 215.1707, 276.9698, 172.4564, 201.3688, 288.6987, -2.620087, 13.80194, 11.72894, -9.60199, -33.47536, 77.08611, -15.78757, -22.26784, 114.8805, -6.185577, -11.20752, 37.79437, 5.007185
4, 7, -0.008561786, -0.08398273, -0.9964306, 0.01528842, -0.1413586, -0.9898403, 184.8177, 180.4923, 185.821, 188.1274, 179.1151, 173.8273, 3.309723, 1.377182, -11.99374, 0.5661593, -0.02232099, -0.8239937, 0.4143575, -0.001251752, -0.9101133, 181.5517, 145.5074, 92.25774, 180.0788, 155.5211, 90.17309, -1.472885, -10.01376, -2.084648, -3.266022, 34.98494, -93.56328, -8.04863, 23.59399, -83.65418, -4.782608, 11.39095, 9.909096, 5.375747
5, 3, -0.03288306, -0.08656372, -0.9957038, 0.01670052, -0.1384512, -0.9902285, 184.9686, 181.8915, 200.8003, 187.9594, 179.0338, 173.122, 2.990707, 2.857727, -27.67834, 0.9958762, -0.0270996, 0.0865819, 0.9658461, -0.1404425, -0.217755, 342.6202, 85.03117, 91.55874, 212.8203, 102.7052, 98.27333, -129.8, -17.67403, 6.714592, 157.6516, 96.86034, -109.2416, 24.8609, 76.32858, -74.84866, -132.7907, 20.53176, 34.39294, 5.653117
6, 2, -0.01790973, -0.09103572, -0.9956866, 0.01206759, -0.1380071, -0.9903577, 185.224, 181.0305, 191.1298, 187.9331, 179.3019, 175.0027, 2.709091, 1.728592, -16.12717, -0.9158623, -0.1168063, 0.3841258, -0.9970501, -0.02251485, 0.07337739, 343.0864, 292.7539, 262.7319, 342.9421, 274.2091, 268.7064, -0.1442871, 18.5448, 5.974487, 157.8623, -111.7234, 71.60208, 155.009, -94.9072, 93.70374, -2.853378, -16.81621, 22.10165, 4.922943
7, 6, -0.1161032, -0.07627593, -0.9903039, 0.02181149, -0.1397361, -0.9899486, 184.4044, 186.6868, 236.6964, 188.0345, 178.7378, 171.1283, 3.630112, 7.94902, -65.56816, 0.7220314, -0.0519828, 0.6899047, 0.8859864, -0.2960769, 0.3568843, 355.691, 46.30346, 94.11792, 320.3204, 68.05993, 108.4785, -35.37067, -21.75647, 14.36056, 171.2867, 140.3834, -142.5785, 132.2859, 110.6779, -62.64979, -39.00078, 29.70548, 79.92872, 5.232598
8, 7, -0.00532359, -0.1010171, -0.9948707, 0.01832072, -0.1415034, -0.9897682, 185.7978, 180.3066, 183.0167, 188.1362, 178.9396, 172.6228, 2.338409, 1.36702, -10.39383, 0.4858567, 0.05934524, -0.8720215, 0.4187714, -0.003320422, -0.9080856, 176.1068, 150.8751, 83.03607, 180.2095, 155.2428, 90.45428, 4.102737, -4.367676, 7.418213, -9.691055, 29.43144, -99.98061, -7.926727, 23.69675, -82.16856, 1.764328, 5.734695, 17.81204, 4.753451
9, 5, -0.004643631, -0.08309093, -0.9965311, 0.02011782, -0.1415399, -0.9897281, 184.7663, 180.267, 183.1987, 188.1386, 178.8355, 171.9104, 3.37233, 1.431458, -11.28825, -0.4678767, -0.440565, 0.7661552, -0.4463433, -0.7039927, 0.5524237, 330.0996, 328.5884, 226.722, 308.1213, 321.0627, 212.3754, -21.97833, 7.525635, -14.34665, 145.3333, -148.3214, 43.52335, 119.9827, -142.2272, 40.46495, -25.35066, -6.094177, -3.058395, 4.535145
10, 4, -0.02101402, -0.07733084, -0.996784, 0.0242937, -0.1373838, -0.99022, 184.4361, 181.2077, 195.2025, 187.8988, 178.5946, 169.972, 3.462708, 2.613098, -25.23055, 0.8409768, 0.09926023, -0.5318889, 0.7493318, 0.1430112, -0.6465676, 169.4292, 122.3119, 83.26855, 167.5278, 130.7896, 79.19495, -1.901337, -8.477623, -4.073601, -15.00697, 58.89577, -111.934, -20.37102, 47.80505, -90.77705, -5.364044, 11.09072, 21.15694, 4.885891
11, 1, 0.01563024, -0.07209637, -0.9972754, 0.01533555, -0.1388015, -0.9902015, 184.1349, 179.1021, 167.7678, 187.9794, 179.1127, 173.6952, 3.844543, -0.01063538, 5.92746, -0.605796, 0.09706332, -0.7896772, -0.3580565, 0.1224629, -0.925634, 172.9926, 217.4934, 279.1028, 172.4635, 201.1476, 288.8818, -0.5291748, 16.34578, 9.778961, -11.14227, -38.39131, 111.3351, -15.51599, -22.0349, 115.1866, -4.373718, -16.35641, 3.851501, 3.954142
12, 3, -0.006139856, -0.1050339, -0.9944497, 0.02178909, -0.1397285, -0.9899501, 186.0292, 180.3537, 183.3455, 188.0341, 178.7391, 171.1368, 2.004822, 1.614624, -12.20871, 0.9998513, -0.01687363, 0.003542701, 0.9663412, -0.1425172, -0.214181, 281.8573, 89.79699, 90.96684, 213.64, 102.4971, 98.38957, -68.2173, -12.70009, 7.422737, 95.82806, 90.55676, -92.37864, 25.60594, 76.24204, -72.74719, -70.22212, 14.31471, 19.63145, 5.085456
13, 3, -0.03883373, -0.0819078, -0.9958832, 0.01138973, -0.1404849, -0.9900173, 184.7018, 182.2331, 205.3663, 188.0764, 179.3409, 175.3649, 3.374649, 2.892197, -30.00142, 0.9917766, -0.02460706, 0.1255926, 0.9657394, -0.1392092, -0.219017, 348.9146, 82.78282, 91.42128, 212.4404, 102.7778, 98.20255, -136.4742, -19.99497, 6.781273, 164.2128, 99.45024, -113.9451, 24.36397, 76.56307, -77.16236, -139.8489, 22.88717, 36.78269, 4.886085
14, 0, 0.006718001, -0.08771046, -0.9961236, 0.02138006, -0.1380912, -0.9901888, 185.032, 179.6136, 175.6201, 187.9392, 178.7631, 171.199, 2.907211, 0.8505249, -4.421082, -0.3399162, -0.09988144, -0.935137, -0.1562537, -0.1715776, -0.9727003, 186.0966, 199.9759, 253.625, 190.0037, 189.126, 222.3237, 3.907043, 10.8499, -31.30128, 1.064606, -20.36227, 78.00493, 2.064438, -10.3629, 51.12473, 0.9998322, -9.999374, -26.8802, 5.736173
15, 6, -0.01220942, -0.09406386, -0.9954914, 0.02855943, -0.1384619, -0.9899558, 185.3978, 180.7027, 187.3956, 187.9621, 178.3475, 168.3455, 2.564285, 2.355164, -19.05009, 0.5325283, -0.02868259, 0.845926, 0.9009848, -0.3096169, 0.303914, 358.058, 32.19128, 93.08304, 314.4674, 71.36008, 108.9649, -43.59061, -39.16879, 15.88188, 172.6602, 148.5114, -94.31256, 126.5053, 106.9874, -59.38058, -46.15489, 41.52396, 34.93198, 4.463308
16, 7, 0.01355501, -0.08871714, -0.9959647, 0.0005055676, -0.1388688, -0.9903106, 185.0903, 179.2203, 171.313, 187.9824, 179.9707, 179.7914, 2.89212, -0.7504883, 8.478394, 0.5944181, -0.02775365, -0.8036772, 0.4171425, -0.001002621, -0.9088405, 181.9778, 143.5125, 92.67323, 180.0632, 155.3457, 90.13771, -1.914627, -11.83315, -2.535515, -3.112442, 35.70773, -78.63979, -7.919189, 24.62508, -89.6537, -4.806747, 11.08266, -11.01391, 3.899202
17, 1, 0.01809803, -0.08749717, -0.9960005, 0.01643433, -0.1396472, -0.9900649, 185.0205, 178.959, 168.3137, 188.0285, 179.049, 173.288, 3.008057, -0.0900116, 4.97438, -0.6272386, 0.09328866, -0.7732201, -0.3456113, 0.1212743, -0.9305082, 173.1205, 219.0491, 278.4595, 172.5744, 200.3761, 289.3359, -0.5461121, 18.67297, 10.87634, -11.89992, -40.09006, 110.1459, -15.45409, -21.32707, 116.0478, -3.554169, -18.76299, 5.901962, 4.109534
18, 2, 0.006925092, -0.08438785, -0.996409, 0.0207856, -0.1415433, -0.9897138, 184.8409, 179.6018, 175.3087, 188.1389, 178.7969, 171.6458, 3.297989, 0.8049164, -3.662827, -0.8163448, -0.171901, 0.5513902, -0.9902216, -0.02976425, 0.1362909, 342.6846, 304.0366, 258.1087, 347.6807, 277.8368, 268.2783, 4.996094, 26.19983, 10.16959, 157.8437, -124.4348, 82.80006, 159.5418, -99.03989, 96.63248, 1.698105, -25.39491, 13.83241, 4.136986
19, 4, -0.02530492, -0.09764414, -0.9948997, 0.02657577, -0.1405598, -0.9897155, 185.6053, 181.457, 194.5288, 188.0831, 178.4619, 169.2934, 2.477783, 2.995117, -25.2354, 0.8658622, 0.07456377, -0.4946951, 0.7558715, 0.1448233, -0.6385018, 171.4285, 119.7407, 85.07812, 167.2206, 130.1885, 79.1537, -4.207962, -10.44781, -5.924416, -14.17682, 61.71626, -109.4507, -20.86256, 48.27333, -90.13972, -6.685745, 13.44292, 19.31098, 4.231461
20, 6, 0.01380488, -0.05989138, -0.9981096, 0.01718916, -0.141832, -0.9897414, 183.4339, 179.2076, 167.0201, 188.1551, 179.005, 173.0898, 4.721176, 0.2025757, 6.069702, 0.5065187, -0.09120924, 0.8573912, 0.9111835, -0.3180989, 0.2618355, 353.9277, 30.57321, 100.2079, 309.4587, 73.9676, 109.2444, -44.46902, -43.39439, 9.036453, 170.4938, 148.6344, -66.8122, 121.3036, 105.0374, -63.84545, -49.1902, 43.59696, 2.966751, 4.250381
21, 0, -0.02276585, -0.03825838, -0.9990087, 0.009851721, -0.1410729, -0.9899502, 182.1931, 181.3055, 210.755, 188.1103, 179.4298, 176.0053, 5.917175, 1.875626, -34.74971, -0.2884097, -0.08228537, -0.953965, -0.1627046, -0.172075, -0.971554, 184.9299, 196.8215, 254.0762, 190.0437, 189.507, 223.3967, 5.113754, 7.314499, -30.67946, 2.736771, -15.51605, 43.32118, 1.93335, -10.07718, 47.39143, -0.803421, -5.438873, 4.070251, 3.704337
22, 8, 0.01358063, -0.08637136, -0.9961706, 0.01427432, -0.1396303, -0.9901008, 184.9554, 179.2189, 171.0643, 188.0273, 179.174, 174.163, 3.07193, 0.04493713, 3.098709, 0.2795816, 0.03137997, -0.9596092, 0.2021627, 0.0127239, -0.9792693, 178.127, 163.7565, 83.59598, 179.2556, 168.3356, 86.39861, 1.12854, -4.579041, 2.802635, -6.828308, 15.4624, -87.46828, -8.771698, 10.83842, -87.76435, -1.94339, 4.623978, -0.2960739, 3.486372
23, 8, -0.01915197, -0.09735565, -0.9950655, 0.02295469, -0.1378408, -0.9901884, 185.588, 181.1026, 191.1292, 187.925, 178.672, 170.5453, 2.337067, 2.430634, -20.58394, 0.3541924, 0.1254939, -0.9267144, 0.2014876, 0.01137167, -0.9794251, 172.288, 159.083, 70.49026, 179.3348, 168.3753, 86.76974, 7.046783, -9.292252, 16.27948, -13.29993, 22.01961, -120.639, -8.59021, 10.29672, -83.77554, 4.709717, 11.72289, 36.86342, 4.319532
24, 2, 0.009021616, -0.05775788, -0.9982899, 0.02371993, -0.1386992, -0.9900504, 183.3112, 179.4822, 171.1223, 187.9748, 178.6275, 170.2953, 4.663589, 0.8546753, -0.8269653, -0.8521411, -0.190063, 0.4875772, -0.9974177, -0.0218899, 0.0684019, 338.7036, 299.7773, 257.4265, 342.2543, 273.9232, 268.7428, 3.55072, 25.85413, 11.31631, 155.3924, -120.2951, 86.30415, 154.2795, -95.29561, 98.44743, -1.112869, -24.99945, 12.14328, 4.308761
25, 0, 0.05151222, -0.06217078, -0.9967353, 0.02425779, -0.1395304, -0.9899206, 183.5692, 177.0415, 140.3562, 188.023, 178.5963, 170.1375, 4.453873, -1.554733, 29.78131, -0.3618921, -0.120805, -0.9243596, -0.158446, -0.1727493, -0.9721382, 187.4458, 201.3806, 251.5402, 190.0763, 189.2571, 222.5271, 2.630478, 12.12357, -29.01312, 3.876648, -24.3391, 111.184, 2.053253, -10.6608, 52.38957, -1.823395, -13.6783, -58.79443, 3.785089
26, 5, 0.005867854, -0.06279072, -0.9980096, 0.03021606, -0.1418547, -0.9894262, 183.6001, 179.6631, 174.6612, 188.1589, 178.2508, 167.9753, 4.558838, 1.412338, -6.685852, -0.4890275, -0.3877779, 0.7813325, -0.3786756, -0.6793802, 0.6285279, 333.6046, 327.958, 231.5871, 312.7734, 328.9319, 209.1346, -20.83121, -0.973877, -22.4525, 150.0046, -148.2949, 56.92592, 124.6145, -150.6811, 41.15927, -25.39005, 2.386215, -15.76665, 4.231055
27, 8, 0.005575373, -0.05117182, -0.9986743, 0.0136812, -0.1416767, -0.9898184, 182.9333, 179.6801, 173.7819, 188.1456, 179.2081, 174.4843, 5.212387, 0.4720154, 0.7023315, 0.3971186, 0.1037881, -0.9118799, 0.200898, 0.01212765, -0.9795371, 173.5067, 156.4671, 75.3532, 179.2907, 168.4097, 86.5454, 5.783997, -11.94252, 11.1922, -9.42659, 23.21298, -98.42872, -8.85498, 10.79845, -87.93885, 0.5716095, 12.41454, 10.48987, 2.733532
