SubjectID, Experiment, Height, Gender, Age, TrialArray
gayathri, flat, 333, female, 333, [3,5,2,7,4,0,6,3,0,8,1,2,3,6,7,0,4,7,8,5,8,4,1,1,2,6,5]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 3, -0.346521, -0.2235267, -0.9110209, -0.05379692, -0.08844113, -0.9946276, 193.7857, 200.8251, 237.1756, 185.0813, 183.096, 211.3113, -8.704361, 17.72913, -25.86427, 0.9949806, 0.06818102, -0.07324787, 0.9674342, -0.0870521, -0.2376826, 137.0518, 94.21037, 86.07994, 200.1154, 103.8032, 95.14177, 63.06361, -9.592865, 9.061829, -56.73386, 106.6147, -151.0956, 15.03412, 79.29272, -116.1695, 71.76797, 27.32199, 34.9261, 6.744325
1, 5, -0.01399888, 0.02782898, -0.9995149, -0.05584525, -0.09352239, -0.9940497, 178.4052, 180.8024, 333.2961, 185.3747, 183.2155, 210.8428, 6.969543, -2.413055, -122.4534, -0.7270367, -0.3980368, 0.55945, -0.554664, -0.5372076, 0.6354178, 324.569, 307.5781, 241.3002, 319.7875, 318.8819, 225.9159, -4.781494, -11.30383, -15.38431, 146.1638, -126.7757, -91.9959, 134.4128, -135.6664, 15.07315, -11.75104, 8.890778, 107.069, 3.720298
2, 2, -0.7791879, -0.4061076, 0.4774338, -0.005912535, -0.06596641, -0.9978043, 319.6154, 301.4972, 242.4718, 183.7824, 180.3395, 185.1217, -135.833, 121.1577, -57.35007, -0.9961466, 0.07890866, -0.03828382, -0.9944612, 0.03888731, 0.09764532, 115.8811, 267.7991, 274.5292, 21.71495, 275.6078, 272.2393, -94.16615, -7.808746, -2.289825, -203.7343, 33.69806, 32.0574, -162.0674, -95.26834, 87.11765, 41.66681, 128.9664, 55.06024, 5.996366
3, 7, -0.1404427, 0.08458345, -0.9864693, -0.052322, -0.09594756, -0.9940103, 175.0992, 188.1027, 301.059, 185.5134, 183.0131, 208.6045, 10.41418, 5.089569, -92.45453, 0.2627566, 0.06651153, -0.962567, 0.3883793, 0.02529071, -0.9211525, 176.0473, 164.7317, 75.7951, 178.4273, 157.1386, 86.27425, 2.380066, 7.593094, 10.47914, 0.9480133, 23.37102, -225.2639, -7.086105, 25.87454, -122.3302, -8.034119, -2.503525, 102.9337, 4.029483
4, 4, 0.2589214, 0.07114463, -0.963275, -0.0494759, -0.09284869, -0.9944503, 175.776, 164.9549, 74.63583, 185.3341, 182.8482, 208.0516, 9.55809, -17.89331, 133.4158, -0.1246395, 0.01840847, -0.9920315, 0.7219633, 0.1934318, -0.6643443, 178.9369, 187.1612, 278.4015, 163.7664, 132.62, 75.00131, -15.17049, 54.54117, -203.4002, 3.160965, -22.20625, 203.7657, -21.56761, 50.22823, -133.0503, -24.72858, -72.43448, -336.816, 6.264926
5, 0, -0.141039, 0.07012133, -0.9875177, -0.04048967, -0.08903087, -0.9952055, 175.9384, 188.1281, 296.4355, 185.1121, 182.3298, 204.4552, 9.173676, 5.79834, -91.98032, -0.2615381, -0.2354036, -0.9360467, -0.1916097, -0.1455775, -0.9706147, 194.1164, 195.6107, 228.0105, 188.5299, 191.1672, 232.7739, -5.586487, 4.443527, 4.763412, 18.17802, -7.482635, -68.42506, 3.417862, -8.837448, 28.31866, -14.76016, 1.354813, 96.74373, 3.865088
6, 6, -0.1379578, -0.09620393, -0.9857547, -0.03692782, -0.08562946, -0.9956425, 185.5741, 187.9669, 235.1103, 184.9156, 182.1241, 203.3282, -0.658493, 5.842789, -31.7821, 0.9322817, -0.2672711, -0.2437561, 0.8859522, -0.2123025, 0.4123304, 227.6346, 104.6526, 105.9968, 332.7568, 65.0423, 103.4758, 105.1222, 39.61034, -2.520996, 42.06053, 83.31423, -129.1135, 147.8412, 117.0818, -99.85237, 105.7807, -33.76756, 29.26111, 4.321273
7, 3, -0.3212622, -0.06550913, -0.9447219, -0.03980261, -0.08550745, -0.9955422, 183.9667, 198.7811, 258.4747, 184.9091, 182.2895, 204.9614, 0.9424438, 16.49159, -53.51337, 0.942288, -0.03007678, -0.3334498, 0.9614426, -0.07492626, -0.2646019, 185.1541, 109.4875, 91.8282, 195.8103, 105.3876, 94.45612, 10.65623, 4.099854, 2.627914, 1.187408, 89.29364, -166.6465, 10.9012, 76.9019, -110.5052, 9.713791, 12.39174, 56.14128, 3.577387
8, 0, -0.3753765, 0.1377764, -0.9165753, -0.05096202, -0.09427358, -0.9942411, 171.4515, 202.2712, 290.1549, 185.4166, 182.9342, 208.3946, 13.96506, 19.33693, -81.76033, -0.1891182, -0.1676567, -0.967536, -0.1981394, -0.1469592, -0.9690942, 189.8307, 191.0598, 228.4424, 188.623, 191.5553, 233.4358, -1.207748, -0.4955292, 4.993393, 18.37921, 11.21138, -61.71248, 3.206406, -8.621078, 25.04124, -15.17281, 19.83246, 86.75372, 3.988395
9, 8, -0.1160205, -0.01048127, -0.9931915, -0.05283846, -0.09074885, -0.994471, 180.6046, 186.6629, 264.8379, 185.214, 183.0414, 210.2101, 4.60936, 3.62146, -54.62784, 0.05555991, 0.09948682, -0.9934866, 0.1722873, 0.03618791, -0.9843818, 174.2815, 176.7991, 29.18183, 177.8946, 170.0726, 78.13781, 3.613113, 6.726517, 48.95598, -6.323105, 9.863739, -235.6561, -7.319351, 12.9688, -132.0723, -0.9962463, -3.105057, 103.5838, 4.086314
