SubjectID, Experiment, Height, Gender, Age, TrialArray
01RP, full, 73, male, 29, [4,3,1,1,3,2,0,2,6,6,5,2,8,8,3,5,4,8,6,4,7,0,7,1,0,7,5]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 4, 0.01099929, -0.02294701, -0.9996763, 0.01589707, -0.1583436, -0.9872561, 181.315, 179.3696, 154.39, 189.1119, 179.0775, 174.267, 7.796967, 0.2921143, 19.87695, 0.5967007, 0.6096172, 0.5218383, 0.4708461, 0.7311311, 0.4937117, 49.43615, 48.82902, 44.38654, 55.96998, 43.64202, 32.78141, 6.533833, 5.187004, -11.60513, -131.8788, 130.5406, -110.0035, -133.1419, 135.4355, -141.4855, -1.263123, -4.894897, -31.48209, 10.95063
1, 3, 0.01725198, 0.09383628, -0.9954383, 0.01138185, -0.1776409, -0.9840296, 174.6149, 179.0071, 10.4176, 190.233, 179.3373, 176.3339, 15.61819, -0.3302155, 165.9163, -0.4826298, -0.7406034, 0.4675201, -0.04086967, -0.9516625, 0.3044146, 302.2629, 314.0889, 213.0911, 287.7383, 352.3534, 182.4591, -14.52466, -38.26447, -30.63203, 127.6481, -135.0818, 202.6735, 97.50523, -173.0161, 6.125137, -30.14285, 37.93425, -196.5484, 5.47641
2, 1, 0.06253213, -0.01271285, -0.9979621, 0.05025228, -0.1689611, -0.9843408, 180.7298, 176.4145, 101.4917, 189.7398, 177.0775, 163.4365, 9.009995, -0.6629639, 61.94482, -0.2178388, 0.5646992, -0.7960284, -0.2413376, 0.7380399, -0.6301216, 144.6483, 195.3047, 338.9053, 130.4899, 200.9569, 341.8924, -14.15833, -5.652222, 2.98703, -36.08157, -18.89015, 237.4137, -59.24989, -23.87941, 178.4559, -23.16832, 4.989258, -58.95779, 6.583981
3, 1, 0.06758104, -0.1375229, -0.9881906, 0.05840479, -0.1663431, -0.9843368, 187.9228, 176.0877, 153.8297, 189.5918, 176.6044, 160.6533, 1.669037, -0.5166626, 6.823563, -0.2658431, 0.5798249, -0.7701499, -0.2409753, 0.7330766, -0.6360264, 143.0249, 199.0438, 335.3691, 130.9453, 200.7505, 341.8034, -12.07961, -1.706665, 6.434326, -44.89784, -22.95612, 181.5394, -58.64648, -24.14612, 181.1501, -13.74864, 1.190002, -0.3892365, 5.608651
4, 3, 0.05464366, -0.1643423, -0.9848887, 0.06058856, -0.1704318, -0.983505, 189.4733, 176.8244, 161.6081, 189.8312, 176.4748, 160.4297, 0.3578491, 0.3496094, -1.178391, -0.4913923, -0.7621282, 0.4215381, -0.02585842, -0.9532214, 0.3011647, 298.9473, 310.6245, 212.8124, 287.5336, 355.0925, 181.5539, -11.41364, -44.46808, -31.25853, 109.474, -133.8001, 51.20436, 97.70247, -178.6178, 21.12422, -11.77148, 44.81769, -30.08014, 5.088193
5, 2, 0.1158378, 0.005236992, -0.9932545, 0.07459397, -0.1707368, -0.982489, 179.6979, 173.348, 87.41144, 189.8584, 175.6582, 156.3997, 10.16049, -2.310272, 68.98831, -0.9722561, 0.0630303, 0.2252674, -0.8741351, -0.2760405, 0.3996117, 15.63173, 283.045, 273.7092, 325.3644, 294.5676, 252.4745, 309.7326, -11.52258, -21.23468, -164.0662, -109.697, 186.2978, 135.506, -118.9093, 96.0748, 299.5721, 9.212311, -90.22299, 10.95154
6, 0, 0.06706394, 0.03083326, -0.9972723, 0.05764361, -0.1702082, -0.9837207, 178.2291, 176.1528, 65.30896, 189.8164, 176.6464, 161.2905, 11.5873, -0.4936371, 95.98158, -0.2972723, -0.2359125, -0.9251891, -0.1339683, -0.3853363, -0.9129997, 194.3049, 197.8127, 231.5648, 202.8824, 188.3477, 199.1708, 8.577515, 9.465042, -32.394, 16.07581, -21.65991, 166.2559, 13.06602, -11.70123, 37.88028, -3.009781, -9.958679, -128.3756, 6.351698
7, 2, 0.08538781, -0.05722488, -0.9947031, 0.06235687, -0.1659001, -0.9841691, 183.2926, 175.0936, 123.829, 189.5683, 176.3746, 159.4003, 6.275757, -1.280975, 35.57122, -0.9814923, -0.02112622, 0.1903329, -0.8840336, -0.2360148, 0.4034619, 353.6663, 280.9747, 268.7669, 329.6735, 294.5314, 255.0521, -23.99286, -13.55667, -13.71481, 170.3737, -105.8811, 144.9379, 140.1051, -118.1568, 95.65182, -30.26862, 12.2757, -49.28604, 4.642032
8, 6, 0.02771554, -0.02964249, -0.9991763, 0.09365489, -0.1665565, -0.9815741, 181.6993, 178.4111, 136.9241, 189.6304, 174.5497, 150.6509, 7.931107, 3.861389, 13.72678, 0.39288, -0.7331358, -0.555119, 0.3439284, -0.9063135, -0.2455788, 232.8676, 144.7114, 151.8136, 254.8389, 125.5284, 159.2192, 21.97137, 19.18304, 7.405624, 51.16826, 33.69969, 14.88947, 65.20853, 49.02134, 8.568314, 14.04027, -15.32165, -6.321152, 5.153758
9, 6, 0.03358192, -0.04410195, -0.9984626, 0.03560483, -0.1680325, -0.9851382, 182.5291, 178.0737, 142.7121, 189.6796, 177.9301, 168.0364, 7.150543, 0.1435394, 25.32426, 0.4368924, -0.6704853, -0.5996453, 0.3131523, -0.9134874, -0.259762, 228.1923, 143.9235, 146.9115, 254.1262, 129.6759, 161.0778, 25.93391, 14.24756, 14.16631, 45.66319, 34.15016, 4.199341, 64.44656, 48.25418, -6.958618, 18.78337, -14.10402, -11.15796, 5.841903
