SubjectID, Experiment, Height, Gender, Age, TrialArray
HAtest, full, 70, female, 26, [5,2,3,0,8,4,5,2,1,8,2,0,4,6,7,8,4,3,6,5,3,6,7,1,0,7,1]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.01811399, -0.02725961, -0.9994643, 0.002471702, -0.142388, -0.9898078, 181.5623, 178.9617, 146.396, 188.1861, 179.8569, 179.0055, 6.623779, -0.8952179, 32.60951, 0.9604038, -0.03383837, 0.2765493, 0.9622605, -0.1626259, -0.2181911, 353.024, 73.93618, 92.01789, 216.6985, 102.7757, 99.59258, -136.3255, -28.83952, 7.574684, 171.4617, 105.0255, -54.37811, 28.51245, 77.08123, -79.41293, -142.9493, 27.94431, -25.03483, 5.446558
1, 2, -0.004872014, -0.06405663, -0.9979344, 0.0007873725, -0.1396101, -0.9902062, 183.6727, 180.2797, 184.3494, 188.0253, 179.9544, 179.6769, 4.352554, 0.3252716, -4.672546, -0.9502576, -0.05525356, 0.3065251, -0.9628452, -0.1883864, 0.1934935, 349.7817, 287.8782, 266.6722, 315.7662, 281.3628, 258.9296, -34.0155, 6.51535, -7.742645, 166.109, -107.5985, 82.32283, 127.7409, -101.4084, 79.25273, -38.36806, -6.190079, -3.070099, 3.999833
2, 3, -0.02482683, -0.04442899, -0.9987041, 0.008201321, -0.137254, -0.9905019, 182.5472, 181.424, 209.1964, 187.8892, 179.5256, 176.5805, 5.342026, 1.898422, -32.61589, -0.5060778, -0.6950255, 0.5107101, -0.1285736, -0.9710955, 0.2011029, 306.3087, 315.261, 216.06, 281.6999, 327.4075, 187.5421, -24.6088, -12.14648, -28.51785, 123.7615, -133.837, 6.863586, 93.81068, -147.8819, 10.96162, -29.95082, 14.04491, 4.098038, 3.918109
3, 0, -0.0001841995, -0.05920936, -0.9982458, 0.01801777, -0.1415312, -0.9897698, 183.3944, 180.0106, 180.1783, 188.1378, 178.9571, 172.7449, 4.743362, 1.053452, -7.433319, -0.3642474, -0.3718121, -0.8538617, -0.1497443, -0.3651386, -0.918831, 203.5306, 203.1025, 224.4112, 201.6726, 189.2563, 202.2987, -1.858002, 13.84625, -22.1125, 20.13617, -23.09196, 44.23291, 13.53481, -10.29916, 29.55373, -6.601364, -12.7928, -14.67918, 3.909967
4, 8, 0.02032565, -0.05260073, -0.998409, 0.0116914, -0.1411772, -0.9899153, 183.0158, 178.8337, 158.8728, 188.1165, 179.3233, 175.2659, 5.100723, -0.4895935, 16.39316, 0.3361231, 0.03281947, -0.9412463, 0.196007, 0.008007619, -0.9805698, 178.003, 160.3481, 84.42325, 179.5321, 168.6961, 87.66055, 1.529099, -8.347961, 3.237305, -5.012802, 18.48561, -74.44952, -8.584427, 10.62724, -87.60538, -3.571625, 7.858368, -13.15585, 4.115477
5, 4, -0.01940382, -0.1407832, -0.9898506, 0.01384567, -0.1377036, -0.9903768, 188.0947, 181.123, 187.8475, 187.9157, 179.1991, 174.2584, -0.1789551, 1.923965, -13.58911, 0.395841, 0.6830078, 0.6138488, 0.5229728, 0.7326965, 0.4354942, 48.05259, 32.81599, 30.09468, 59.27394, 50.21489, 35.5179, 11.22135, -17.3989, 5.423218, -140.0421, 148.307, -157.7528, -128.6418, 128.9842, -138.7405, 11.40031, 19.32286, 19.01233, 4.095302
6, 5, 0.05680566, -0.05982796, -0.9965912, 0.006168867, -0.1399208, -0.9901434, 183.4355, 176.7377, 136.4844, 188.0434, 179.643, 177.4756, 4.60791, -2.905365, 40.99121, 0.9996446, 0.01666299, -0.02081298, 0.9661797, -0.1673122, -0.196223, 141.319, 91.19275, 89.04504, 220.453, 101.4801, 99.82441, 79.13399, -10.2874, 10.77937, -42.11647, 85.54492, -47.43932, 32.40961, 78.16289, -77.65116, 74.52608, 7.382034, -30.21184, 3.606827
7, 2, 0.0205126, -0.09691776, -0.9950813, 0.002650058, -0.1385232, -0.9903557, 185.5629, 178.8191, 168.0497, 187.9624, 179.8467, 178.904, 2.399536, -1.027603, 10.85429, -0.9912744, -0.1055264, 0.07898905, -0.9589252, -0.1820805, 0.217507, 306.8157, 274.556, 263.9235, 320.0665, 282.7798, 259.2487, 13.25073, -8.223816, -4.674774, 121.2529, -95.73689, 95.87373, 132.104, -102.9331, 80.34467, 10.8512, 7.196213, -15.52907, 4.45298
8, 1, -0.05903585, -0.09340625, -0.9938765, 0.01084399, -0.1398304, -0.9901161, 185.369, 183.3994, 212.2943, 188.0385, 179.3725, 175.5655, 2.669525, 4.026855, -36.72871, -0.4196869, 0.7320898, -0.5365704, -0.2727871, 0.7017992, -0.6580768, 126.2388, 218.0313, 330.1755, 133.1585, 202.5151, 338.7591, 6.91967, 15.51624, 8.583527, -59.13018, -34.63194, 117.8813, -54.88004, -23.14256, 163.1935, 4.250145, -11.48938, 45.31224, 3.919789
9, 8, 0.02339144, -0.1014477, -0.994566, 0.001188442, -0.1426993, -0.9897654, 185.8241, 178.6527, 167.0159, 188.2041, 179.9312, 179.5228, 2.379929, -1.278503, 12.50697, 0.4805192, 0.1167434, -0.8691791, 0.1962044, 0.006634528, -0.9805405, 172.3501, 151.0643, 76.34441, 179.6123, 168.6847, 88.06332, 7.262207, -17.62035, 11.7189, -13.47401, 27.58838, -90.67146, -8.591736, 11.24654, -91.45953, 4.882278, 16.34184, -0.7880707, 4.70005
