SubjectID, Experiment, Height, Gender, Age, TrialArray
gayathri1, Full Stairs, 333, female, 3333, [5,6,7,4,7,8,6,2,4,3,4,3,6,8,2,3,0,8,5,1,5,2,1,0,7,1,0]
Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
0, 5, 0.0008886841, -0.02334441, -0.9997272, 0.005370784, -0.09971324, -0.9950017, 181.3377, 179.9491, 177.8199, 185.7227, 179.6907, 176.9169, 4.385071, 0.2583313, -0.9029846, 0.9839158, 0.08882517, 0.1549836, 0.9659668, -0.115712, -0.2313418, 29.81815, 81.04848, 84.84148, 206.5732, 103.4682, 96.83084, 176.755, -22.41976, 11.98936, -151.5195, 98.90059, -92.9784, 20.85045, 76.2225, -80.08606, 172.37, 22.67809, 12.89234, 9.794348
1, 6, 0.02748781, 0.1183366, -0.9925932, 0.003535671, -0.1030557, -0.9946693, 173.2013, 178.4137, 13.07704, 185.9152, 179.7963, 178.035, 12.71388, -1.382614, 164.958, 0.1078239, -0.6681035, -0.7362148, 0.3124899, -0.9058587, -0.2859545, 222.2233, 171.6679, 170.8322, 252.4805, 132.4611, 160.9673, 30.25728, 39.20673, -9.864853, 49.02194, 6.745865, 157.7552, 66.56534, 47.33521, -17.0677, 17.5434, -40.58934, -174.8229, 4.443175
2, 7, 0.05251997, 0.1785226, -0.9825333, -0.0007912163, -0.104618, -0.9945122, 169.7019, 176.9402, 16.39348, 186.0052, 180.0456, 180.4333, 16.30324, -3.105331, 164.0398, 0.3317489, 0.260113, -0.9067988, 0.3711936, 0.4536306, -0.8102065, 163.9946, 159.9052, 51.90121, 150.7558, 155.3853, 39.29253, -13.23885, 4.519882, -12.60868, -5.707321, 17.0351, 35.50774, -35.2494, 24.66031, -141.1408, -29.54208, -7.625214, -176.6485, 4.281128
3, 4, -0.04841406, -0.1157746, -0.9920949, -0.005271756, -0.0952879, -0.9954358, 186.6561, 182.7938, 202.6935, 185.468, 180.3034, 183.1666, -1.188171, 2.490356, -19.52684, 0.824045, 0.5445669, 0.1561948, 0.5240969, 0.755159, 0.3937732, 73.99584, 79.26712, 56.54144, 62.46048, 53.08112, 34.7615, -11.53537, 26.186, -21.77994, -112.6603, 103.5267, -146.152, -123.0075, 127.2223, -148.4051, -10.34719, -23.69564, -2.253082, 4.357932
4, 7, 0.002733949, -0.003244049, -0.9999912, -0.003269004, -0.1014413, -0.9948362, 180.1859, 179.8434, 139.8772, 185.8222, 180.1883, 181.8457, 5.636322, -0.3449097, 41.96854, 0.3803428, 0.3209195, -0.8673814, 0.3650492, 0.4514497, -0.8142065, 159.6962, 156.3228, 49.84353, 150.9931, 155.8509, 38.95954, -8.703064, 0.4718323, -10.884, -20.48967, 23.5206, -90.03368, -34.82906, 24.33734, -142.8862, -14.33939, -0.8167419, -52.85254, 4.43247
5, 8, -0.007439295, -0.2035983, -0.9790264, -0.01209949, -0.09319868, -0.995574, 191.7478, 180.4354, 182.0926, 185.348, 180.6963, 187.397, -6.39975, -0.2609253, 5.304428, 0.1264692, 0.217937, -0.967734, 0.1830626, 0.0243993, -0.9827985, 167.3085, 172.5544, 30.12666, 178.5779, 169.4486, 82.40814, 11.26932, 3.10582, 52.28148, -24.43925, 7.88092, -151.9659, -6.770187, 11.24767, -104.9889, 17.66907, -3.366745, 46.97705, 4.215895
6, 6, 0.02150427, -0.1857323, -0.9823651, -0.007844421, -0.09212584, -0.9957165, 190.7063, 178.746, 173.3956, 185.2861, 180.4514, 184.8669, -5.420242, -1.705383, 11.4713, 0.1817883, -0.7503462, -0.6355579, 0.3104793, -0.9060257, -0.2876109, 229.7347, 164.0379, 166.3812, 252.3884, 132.8103, 161.0843, 22.65361, 31.22758, -5.296921, 39.02841, 14.70808, -7.01442, 67.10226, 47.64105, -23.78264, 28.07385, -32.93297, -16.76822, 3.699876
7, 2, 0.05873242, -0.1169228, -0.9914028, -0.007761701, -0.09345638, -0.9955931, 186.7262, 176.6097, 153.3288, 185.3626, 180.4467, 184.7476, -1.363556, -3.837006, 31.41881, -0.9984117, -0.01499718, 0.05430641, -0.9777523, -0.1138109, 0.176203, 344.562, 273.1134, 269.1394, 327.1413, 280.2158, 263.3606, -17.42078, -7.102356, -5.778778, 157.8358, -96.50374, 115.8106, 141.7786, -99.76909, 78.61302, -16.05722, 3.26535, -37.19759, 8.33888
8, 4, 0.02631757, 0.0360307, -0.9990042, -0.000609902, -0.1024268, -0.9947404, 177.9344, 178.491, 36.14516, 185.8789, 180.0351, 180.3412, 7.944489, -1.544174, 144.196, 0.7397619, 0.6509256, 0.1704353, 0.5647064, 0.727769, 0.3891773, 75.32734, 77.0259, 48.65506, 61.86419, 55.42665, 37.80939, -13.46315, 21.59925, -10.84567, -102.6071, 101.465, 12.5099, -124.0147, 124.6085, -142.5318, -21.40765, -23.14342, -155.0417, 3.984978
9, 3, 0.05714487, 0.03829376, -0.9976315, 0.004762159, -0.1018782, -0.9947855, 177.8018, 176.7216, 56.17328, 185.8474, 179.7257, 177.3237, 8.045593, -3.004074, 121.1505, -0.4451564, -0.8773124, 0.179329, -0.101248, -0.9678931, 0.230069, 281.5525, 291.9418, 206.9037, 283.3711, 336.2468, 185.9718, 1.818573, -44.30505, -20.93187, 103.7507, -115.2201, 150.7304, 97.5237, -156.5211, 8.648056, -6.22702, 41.30098, -142.0823, 3.69787
