SubjectID, Experiment, Height, Gender, Age, LocomotionRandomOrderId, TrialArray
testHaley, locima, , female, , 1, [see code]

Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime
 
LOCOMOTION
0, 5, 0.04352442, -0.1135183, -0.9925824, 0.03880887, -0.2384594, -0.9703767, 186.5244, 177.4892, 159.0225, 193.8062, 177.7098, 170.7562, 7.28186, -0.2205505, 11.73372, 0.01903927, -0.2188919, -0.9755633, 0.2267947, -0.02964909, -0.9734912, 192.6463, 178.8819, 175.0289, 181.7445, 166.8857, 97.44809, -10.90179, 11.99625, -77.58083, 6.121902, -1.392731, 16.00639, -12.06175, 10.82407, -73.30815, -18.18365, -12.2168, -89.31454, 27.03233
1, 2, 0.004499991, -0.2066543, -0.9784036, 0.03218197, -0.2430238, -0.9694863, 191.9265, 179.7365, 178.7525, 194.0725, 178.0988, 172.4566, 2.146057, 1.637711, -6.295944, 0.4312446, -0.678803, -0.5943524, 0.3100684, -0.9237054, -0.2250022, 228.795, 144.0365, 147.5721, 256.3101, 125.9666, 161.4442, 27.51515, 18.06985, 13.87204, 36.8685, 35.7, -31.1804, 62.23759, 52.13213, -11.01242, 25.36909, -16.43214, 20.16798, 13.99197
2, 7, 0.02086088, -0.1917088, -0.9812301, 0.0314583, -0.248573, -0.9681022, 191.055, 178.7821, 173.7898, 194.4004, 178.1388, 172.7872, 3.345413, 0.6432343, -1.002518, -0.2657584, 0.5969238, -0.7570036, -0.2933665, 0.7244503, -0.6237851, 141.743, 199.3444, 336.0007, 130.73, 205.1876, 337.9545, -11.01302, -5.843185, 1.953766, -49.31198, -20.56236, 162.211, -63.67041, -27.04878, 165.1673, -14.35843, 6.48642, 2.956284, 12.14948
3, 1, 0.0187671, -0.1623971, -0.9865473, 0.03826182, -0.254576, -0.9662955, 189.3477, 178.9102, 173.408, 194.7595, 177.7325, 171.4526, 5.411804, 1.177719, -1.955338, 0.3511636, 0.03524547, -0.9356505, 0.2136744, -0.03661047, -0.9762186, 177.8427, 159.4281, 84.26855, 182.1477, 167.6538, 99.72252, 4.305008, -8.225677, 15.45396, -11.50499, 19.48206, -89.13942, -12.61179, 10.07866, -71.73012, -1.106796, 9.403397, 17.4093, 10.35013
4, 3, 0.01482042, -0.1203556, -0.9926202, 0.02168731, -0.2511988, -0.9676925, 186.9134, 179.1446, 172.98, 194.552, 178.7161, 175.0656, 7.638565, 0.4284668, 2.085571, 0.9458634, -0.3040121, -0.1136632, 0.9611094, -0.2495532, -0.1182873, 249.5004, 96.8523, 107.818, 244.6392, 97.01632, 104.5555, -4.861145, -0.1640167, -3.26255, 62.58698, 82.2923, -65.16198, 50.08727, 81.69982, -70.5101, -12.49971, 0.5924835, -5.348122, 26.80345
5, 0, -0.01138581, -0.1946827, -0.9808002, 0.02140424, -0.2409969, -0.9702898, 191.2269, 180.6651, 183.3471, 193.9486, 178.7363, 174.9246, 2.72171, 1.928818, -8.422501, -0.3080766, 0.6337404, -0.7095506, -0.283213, 0.7097853, -0.6449769, 138.2301, 203.4698, 334.0745, 132.2612, 203.7066, 338.2474, -5.968933, -0.2367859, 4.172913, -52.9968, -22.80467, 150.7274, -61.68744, -24.97028, 163.3228, -8.690643, 2.165604, 12.59541, 10.38007
6, 8, 0.01095826, -0.1101983, -0.9938495, 0.03395982, -0.247637, -0.9682575, 186.3271, 179.3683, 174.3211, 194.3462, 177.9913, 172.1914, 8.019058, 1.376999, -2.129684, 0.01180892, 0.001859292, -0.9999285, 0.3189339, -0.9174341, -0.2378989, 179.8935, 179.3234, 81.05235, 255.4629, 126.72, 160.8307, 75.56941, 52.60341, 79.77833, -6.433655, 0.04490662, -93.26876, 61.1167, 51.27132, -11.36075, 67.55035, -51.22641, 81.90801, 13.26044
7, 2, -0.02162464, -0.03693321, -0.9990838, 0.03919075, -0.2500424, -0.9674414, 182.1171, 181.2399, 210.3493, 194.4914, 177.6802, 171.0921, 12.3743, 3.559708, -39.25711, -0.2837792, 0.6130219, -0.7373421, -0.2872542, 0.7058085, -0.6475487, 140.2601, 201.0501, 335.1597, 132.535, 203.9222, 337.8544, -7.725037, -2.87207, 2.694672, -41.85703, -19.81017, 124.8104, -61.95636, -26.24194, 166.7622, -20.09933, 6.431778, 41.95178, 10.69003
